CPT_PERIODENDING	ZONEID	MW
2007-01-01 11:30:00	244	9260
2007-01-01 11:30:00	246	1916
2007-01-01 11:45:00	240	5662
2007-01-01 11:45:00	242	15960
2007-01-01 11:45:00	244	9275
2007-01-01 11:45:00	246	1845
2007-01-01 12:00:00	240	5662
2007-01-01 12:00:00	242	16015
2007-01-01 12:00:00	244	9306
2007-01-01 12:00:00	246	1779
2007-01-01 12:15:00	240	6310
2007-01-01 12:15:00	242	14943
2007-01-01 12:15:00	244	9172
2007-01-01 12:15:00	246	1317
2007-01-01 12:30:00	240	6310
2007-01-01 12:30:00	242	14943
2007-01-01 12:30:00	244	9208
2007-01-01 12:30:00	246	1319
2007-01-01 12:45:00	240	6310
2007-01-01 12:45:00	242	14943
2007-01-01 12:45:00	244	9218
2007-01-01 12:45:00	246	1320
2007-01-01 13:00:00	240	6310
2007-01-01 13:00:00	242	14943
2007-01-01 13:00:00	244	9202
2007-01-01 13:00:00	246	1326
2007-01-01 13:15:00	240	6229
2007-01-01 13:15:00	242	14803
2007-01-01 13:15:00	244	9092
2007-01-01 13:15:00	246	1360
2007-01-01 13:30:00	240	6229
2007-01-01 13:30:00	242	14803
2007-01-01 13:30:00	244	9053
2007-01-01 13:30:00	246	1359
2007-01-01 13:45:00	240	6229
2007-01-01 13:45:00	242	14803
2007-01-01 13:45:00	244	9025
2007-01-01 13:45:00	246	1348
2007-01-01 14:00:00	240	6229
2007-01-01 14:00:00	242	14803
2007-01-01 14:00:00	244	9006
2007-01-01 14:00:00	246	1350
2007-01-01 14:15:00	240	6215
2007-01-01 14:15:00	242	14616
2007-01-01 14:15:00	244	8938
2007-01-01 14:15:00	246	1352
2007-01-01 14:30:00	240	6215
2007-01-01 14:30:00	242	14622
2007-01-01 14:30:00	244	8932
2007-01-01 14:30:00	246	1352
2007-01-01 14:45:00	240	6215
2007-01-01 14:45:00	242	14622
2007-01-01 14:45:00	244	8925
2007-01-01 14:45:00	246	1353
2007-01-01 15:00:00	240	6215
2007-01-01 15:00:00	242	14622
2007-01-01 15:00:00	244	8917
2007-01-01 15:00:00	246	1356
2007-01-01 15:15:00	240	6209
2007-01-01 15:15:00	242	14427
2007-01-01 15:15:00	244	8867
2007-01-01 15:15:00	246	1380
2007-01-01 15:30:00	240	6209
2007-01-01 15:30:00	242	14458
2007-01-01 15:30:00	244	8871
2007-01-01 15:30:00	246	1380
2007-01-01 15:45:00	240	6209
2007-01-01 15:45:00	242	14474
2007-01-01 15:45:00	244	8888
2007-01-01 15:45:00	246	1382
2007-01-01 16:00:00	240	6209
2007-01-01 16:00:00	242	14512
2007-01-01 16:00:00	244	8919
2007-01-01 16:00:00	246	1382
2007-01-01 16:15:00	240	6006
2007-01-01 16:15:00	242	14783
2007-01-01 16:15:00	244	8924
2007-01-01 16:15:00	246	1421
2007-01-01 16:30:00	240	6006
2007-01-01 16:30:00	242	14798
2007-01-01 16:30:00	244	8937
2007-01-01 16:30:00	246	1422
2007-01-01 16:45:00	240	6005
2007-01-01 16:45:00	242	14844
2007-01-01 16:45:00	244	8928
2007-01-01 16:45:00	246	1425
2007-01-01 17:00:00	240	6003
2007-01-01 17:00:00	242	14901
2007-01-01 17:00:00	244	8903
2007-01-01 17:00:00	246	1427
2007-01-01 17:15:00	240	5958
2007-01-01 17:15:00	242	15800
2007-01-01 17:15:00	244	9063
2007-01-01 17:15:00	246	1629
2007-01-01 17:30:00	240	5957
2007-01-01 17:30:00	242	15749
2007-01-01 17:30:00	244	9039
2007-01-01 17:30:00	246	1681
2007-01-01 17:45:00	240	5964
2007-01-01 17:45:00	242	15697
2007-01-01 17:45:00	244	9051
2007-01-01 17:45:00	246	1745
2007-01-01 18:00:00	240	5983
2007-01-01 18:00:00	242	15642
2007-01-01 18:00:00	244	9099
2007-01-01 18:00:00	246	1800
2007-01-01 18:15:00	240	6636
2007-01-01 18:15:00	242	15949
2007-01-01 18:15:00	244	9467
2007-01-01 18:15:00	246	2153
2007-01-01 18:30:00	240	6679
2007-01-01 18:30:00	242	15850
2007-01-01 18:30:00	244	9534
2007-01-01 18:30:00	246	2248
2007-01-01 18:45:00	240	6719
2007-01-01 18:45:00	242	15796
2007-01-01 18:45:00	244	9584
2007-01-01 18:45:00	246	2314
2007-01-01 19:00:00	240	6754
2007-01-01 19:00:00	242	15788
2007-01-01 19:00:00	244	9617
2007-01-01 19:00:00	246	2328
2007-01-01 19:15:00	240	6759
2007-01-01 19:15:00	242	15708
2007-01-01 19:15:00	244	9715
2007-01-01 19:15:00	246	2132
2007-01-01 19:30:00	240	6733
2007-01-01 19:30:00	242	15734
2007-01-01 19:30:00	244	9718
2007-01-01 19:30:00	246	2131
2007-01-01 19:45:00	240	6699
2007-01-01 19:45:00	242	15768
2007-01-01 19:45:00	244	9714
2007-01-01 19:45:00	246	2149
2007-01-01 20:00:00	240	6657
2007-01-01 20:00:00	242	15810
2007-01-01 20:00:00	244	9705
2007-01-01 20:00:00	246	2152
2007-01-01 20:15:00	240	6692
2007-01-01 20:15:00	242	15550
2007-01-01 20:15:00	244	9715
2007-01-01 20:15:00	246	2241
2007-01-01 20:30:00	240	6719
2007-01-01 20:30:00	242	15530
2007-01-01 20:30:00	244	9707
2007-01-01 20:30:00	246	2233
2007-01-01 20:45:00	240	6746
2007-01-01 20:45:00	242	15531
2007-01-01 20:45:00	244	9693
2007-01-01 20:45:00	246	2209
2007-01-01 21:00:00	240	6563
2007-01-01 21:00:00	242	15565
2007-01-01 21:00:00	244	9677
2007-01-01 21:00:00	246	2158
2007-01-01 21:15:00	240	6541
2007-01-01 21:15:00	242	15466
2007-01-01 21:15:00	244	9615
2007-01-01 21:15:00	246	2140
2007-01-01 21:30:00	240	6491
2007-01-01 21:30:00	242	15518
2007-01-01 21:30:00	244	9605
2007-01-01 21:30:00	246	2090
2007-01-01 21:45:00	240	6435
2007-01-01 21:45:00	242	15620
2007-01-01 21:45:00	244	9595
2007-01-01 21:45:00	246	2058
2007-01-01 22:00:00	240	6377
2007-01-01 22:00:00	242	15709
2007-01-01 22:00:00	244	9577
2007-01-01 22:00:00	246	2038
2007-01-01 22:15:00	240	6188
2007-01-01 22:15:00	242	13893
2007-01-01 22:15:00	244	9283
2007-01-01 22:15:00	246	1936
2007-01-01 22:30:00	240	6211
2007-01-01 22:30:00	242	13855
2007-01-01 22:30:00	244	9078
2007-01-01 22:30:00	246	1914
2007-01-01 22:45:00	240	6229
2007-01-01 22:45:00	242	13915
2007-01-01 22:45:00	244	8934
2007-01-01 22:45:00	246	1887
2007-01-01 23:00:00	240	6244
2007-01-01 23:00:00	242	13851
2007-01-01 23:00:00	244	8884
2007-01-01 23:00:00	246	1845
2007-01-01 23:15:00	240	6041
2007-01-01 23:15:00	242	13157
2007-01-01 23:15:00	244	8502
2007-01-01 23:15:00	246	1913
2007-01-01 23:30:00	240	6008
2007-01-01 23:30:00	242	13179
2007-01-01 23:30:00	244	8514
2007-01-01 23:30:00	246	1876
2007-01-01 23:45:00	240	6023
2007-01-01 23:45:00	242	13142
2007-01-01 23:45:00	244	8513
2007-01-01 23:45:00	246	1866
2007-01-02 00:00:00	240	5938
