,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-2.485,58435.3,0.960705,305,11.864
"Jan 1, 01:00 am",-2.829,58828.3,0.961684,308,12.005
"Jan 1, 02:00 am",-3.111,57650.5,0.962428,308,11.459
"Jan 1, 03:00 am",-3.776,56481.4,0.962959,310,11.21
"Jan 1, 04:00 am",-4.205,57521.5,0.963475,309,11.359
"Jan 1, 05:00 am",-4.853,49215.8,0.964123,305,10.385
"Jan 1, 06:00 am",-5.385,47572.1,0.964965,307,10.195
"Jan 1, 07:00 am",-5.783,56465.3,0.965664,306,11.132
"Jan 1, 08:00 am",-6.22,59219.4,0.966373,304,11.717
"Jan 1, 09:00 am",-6.746,57524.8,0.966869,302,11.248
"Jan 1, 10:00 am",-7.38,60202.6,0.96747,304,12.015
"Jan 1, 11:00 am",-8.089,60641.9,0.968451,305,12.515
"Jan 1, 12:00 pm",-8.697,60830.9,0.969241,305,12.813
"Jan 1, 01:00 pm",-9.262,61013.6,0.970075,306,12.449
"Jan 1, 02:00 pm",-9.48,61115.9,0.970899,310,12.625
"Jan 1, 03:00 pm",-9.133,61087.1,0.971719,313,13.552
"Jan 1, 04:00 pm",-8.748,61040,0.972385,313,12.998
"Jan 1, 05:00 pm",-8.375,60988.8,0.97294,313,12.243
"Jan 1, 06:00 pm",-8.047,60936.4,0.973308,312,12.328
"Jan 1, 07:00 pm",-7.855,60918.9,0.973733,311,13.006
"Jan 1, 08:00 pm",-7.896,60964.7,0.974314,310,12.866
"Jan 1, 09:00 pm",-8.192,61065,0.974828,308,12.343
"Jan 1, 10:00 pm",-8.894,59690.4,0.975186,308,11.458
"Jan 1, 11:00 pm",-9.492,54538,0.975621,308,10.735
"Jan 2, 12:00 am",-9.916,44883.1,0.976178,313,9.848
"Jan 2, 01:00 am",-10.257,49186.7,0.976649,316,10.194
"Jan 2, 02:00 am",-10.615,51122.8,0.976984,319,10.388
"Jan 2, 03:00 am",-10.994,45497.6,0.977219,321,9.889
"Jan 2, 04:00 am",-11.318,47591,0.977448,323,10.059
"Jan 2, 05:00 am",-11.582,50577.5,0.977906,325,10.361
"Jan 2, 06:00 am",-11.911,40493.3,0.978438,325,9.481
"Jan 2, 07:00 am",-12.18,38670.2,0.97905,324,9.269
"Jan 2, 08:00 am",-12.44,37673.7,0.97974,322,9.121
"Jan 2, 09:00 am",-12.672,37331.3,0.980222,322,9.08
"Jan 2, 10:00 am",-12.866,39273.9,0.980785,323,9.309
"Jan 2, 11:00 am",-12.995,39832.1,0.981441,325,9.387
"Jan 2, 12:00 pm",-13.288,32580.6,0.982045,324,8.677
"Jan 2, 01:00 pm",-13.616,28907.7,0.982725,321,8.288
"Jan 2, 02:00 pm",-12.999,20236.3,0.983284,320,7.355
"Jan 2, 03:00 pm",-11.484,10760.4,0.983736,329,6.164
"Jan 2, 04:00 pm",-10.228,4937.08,0.983994,325,5.082
