,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",4.636,34112,0.976791,238,8.999
"Jan 1, 01:00 am",3.892,18598.3,0.976809,255,7.337
"Jan 1, 02:00 am",3.771,27450.8,0.976381,245,8.34
"Jan 1, 03:00 am",3.3,20180.8,0.975924,239,7.516
"Jan 1, 04:00 am",3.051,24464.7,0.975635,236,8.028
"Jan 1, 05:00 am",2.844,8676.52,0.975202,240,5.875
"Jan 1, 06:00 am",2.903,0,0.974232,220,2.825
"Jan 1, 07:00 am",3.033,0,0.973332,204,3.129
"Jan 1, 08:00 am",3.233,1752.06,0.972296,205,4.2
"Jan 1, 09:00 am",3.437,9029.13,0.97108,210,6.012
"Jan 1, 10:00 am",3.606,17717.7,0.969723,203,7.312
"Jan 1, 11:00 am",3.637,11157.4,0.968413,202,6.368
"Jan 1, 12:00 pm",3.686,9539.6,0.967166,196,6.049
"Jan 1, 01:00 pm",3.875,1385.25,0.965633,187,3.994
"Jan 1, 02:00 pm",4.004,4524.49,0.96416,223,5.043
"Jan 1, 03:00 pm",4.094,17856.8,0.963038,225,7.259
"Jan 1, 04:00 pm",4.562,27830.4,0.962259,228,8.433
"Jan 1, 05:00 pm",5.928,50585.3,0.961646,231,10.711
"Jan 1, 06:00 pm",7.274,54494.3,0.961341,236,11.276
"Jan 1, 07:00 pm",8.49,56649.5,0.961278,239,13.455
"Jan 1, 08:00 pm",8.866,56573.2,0.961265,243,12.986
"Jan 1, 09:00 pm",8.987,56533.5,0.961003,243,12.524
"Jan 1, 10:00 pm",9.001,56490.4,0.960319,243,12.238
"Jan 1, 11:00 pm",8.994,55664.4,0.95963,248,11.716
"Jan 2, 12:00 am",7.737,55279.4,0.959399,311,11.462
"Jan 2, 01:00 am",7.061,42262.9,0.958985,321,9.93
"Jan 2, 02:00 am",6.628,50075.3,0.958059,333,10.823
"Jan 2, 03:00 am",5.741,31505.6,0.956972,331,8.931
"Jan 2, 04:00 am",4.963,0,0.956515,353,3.564
"Jan 2, 05:00 am",3.891,3938.38,0.956173,347,4.905
"Jan 2, 06:00 am",2.706,0,0.955584,64,3.168
"Jan 2, 07:00 am",1.055,0,0.9549,101,1.716
"Jan 2, 08:00 am",0.497,0,0.954716,292,1.482
"Jan 2, 09:00 am",0.407,0,0.954915,296,3.61
"Jan 2, 10:00 am",0.551,3816.19,0.955648,313,4.859
"Jan 2, 11:00 am",0.881,2915.12,0.956537,297,4.588
"Jan 2, 12:00 pm",0.342,4794.55,0.957858,276,5.171
"Jan 2, 01:00 pm",0.665,4381.72,0.958973,265,5.074
"Jan 2, 02:00 pm",-0.043,5901.7,0.960166,246,5.368
"Jan 2, 03:00 pm",-2.8,5989.17,0.961771,257,5.388
"Jan 2, 04:00 pm",-4.162,11190.9,0.963262,255,6.263
"Jan 2, 05:00 pm",-2.19,911.648,0.964755,267,3.804
"Jan 2, 06:00 pm",0.502,0,0.965968,193,1.554
"Jan 2, 07:00 pm",1.615,0,0.966639,227,2.864
"Jan 2, 08:00 pm",2.516,2366.6,0.96716,239,4.389
"Jan 2, 09:00 pm",2.99,4625.73,0.967655,244,5.066
"Jan 2, 10:00 pm",2.392,5835.84,0.967846,240,5.359
"Jan 2, 11:00 pm",1.001,9142.47,0.968685,263,6.029
"Jan 3, 12:00 am",0.019,9650.92,0.96941,264,6.112
"Jan 3, 01:00 am",-0.286,8896.53,0.970057,270,5.999
"Jan 3, 02:00 am",-1.957,1292.55,0.970833,261,3.957
"Jan 3, 03:00 am",-1.412,0,0.971623,219,2.011
"Jan 3, 04:00 am",-3.838,0,0.972495,213,1.709
"Jan 3, 05:00 am",-4.637,0,0.973272,191,1.792
"Jan 3, 06:00 am",-4.146,0,0.973833,166,1.822
"Jan 3, 07:00 am",-0.722,0,0.974337,179,1.889
"Jan 3, 08:00 am",-0.351,0,0.974992,202,2.081
"Jan 3, 09:00 am",-0.843,0,0.975479,225,2.301
"Jan 3, 10:00 am",-2.187,0,0.975782,211,3.327
"Jan 3, 11:00 am",-3.292,0,0.976217,217,2.958
"Jan 3, 12:00 pm",-1.859,0,0.976769,236,2.814
"Jan 3, 01:00 pm",-2.734,0,0.977293,241,2.116
"Jan 3, 02:00 pm",-0.904,0,0.977805,239,1.153
"Jan 3, 03:00 pm",-0.54,0,0.978303,209,0.993
"Jan 3, 04:00 pm",-2.562,0,0.978869,209,1.507
"Jan 3, 05:00 pm",-2.424,0,0.979326,199,1.465
"Jan 3, 06:00 pm",-0.897,0,0.979566,154,1.159
"Jan 3, 07:00 pm",0.204,0,0.979826,122,1.26
"Jan 3, 08:00 pm",1.053,0,0.979942,109,0.518
"Jan 3, 09:00 pm",1.924,0,0.979885,52,0.228
"Jan 3, 10:00 pm",2.156,0,0.979664,74,0.748
"Jan 3, 11:00 pm",0.277,0,0.9796,85,0.863
"Jan 4, 12:00 am",-1.984,0,0.979662,92,1.456
"Jan 4, 01:00 am",-2.285,0,0.979855,92,2.382
"Jan 4, 02:00 am",-2.281,1200.4,0.979802,85,3.929
"Jan 4, 03:00 am",-1.363,6658.05,0.979693,81,5.531
"Jan 4, 04:00 am",-0.676,11337.3,0.979733,76,6.291
"Jan 4, 05:00 am",-0.071,16578.8,0.979704,78,7.077
"Jan 4, 06:00 am",0.041,23443.9,0.97953,75,7.888
"Jan 4, 07:00 am",-0.014,34216.1,0.979292,73,8.95
"Jan 4, 08:00 am",-0.028,42196.5,0.978909,70,9.755
"Jan 4, 09:00 am",-0.16,53943.5,0.978521,69,10.854
"Jan 4, 10:00 am",-0.021,59123.3,0.977942,68,11.936
"Jan 4, 11:00 am",0.003,59396.3,0.977517,69,12.342
"Jan 4, 12:00 pm",0.059,59367.1,0.977236,70,12.755
"Jan 4, 01:00 pm",0.194,59306,0.976714,71,13.243
"Jan 4, 02:00 pm",0.393,59218.8,0.975988,71,13.487
"Jan 4, 03:00 pm",0.448,59170.3,0.975384,71,13.67
"Jan 4, 04:00 pm",0.607,59114.6,0.975032,70,13.584
"Jan 4, 05:00 pm",1.181,58967.5,0.974646,71,12.859
"Jan 4, 06:00 pm",1.749,58754.3,0.974071,72,12.124
"Jan 4, 07:00 pm",2.249,56983.5,0.973455,73,11.41
"Jan 4, 08:00 pm",2.661,52754.4,0.972841,74,10.829
"Jan 4, 09:00 pm",2.786,47627.9,0.972105,75,10.334
"Jan 4, 10:00 pm",2.797,35689.1,0.971001,82,9.255
"Jan 4, 11:00 pm",2.808,20447.6,0.970035,98,7.634
"Jan 5, 12:00 am",2.975,9955.48,0.96948,114,6.089
"Jan 5, 01:00 am",2.227,16704.2,0.969003,195,7.105
"Jan 5, 02:00 am",0.924,37237.4,0.968071,202,9.429
"Jan 5, 03:00 am",0.526,0,0.966606,125,3.021
"Jan 5, 04:00 am",1.206,842.408,0.965514,117,3.734
"Jan 5, 05:00 am",1.89,0,0.964251,171,2.386
"Jan 5, 06:00 am",2.37,0,0.962954,211,3.58
"Jan 5, 07:00 am",2.901,2623.79,0.961807,219,4.482
"Jan 5, 08:00 am",3.014,13369.3,0.961086,232,6.71
"Jan 5, 09:00 am",3.084,27087,0.960913,231,8.343
"Jan 5, 10:00 am",3.395,48814.9,0.960862,229,10.491
"Jan 5, 11:00 am",3.829,51488.4,0.961689,225,10.757
"Jan 5, 12:00 pm",3.803,30430.8,0.962131,227,8.686
"Jan 5, 01:00 pm",4.616,56865.8,0.962519,233,11.792
"Jan 5, 02:00 pm",4.819,57254.3,0.96342,235,11.965
"Jan 5, 03:00 pm",4.573,47991.3,0.964434,242,10.426
"Jan 5, 04:00 pm",4.442,50261.9,0.965795,249,10.619
"Jan 5, 05:00 pm",4.427,29903.4,0.967243,255,8.652
"Jan 5, 06:00 pm",4.523,18323.4,0.968259,251,7.315
"Jan 5, 07:00 pm",5.004,17003.5,0.96905,252,7.158
"Jan 5, 08:00 pm",5.545,17091.7,0.969786,256,7.188
"Jan 5, 09:00 pm",6.021,17290.5,0.970316,252,7.198
"Jan 5, 10:00 pm",5.834,22414.7,0.970792,253,7.841
"Jan 5, 11:00 pm",5.32,25726.5,0.971313,246,8.187
"Jan 6, 12:00 am",4.826,36969.2,0.972072,236,9.359
"Jan 6, 01:00 am",4.327,37674,0.972737,237,9.423
"Jan 6, 02:00 am",3.762,28433.9,0.972948,235,8.466
"Jan 6, 03:00 am",3.564,32218,0.97303,232,8.824
"Jan 6, 04:00 am",3.631,30623.4,0.973367,235,8.68
"Jan 6, 05:00 am",3.624,30619.2,0.973521,233,8.68
"Jan 6, 06:00 am",3.556,19888.3,0.97362,230,7.482
"Jan 6, 07:00 am",3.575,18502.7,0.973499,231,7.317
"Jan 6, 08:00 am",3.657,20177.6,0.973202,230,7.52
"Jan 6, 09:00 am",3.784,14552.5,0.972897,228,6.837
"Jan 6, 10:00 am",3.959,11543.8,0.972275,225,6.384
"Jan 6, 11:00 am",4.164,10670.2,0.971754,223,6.194
"Jan 6, 12:00 pm",4.327,10740.2,0.971498,224,6.207
"Jan 6, 01:00 pm",4.581,9265.01,0.971294,221,5.994
"Jan 6, 02:00 pm",4.847,9137.52,0.970694,225,5.973
"Jan 6, 03:00 pm",5.031,20865.9,0.970495,229,7.629
"Jan 6, 04:00 pm",5.6,46534.6,0.970783,230,10.254
"Jan 6, 05:00 pm",6.205,54084,0.97122,228,11.081
"Jan 6, 06:00 pm",6.98,57165.2,0.9717,228,11.874
"Jan 6, 07:00 pm",7.492,56997.9,0.972065,229,11.842
"Jan 6, 08:00 pm",7.854,49013.1,0.972288,233,10.538
"Jan 6, 09:00 pm",8.046,46492.9,0.972289,236,10.296
"Jan 6, 10:00 pm",7.913,49839.5,0.972116,245,10.608
"Jan 6, 11:00 pm",7.826,57419,0.972384,248,12.171
"Jan 7, 12:00 am",7.042,54621.6,0.97273,238,11.186
"Jan 7, 01:00 am",6.598,56372.2,0.973125,233,11.506
"Jan 7, 02:00 am",6.204,46165.1,0.973205,234,10.217
"Jan 7, 03:00 am",5.975,55261.2,0.973208,231,11.243
"Jan 7, 04:00 am",5.926,56526.9,0.973313,227,11.491
"Jan 7, 05:00 am",5.539,52440.4,0.973501,225,10.83
"Jan 7, 06:00 am",5.409,48210.6,0.973374,224,10.404
"Jan 7, 07:00 am",5.399,44554.1,0.973165,226,10.032
"Jan 7, 08:00 am",5.433,47424,0.972903,228,10.334
"Jan 7, 09:00 am",5.633,51564.9,0.972599,230,10.748
"Jan 7, 10:00 am",5.909,54974.3,0.971976,229,11.2
"Jan 7, 11:00 am",5.733,57819.8,0.971533,226,12.545
"Jan 7, 12:00 pm",6.387,57671,0.971306,227,12.802
"Jan 7, 01:00 pm",7.018,55025.6,0.971435,234,11.26
"Jan 7, 02:00 pm",7.084,46289.8,0.971218,236,10.26
"Jan 7, 03:00 pm",7.101,38635.6,0.971032,235,9.563
"Jan 7, 04:00 pm",7.118,45944.2,0.971168,234,10.22
"Jan 7, 05:00 pm",6.985,52159.2,0.971196,227,10.847
"Jan 7, 06:00 pm",6.651,52549.1,0.971072,225,10.885
"Jan 7, 07:00 pm",6.855,52771.2,0.970734,224,10.92
"Jan 7, 08:00 pm",6.991,44078.3,0.970392,224,10.023
"Jan 7, 09:00 pm",6.979,31544.2,0.969824,223,8.797
"Jan 7, 10:00 pm",7.073,30302.6,0.969148,220,8.693
"Jan 7, 11:00 pm",7.099,26147.6,0.968358,217,8.28
"Jan 8, 12:00 am",7.087,29056.8,0.967721,215,8.623
"Jan 8, 01:00 am",7.041,40521.1,0.967225,216,9.779
"Jan 8, 02:00 am",7.015,38091.8,0.966676,222,9.513
"Jan 8, 03:00 am",6.991,29577.7,0.966086,222,8.629
"Jan 8, 04:00 am",6.87,44984.2,0.965955,229,10.127
"Jan 8, 05:00 am",6.717,52949.1,0.965806,227,10.98
"Jan 8, 06:00 am",6.87,50506.6,0.965498,223,10.685
"Jan 8, 07:00 am",7.235,55747.2,0.965208,219,11.481
"Jan 8, 08:00 am",7.115,48889.7,0.965338,222,10.531
"Jan 8, 09:00 am",7.15,40467.9,0.965222,225,9.74
"Jan 8, 10:00 am",7.445,52912.9,0.964895,225,10.997
