,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 4, 10:00 pm",9.888,5327.91,0.968842,219,5.266
"Jan 4, 11:00 pm",10.654,16612.8,0.968876,226,7.143
"Jan 5, 12:00 am",11.449,15442.2,0.968879,233,7.013
"Jan 5, 01:00 am",11.802,12005.7,0.968876,235,6.553
"Jan 5, 02:00 am",11.283,22617.5,0.968819,227,7.907
"Jan 5, 03:00 am",11.544,26881.1,0.968591,232,8.39
"Jan 5, 04:00 am",11.444,20734.1,0.968112,234,7.688
"Jan 5, 05:00 am",11.478,15428.5,0.967928,240,7.013
"Jan 5, 06:00 am",11.453,8634.61,0.967755,249,5.93
"Jan 5, 07:00 am",11.437,11476.7,0.967925,251,6.459
"Jan 5, 08:00 am",11.553,5781.71,0.967862,249,5.386
"Jan 5, 09:00 am",11.288,4766.51,0.967727,232,5.137
"Jan 5, 10:00 am",10.963,12584.1,0.967931,235,6.636
"Jan 5, 11:00 am",10.969,15624.2,0.967896,231,7.031
"Jan 5, 12:00 pm",11.022,17803.3,0.967861,235,7.306
"Jan 5, 01:00 pm",10.998,16826.2,0.967761,242,7.182
"Jan 5, 02:00 pm",11.34,9709.72,0.967851,237,6.106
"Jan 5, 03:00 pm",11.897,6242.09,0.967459,238,5.489
"Jan 5, 04:00 pm",12.643,1331.79,0.966837,230,3.993
"Jan 5, 05:00 pm",14.402,0,0.966226,233,2.686
"Jan 5, 06:00 pm",16.474,0,0.965671,220,2.609
"Jan 5, 07:00 pm",17.346,0,0.965143,213,3.486
"Jan 5, 08:00 pm",17.468,1104.75,0.964657,214,3.902
"Jan 5, 09:00 pm",16.435,4399.93,0.964404,191,5.057
"Jan 5, 10:00 pm",13.841,16891.4,0.964362,200,7.273
"Jan 5, 11:00 pm",14.174,24327.6,0.964343,211,8.228
"Jan 6, 12:00 am",14.048,31410.8,0.964159,208,8.999
"Jan 6, 01:00 am",14.198,23699.6,0.964041,204,8.174
"Jan 6, 02:00 am",14.594,32127.5,0.963923,222,8.953
"Jan 6, 03:00 am",14.689,23370.4,0.963566,226,8.038
"Jan 6, 04:00 am",14.567,15162.7,0.962822,219,7.011
"Jan 6, 05:00 am",14.441,17159.1,0.962441,230,7.259
"Jan 6, 06:00 am",14.205,3985.63,0.962077,253,4.956
"Jan 6, 07:00 am",14.13,613.114,0.961661,210,3.657
"Jan 6, 08:00 am",13.762,0,0.961555,239,2.286
"Jan 6, 09:00 am",12.023,7472.31,0.961071,45,5.695
"Jan 6, 10:00 am",10.898,13379.5,0.960757,52,6.764
"Jan 6, 11:00 am",9.766,14651.8,0.960631,53,6.919
"Jan 6, 12:00 pm",9.47,16945.2,0.960246,61,7.204
"Jan 6, 01:00 pm",8.685,17475.4,0.960587,39,7.265
"Jan 6, 02:00 pm",7.38,24555.8,0.960135,50,8.115
"Jan 6, 03:00 pm",6.523,15505.9,0.959807,51,7.002
"Jan 6, 04:00 pm",5.981,7819.87,0.959701,38,5.746
"Jan 6, 05:00 pm",5.384,4362.85,0.959241,42,5.015
"Jan 6, 06:00 pm",5.29,2114.28,0.958225,58,4.313
"Jan 6, 07:00 pm",5.485,0,0.958506,30,2.42
"Jan 6, 08:00 pm",5.648,0,0.957617,39,3.306
"Jan 6, 09:00 pm",5.688,0,0.956934,106,2.918
"Jan 6, 10:00 pm",6.056,0,0.956764,145,3.047
"Jan 6, 11:00 pm",7.157,3749.2,0.956326,153,4.922
"Jan 7, 12:00 am",8.096,16340.3,0.955426,160,7.176
"Jan 7, 01:00 am",8.897,31835.2,0.955296,178,8.886
"Jan 7, 02:00 am",11.993,55482.4,0.954622,187,12.082
"Jan 7, 03:00 am",12.93,54194.1,0.953277,181,11.569
"Jan 7, 04:00 am",12.932,53926.6,0.951196,177,11.504
"Jan 7, 05:00 am",14.319,54838.8,0.949812,187,14.423
"Jan 7, 06:00 am",15.111,54620.4,0.948636,187,14.999
"Jan 7, 07:00 am",15.571,54478.1,0.947674,191,15.875
"Jan 7, 08:00 am",16.227,54279.1,0.946358,190,17.21
"Jan 7, 09:00 am",16.163,54264,0.945886,203,13.984
"Jan 7, 10:00 am",15.442,54391.4,0.946458,227,12.129
"Jan 7, 11:00 am",14.396,32733.9,0.946929,244,9.075
"Jan 7, 12:00 pm",12.745,5736.38,0.946791,286,5.417
"Jan 7, 01:00 pm",12.607,15754.4,0.946218,214,7.148
"Jan 7, 02:00 pm",13.85,54700.6,0.945873,225,12.71
"Jan 7, 03:00 pm",14.341,54593.2,0.945631,228,14.75
"Jan 7, 04:00 pm",14.402,54576.5,0.945543,230,15.376
"Jan 7, 05:00 pm",13.752,54714.3,0.945787,235,14.537
"Jan 7, 06:00 pm",13.16,54837.5,0.94596,237,15.604
"Jan 7, 07:00 pm",12.613,54948.3,0.94606,239,15.804
"Jan 7, 08:00 pm",11.597,55178.3,0.946644,250,16.576
"Jan 7, 09:00 pm",9.901,55573.6,0.947746,250,16.17
"Jan 7, 10:00 pm",8.077,56017.8,0.949166,261,14.853
"Jan 7, 11:00 pm",6.828,56353.2,0.950607,256,14.749
"Jan 8, 12:00 am",5.809,56630.4,0.951808,251,12.877
"Jan 8, 01:00 am",5.131,56786.6,0.952113,249,13.028
"Jan 8, 02:00 am",4.406,56911.2,0.9537,249,12.07
"Jan 8, 03:00 am",3.97,57109.2,0.953526,248,13.015
"Jan 8, 04:00 am",3.323,56421.6,0.953811,253,11.706
"Jan 8, 05:00 am",2.587,53016.7,0.954472,250,10.973
"Jan 8, 06:00 am",2.288,54896.9,0.955126,248,11.226
"Jan 8, 07:00 am",1.93,56602,0.954875,246,11.634
"Jan 8, 08:00 am",0.907,52526,0.955326,240,10.874
"Jan 8, 09:00 am",0.597,57073.9,0.955555,235,11.709
"Jan 8, 10:00 am",1.269,57092.5,0.95563,233,11.77
"Jan 8, 11:00 am",1.828,57678.7,0.955592,228,12.515
"Jan 8, 12:00 pm",1.595,57737.6,0.955756,225,12.574
"Jan 8, 01:00 pm",2.599,53302.2,0.95601,225,10.991
"Jan 8, 02:00 pm",4.301,15270.7,0.955851,233,6.969
"Jan 8, 03:00 pm",5.885,8951.78,0.955613,243,5.979
"Jan 8, 04:00 pm",7.46,15796.2,0.955486,250,7.052
"Jan 8, 05:00 pm",8.517,23682.8,0.955325,273,8.17
"Jan 8, 06:00 pm",9.142,46039.8,0.955604,280,10.416
"Jan 8, 07:00 pm",8.722,55280.4,0.955843,284,11.649
"Jan 8, 08:00 pm",7.559,56585.1,0.957012,290,12.475
"Jan 8, 09:00 pm",5.677,54448,0.958244,297,11.237
"Jan 8, 10:00 pm",3.81,57291.5,0.959903,287,11.982
"Jan 8, 11:00 pm",2.796,51052.4,0.960795,291,10.696
"Jan 9, 12:00 am",1.686,50837.7,0.961269,302,10.659
"Jan 9, 01:00 am",0.77,39516.5,0.962377,302,9.594
"Jan 9, 02:00 am",-0.352,8637.36,0.962479,312,5.861
"Jan 9, 03:00 am",-0.686,0,0.96263,304,3.185
"Jan 9, 04:00 am",-0.845,0,0.963282,333,2.533
"Jan 9, 05:00 am",-1.188,0,0.964401,32,2.276
