,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",10.869,48555.6,0.989795,359,10.448
"Jan 1, 01:00 am",9.956,56287.3,0.990902,0,11.366
"Jan 1, 02:00 am",9.114,57038.4,0.992025,5,11.514
"Jan 1, 03:00 am",8.572,54706.3,0.993148,10,11.048
"Jan 1, 04:00 am",7.963,50883.6,0.994186,12,10.584
"Jan 1, 05:00 am",7.293,49997.1,0.995214,8,10.486
"Jan 1, 06:00 am",6.17,57873.1,0.996448,7,11.501
"Jan 1, 07:00 am",5.755,58561.4,0.997667,8,11.706
"Jan 1, 08:00 am",5.08,55308.9,0.998683,6,11.001
"Jan 1, 09:00 am",4.132,54770.8,0.999599,6,10.901
"Jan 1, 10:00 am",3.921,57693.2,1.00033,5,11.297
"Jan 1, 11:00 am",3.778,57439.3,1.00126,6,11.243
"Jan 1, 12:00 pm",2.607,55396.7,1.00225,4,10.928
"Jan 1, 01:00 pm",2.001,47173,1.00316,4,10.084
"Jan 1, 02:00 pm",2.242,25964,1.0039,3,8.087
"Jan 1, 03:00 pm",3.005,5937.64,1.0044,359,5.326
"Jan 1, 04:00 pm",3.988,4926.57,1.00453,1,5.095
"Jan 1, 05:00 pm",4.952,7108.13,1.00446,4,5.551
"Jan 1, 06:00 pm",8.848,12354.3,1.00448,6,6.506
"Jan 1, 07:00 pm",9.875,17429.9,1.00441,2,7.16
"Jan 1, 08:00 pm",10.365,24236.9,1.0042,1,7.983
"Jan 1, 09:00 pm",10.449,25678.6,1.00409,357,8.134
"Jan 1, 10:00 pm",10.24,24725.1,1.00408,358,8.034
"Jan 1, 11:00 pm",9.486,22827.3,1.00439,0,7.819
"Jan 2, 12:00 am",6.916,41128.5,1.00493,3,9.648
"Jan 2, 01:00 am",6.096,52826.7,1.00549,4,10.692
"Jan 2, 02:00 am",5.571,48285.8,1.00613,7,10.242
"Jan 2, 03:00 am",4.937,40925.7,1.00661,10,9.591
"Jan 2, 04:00 am",4.355,28564.5,1.00689,13,8.37
"Jan 2, 05:00 am",3.795,20730.4,1.00741,14,7.504
"Jan 2, 06:00 am",1.285,17639.2,1.00796,19,7.166
"Jan 2, 07:00 am",0.926,11524.5,1.00856,24,6.338
"Jan 2, 08:00 am",0.609,11311.7,1.00903,23,6.292
"Jan 2, 09:00 am",0.223,7110.15,1.0093,16,5.541
"Jan 2, 10:00 am",-0.157,4339.88,1.00955,6,4.934
"Jan 2, 11:00 am",-0.848,1846.93,1.00995,347,4.155
"Jan 2, 12:00 pm",-5.854,2990.36,1.01035,346,4.527
"Jan 2, 01:00 pm",-6.784,6539.91,1.01068,1,5.403
"Jan 2, 02:00 pm",-5.384,968.145,1.01112,21,3.778
"Jan 2, 03:00 pm",-2.485,0,1.01116,28,3.015
"Jan 2, 04:00 pm",0.15,0,1.01083,33,2.649
"Jan 2, 05:00 pm",1.618,0,1.01037,18,3.572
"Jan 2, 06:00 pm",5.25,1434.95,1.01,21,4.017
"Jan 2, 07:00 pm",6.238,1953.6,1.00962,24,4.253
"Jan 2, 08:00 pm",6.672,1807.95,1.00913,27,4.206
"Jan 2, 09:00 pm",6.815,1023.11,1.00854,28,3.838
"Jan 2, 10:00 pm",6.711,1003.12,1.00797,33,3.813
"Jan 2, 11:00 pm",6.253,2292.44,1.00771,46,4.331
"Jan 3, 12:00 am",3.403,6593.86,1.00774,56,5.472
"Jan 3, 01:00 am",2.647,12979.2,1.00779,69,6.558
"Jan 3, 02:00 am",2.022,11488.4,1.00771,77,6.283
"Jan 3, 03:00 am",1.354,8576.16,1.00753,82,5.841
"Jan 3, 04:00 am",0.623,4621.51,1.00723,86,5.083
"Jan 3, 05:00 am",0.169,2155.48,1.00704,91,4.335
"Jan 3, 06:00 am",-0.938,2580.75,1.00696,96,4.463
"Jan 3, 07:00 am",-1.366,1980.83,1.00693,105,4.208
"Jan 3, 08:00 am",-1.331,1581.85,1.00669,112,4.047
"Jan 3, 09:00 am",-1.273,2000.55,1.00637,113,4.213
"Jan 3, 10:00 am",-1.036,3038.89,1.00619,118,4.572
"Jan 3, 11:00 am",-1.002,3104.29,1.00598,121,4.597
"Jan 3, 12:00 pm",-1.467,3224.18,1.00575,125,4.636
"Jan 3, 01:00 pm",-1.534,2476.54,1.00554,129,4.378
"Jan 3, 02:00 pm",-1.272,1234.62,1.00517,128,3.894
"Jan 3, 03:00 pm",-0.74,0,1.00501,135,3.339
