,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 4, 06:00 pm",2.173,51330.8,0.851489,134,20.309
"Jan 4, 07:00 pm",2.708,51160.6,0.850316,138,20.158
"Jan 4, 08:00 pm",3.099,51054.6,0.849756,140,17.931
"Jan 4, 09:00 pm",3.196,51033.3,0.849701,147,16.052
"Jan 4, 10:00 pm",3.431,50966.7,0.849312,151,14.746
"Jan 4, 11:00 pm",3.667,50904,0.848991,148,16.212
"Jan 5, 12:00 am",3.336,50954.8,0.848823,154,15.836
"Jan 5, 01:00 am",2.983,51017,0.848774,151,14.593
"Jan 5, 02:00 am",2.785,51034.7,0.848459,153,14.518
"Jan 5, 03:00 am",2.262,51134.7,0.84851,162,14.132
"Jan 5, 04:00 am",1.573,51297.3,0.849079,171,13.895
"Jan 5, 05:00 am",1.248,51381,0.849459,176,12.595
"Jan 5, 06:00 am",1.099,51455,0.85022,195,12.566
"Jan 5, 07:00 am",0.854,51545.3,0.850951,211,15.233
"Jan 5, 08:00 am",0.546,51649.8,0.851718,214,16.898
"Jan 5, 09:00 am",0.283,51737.6,0.852346,216,19.363
"Jan 5, 10:00 am",-0.081,51836.3,0.852835,220,19.644
"Jan 5, 11:00 am",-0.443,51969.3,0.85389,223,18.243
"Jan 5, 12:00 pm",-0.685,52077,0.8549,224,16.662
"Jan 5, 01:00 pm",-1.046,52213.6,0.856007,226,16.003
"Jan 5, 02:00 pm",-1.166,52288.5,0.856858,226,15.634
"Jan 5, 03:00 pm",-1.712,52466.1,0.858041,228,15.104
"Jan 5, 04:00 pm",-2.222,52640.1,0.85927,226,14.554
"Jan 5, 05:00 pm",-2.222,52705.6,0.860339,226,13.822
"Jan 5, 06:00 pm",-2.149,52746.7,0.861242,225,12.756
"Jan 5, 07:00 pm",-2.182,49255.8,0.862086,225,11.041
"Jan 5, 08:00 pm",-1.681,52743.5,0.862677,224,12.433
"Jan 5, 09:00 pm",-1.378,52708.7,0.86307,223,12.454
"Jan 5, 10:00 pm",-2.034,44970.5,0.863362,227,10.509
"Jan 5, 11:00 pm",-4.192,8784.72,0.863833,233,6.045
"Jan 6, 12:00 am",-4.301,2627.55,0.864207,230,4.565
"Jan 6, 01:00 am",-5.728,7627,0.86464,233,5.805
"Jan 6, 02:00 am",-5.428,2630.15,0.865019,224,4.555
"Jan 6, 03:00 am",-5.006,1884.83,0.865025,237,4.275
"Jan 6, 04:00 am",-3.157,3368.11,0.864901,229,4.82
"Jan 6, 05:00 am",-7.611,0,0.865088,252,1.828
"Jan 6, 06:00 am",-8.124,0,0.865115,253,2.325
"Jan 6, 07:00 am",-4.908,0,0.865304,231,1.741
"Jan 6, 08:00 am",-4.675,0,0.865644,199,0.903
"Jan 6, 09:00 am",-8.573,0,0.865928,8,0.465
"Jan 6, 10:00 am",-8.436,0,0.865904,76,1.731
"Jan 6, 11:00 am",-4.544,0,0.865864,130,2.907
"Jan 6, 12:00 pm",-4.243,0,0.866071,132,3.369
"Jan 6, 01:00 pm",-4.167,906.089,0.866382,149,3.824
