,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",22.849,1408.79,1.00122,273,4.084
"Jan 1, 01:00 am",21.983,3269.05,1.00146,250,4.73
"Jan 1, 02:00 am",21.183,3284.21,1.00166,242,4.736
"Jan 1, 03:00 am",20.956,2327.5,1.00169,257,4.403
"Jan 1, 04:00 am",21.37,0,1.00164,256,3.549
"Jan 1, 05:00 am",21.294,0,1.00177,273,3.353
"Jan 1, 06:00 am",21.174,800.772,1.002,283,3.728
"Jan 1, 07:00 am",20.798,1075.4,1.0021,293,3.86
"Jan 1, 08:00 am",20.235,0,1.00229,300,2.872
"Jan 1, 09:00 am",20.338,0,1.00242,284,1.907
"Jan 1, 10:00 am",19.537,0,1.00237,243,1.541
"Jan 1, 11:00 am",19.41,0,1.00267,258,1.297
"Jan 1, 12:00 pm",19.652,0,1.00284,168,1.002
"Jan 1, 01:00 pm",20.057,0,1.00303,181,1.704
"Jan 1, 02:00 pm",20.107,1601.37,1.00351,312,4.115
"Jan 1, 03:00 pm",20.203,8243.7,1.00371,335,5.907
"Jan 1, 04:00 pm",20.161,11648.1,1.00363,352,6.467
"Jan 1, 05:00 pm",19.61,11670.7,1.00368,352,6.467
"Jan 1, 06:00 pm",20.817,9173.19,1.0037,343,6.032
"Jan 1, 07:00 pm",22.124,16323.2,1.00373,335,7.209
"Jan 1, 08:00 pm",21.703,28204.4,1.00373,325,8.572
"Jan 1, 09:00 pm",20.262,36206.9,1.00414,325,9.396
"Jan 1, 10:00 pm",18.189,46404.7,1.00469,327,10.36
"Jan 1, 11:00 pm",16.745,50429.2,1.0054,325,10.7
"Jan 2, 12:00 am",15.67,51631.1,1.00609,326,10.823
"Jan 2, 01:00 am",14.76,56052.2,1.00676,338,11.46
"Jan 2, 02:00 am",13.407,53268.9,1.00759,349,10.878
"Jan 2, 03:00 am",11.515,58781.4,1.00817,346,12.8
"Jan 2, 04:00 am",10.117,59090,1.00848,349,13.203
"Jan 2, 05:00 am",8.843,59364.6,1.00886,350,12.146
"Jan 2, 06:00 am",7.484,59698,1.00939,350,12.579
"Jan 2, 07:00 am",6.542,59928.1,1.00988,351,13.063
"Jan 2, 08:00 am",5.793,60108.8,1.01021,354,13.244
"Jan 2, 09:00 am",4.909,60324.7,1.01063,355,12.924
"Jan 2, 10:00 am",4.113,60527.8,1.01113,356,13.006
"Jan 2, 11:00 am",3.28,60751.8,1.01182,357,13.263
"Jan 2, 12:00 pm",2.501,60958.6,1.0124,1,12.784
"Jan 2, 01:00 pm",2.632,60954.7,1.01282,2,12.468
"Jan 2, 02:00 pm",3.387,59388.4,1.01283,1,11.501
"Jan 2, 03:00 pm",4.458,56646.8,1.01227,359,11.068
"Jan 2, 04:00 pm",5.767,47406.6,1.01158,353,10.121
"Jan 2, 05:00 pm",6.899,47818.2,1.01148,348,10.189
"Jan 2, 06:00 pm",7.167,50169.6,1.01141,343,10.476
"Jan 2, 07:00 pm",7.077,48910.5,1.01153,341,10.379
"Jan 2, 08:00 pm",6.839,48217.5,1.01193,340,10.316
"Jan 2, 09:00 pm",6.169,42774.5,1.01204,344,9.781
"Jan 2, 10:00 pm",5.114,56600.4,1.01286,338,11.188
"Jan 2, 11:00 pm",4.238,48453.6,1.01373,353,10.194
"Jan 3, 12:00 am",3.317,60383.1,1.01462,355,11.826
"Jan 3, 01:00 am",2.481,61087.2,1.01528,355,12.118
"Jan 3, 02:00 am",1.659,61359.1,1.01594,356,13.079
"Jan 3, 03:00 am",0.825,61552.3,1.01605,354,12.949
"Jan 3, 04:00 am",0.042,61723.2,1.01596,354,12.346
"Jan 3, 05:00 am",-0.311,61806.6,1.01601,356,12.399
"Jan 3, 06:00 am",-0.509,61860.4,1.01616,354,12.271
"Jan 3, 07:00 am",-0.526,61543.2,1.01602,354,11.923
"Jan 3, 08:00 am",-0.384,59969,1.01601,356,11.374
"Jan 3, 09:00 am",-0.145,57282.9,1.01617,357,10.998
"Jan 3, 10:00 am",0.129,58285.2,1.01635,357,11.133
"Jan 3, 11:00 am",0.308,59444.8,1.01678,358,11.307
"Jan 3, 12:00 pm",0.489,60119.3,1.01713,0,11.444
"Jan 3, 01:00 pm",1.502,56219.1,1.01734,2,10.902
"Jan 3, 02:00 pm",3.098,50762.8,1.01744,4,10.398
"Jan 3, 03:00 pm",4.927,49696.3,1.01716,6,10.326
"Jan 3, 04:00 pm",6.71,49788.7,1.01685,10,10.364
"Jan 3, 05:00 pm",8.109,52045,1.01664,13,10.594
"Jan 3, 06:00 pm",9.199,49875.9,1.01644,17,10.464
"Jan 3, 07:00 pm",9.78,48160.7,1.01641,20,10.345
"Jan 3, 08:00 pm",10.426,43641.8,1.01629,22,9.975
"Jan 3, 09:00 pm",10.724,46221.4,1.01623,27,10.233
"Jan 3, 10:00 pm",9.6,39648.4,1.01659,18,9.559
"Jan 3, 11:00 pm",8.682,53196.7,1.01697,12,10.717
"Jan 4, 12:00 am",8.564,48868.1,1.01707,6,10.307
"Jan 4, 01:00 am",7.863,46670.9,1.01721,4,10.069
"Jan 4, 02:00 am",7.122,53164.9,1.01714,2,10.686
"Jan 4, 03:00 am",5.899,54232.8,1.01712,5,10.772
"Jan 4, 04:00 am",5.551,50425.3,1.01676,8,10.403
"Jan 4, 05:00 am",4.991,50803.7,1.01655,9,10.427
"Jan 4, 06:00 am",4.665,48820.6,1.01646,9,10.227
