,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",12.854,7654.22,1.0059,273,5.767
"Jan 1, 01:00 am",12.58,18269.9,1.00678,282,7.317
"Jan 1, 02:00 am",12.693,58518.4,1.00823,325,12.218
"Jan 1, 03:00 am",10.591,59042.7,1.00936,342,13.242
"Jan 1, 04:00 am",9.186,59392.4,1.01031,346,13.275
"Jan 1, 05:00 am",7.876,59740.1,1.01151,351,12.963
"Jan 1, 06:00 am",6.875,60037.3,1.01292,354,13.217
"Jan 1, 07:00 am",5.794,60120.1,1.01416,355,11.984
"Jan 1, 08:00 am",4.283,52231.6,1.01516,354,10.546
"Jan 1, 09:00 am",3.977,60515.9,1.01608,353,11.903
"Jan 1, 10:00 am",3.583,60980.3,1.01694,353,12.16
"Jan 1, 11:00 am",2.631,57381,1.01793,354,11.064
"Jan 1, 12:00 pm",1.574,52753.3,1.01896,354,10.53
"Jan 1, 01:00 pm",1.397,51131.2,1.01978,351,10.383
"Jan 1, 02:00 pm",3.857,29305.6,1.02061,353,8.391
"Jan 1, 03:00 pm",5.362,16957.8,1.02103,352,7.032
"Jan 1, 04:00 pm",6.798,19788.9,1.02113,352,7.371
"Jan 1, 05:00 pm",7.868,26048.5,1.02116,353,8.098
"Jan 1, 06:00 pm",8.58,25715.1,1.0213,350,8.07
"Jan 1, 07:00 pm",9.147,25368.1,1.02121,346,8.055
"Jan 1, 08:00 pm",9.367,28846.5,1.02108,343,8.444
"Jan 1, 09:00 pm",9.128,27094.9,1.02103,341,8.279
"Jan 1, 10:00 pm",7.907,20664.6,1.02131,331,7.589
"Jan 1, 11:00 pm",5.751,35475.1,1.02178,332,9.107
"Jan 2, 12:00 am",4.892,53073.3,1.02232,324,10.65
"Jan 2, 01:00 am",3.997,51835.4,1.02293,321,10.494
"Jan 2, 02:00 am",3.627,60583.8,1.02348,325,11.784
