,Air temperature | ('C),Power generated by system | (kW),Pressure | (atm),Wind direction | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",-4.273,46930.3,0.760266,225,13.758
"Jan 1, 01:00 am",-4.398,46946.9,0.760182,232,15.036
"Jan 1, 02:00 am",-4.557,46966.6,0.760051,236,15.327
"Jan 1, 03:00 am",-4.795,46991.1,0.759774,238,15.438
"Jan 1, 04:00 am",-5.447,47111.6,0.759872,238,15.181
"Jan 1, 05:00 am",-6.026,47198.9,0.759632,240,15.386
"Jan 1, 06:00 am",-6.202,47228.1,0.759603,245,14.456
"Jan 1, 07:00 am",-6.213,47245.7,0.759854,250,12.789
"Jan 1, 08:00 am",-6.393,37788,0.760089,256,10.24
"Jan 1, 09:00 am",-6.404,18179.6,0.76023,265,7.919
"Jan 1, 10:00 am",-6.367,8838.71,0.76025,274,6.336
"Jan 1, 11:00 am",-6.399,4439.16,0.760418,280,5.298
"Jan 1, 12:00 pm",-6.463,1355.9,0.760781,281,4.141
"Jan 1, 01:00 pm",-6.271,2227.68,0.761095,296,4.519
"Jan 1, 02:00 pm",-6.497,1604.42,0.761235,315,4.237
"Jan 1, 03:00 pm",-5.909,2938.93,0.761491,307,4.804
"Jan 1, 04:00 pm",-4.998,7795.08,0.761904,291,6.042
"Jan 1, 05:00 pm",-4.498,11060.9,0.762039,285,6.745
"Jan 1, 06:00 pm",-3.64,6727.35,0.762124,288,5.815
"Jan 1, 07:00 pm",-3.19,3426.58,0.762325,280,5.003
"Jan 1, 08:00 pm",-3.086,4245.63,0.762445,258,5.24
"Jan 1, 09:00 pm",-3.294,8352.9,0.762372,247,6.152
"Jan 1, 10:00 pm",-3.64,17331.1,0.762008,250,7.7
"Jan 1, 11:00 pm",-4.287,25787.2,0.761919,248,8.798
"Jan 2, 12:00 am",-4.456,43540.1,0.76202,244,10.993
"Jan 2, 01:00 am",-4.613,46778.6,0.762111,244,11.889
"Jan 2, 02:00 am",-5.127,47191.6,0.762072,245,12.401
"Jan 2, 03:00 am",-5.689,47283.4,0.761952,244,12.436
"Jan 2, 04:00 am",-5.923,47326,0.761972,243,12.358
"Jan 2, 05:00 am",-6.084,47348.8,0.761881,244,12.511
"Jan 2, 06:00 am",-6.142,47354.3,0.761802,247,12.982
"Jan 2, 07:00 am",-6.264,47381.7,0.761896,249,13.805
