,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",4.763,55421.4,0.946554,296,11.588
"Jan 1, 01:00 am",4.581,56610.6,0.947285,308,12.973
"Jan 1, 02:00 am",3.59,56872.6,0.948275,314,15.492
"Jan 1, 03:00 am",2.499,57172.8,0.949522,317,14.159
"Jan 1, 04:00 am",2.814,57171.4,0.950584,320,15.52
"Jan 1, 05:00 am",2.164,57388,0.951936,319,15.06
"Jan 1, 06:00 am",1.675,57575.6,0.953353,318,15.421
"Jan 1, 07:00 am",1.178,57788.4,0.955146,320,15.741
"Jan 1, 08:00 am",0.652,58020.1,0.957137,320,15.827
"Jan 1, 09:00 am",-0.007,58279.6,0.959103,320,15.645
"Jan 1, 10:00 am",-0.717,58546.1,0.960985,318,14.532
"Jan 1, 11:00 am",-1.227,58754.3,0.962597,317,13.675
"Jan 1, 12:00 pm",-1.559,58905.4,0.963895,314,14.156
"Jan 1, 01:00 pm",-1.848,59053.8,0.965295,310,12.561
"Jan 1, 02:00 pm",-1.34,59000.6,0.96623,312,13.31
"Jan 1, 03:00 pm",-0.232,58811.2,0.967054,308,12.848
"Jan 1, 04:00 pm",0.718,58625.2,0.967352,306,14.185
"Jan 1, 05:00 pm",1.46,58486.6,0.96768,305,14.792
"Jan 1, 06:00 pm",1.92,58401.3,0.967887,305,15.564
"Jan 1, 07:00 pm",2.081,58389.7,0.968262,303,16.152
"Jan 1, 08:00 pm",1.936,58466.2,0.969019,302,16.097
"Jan 1, 09:00 pm",1.358,58625.6,0.96962,301,14.92
"Jan 1, 10:00 pm",-0.034,58941.8,0.969905,298,13.118
"Jan 1, 11:00 pm",-0.906,59162.2,0.970424,297,13.762
"Jan 2, 12:00 am",-1.257,59274.7,0.971016,302,14.318
"Jan 2, 01:00 am",-1.712,59415.2,0.971688,308,14.985
"Jan 2, 02:00 am",-2.286,59568.9,0.972143,311,13.271
"Jan 2, 03:00 am",-2.794,59693.1,0.972342,316,13.778
"Jan 2, 04:00 am",-3.263,59801.9,0.972424,316,12.965
"Jan 2, 05:00 am",-3.613,59889.7,0.972589,317,12.908
"Jan 2, 06:00 am",-3.881,59974.6,0.973,318,12.57
"Jan 2, 07:00 am",-4.089,60042.9,0.973354,318,12.335
"Jan 2, 08:00 am",-4.35,60116,0.973595,316,12.748
"Jan 2, 09:00 am",-4.719,60206.3,0.973719,315,12.406
"Jan 2, 10:00 am",-5.114,60294.8,0.973716,316,12.643
"Jan 2, 11:00 am",-5.484,60333.9,0.974068,317,12.104
"Jan 2, 12:00 pm",-5.776,60488.4,0.974429,317,12.222
"Jan 2, 01:00 pm",-6.072,60586,0.974921,318,12.347
"Jan 2, 02:00 pm",-6.052,60590.3,0.975062,324,12.437
"Jan 2, 03:00 pm",-5.545,60500.7,0.975469,329,12.804
"Jan 2, 04:00 pm",-5.074,60306.1,0.975655,330,12.243
"Jan 2, 05:00 pm",-4.557,58643.8,0.975585,328,11.525
"Jan 2, 06:00 pm",-4.07,56834,0.975486,326,11.207
"Jan 2, 07:00 pm",-3.701,52672.3,0.975677,325,10.702
"Jan 2, 08:00 pm",-3.511,48581.4,0.975911,324,10.31
