,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-9.368,54200.6,0.928428,173,10.994
"Jan 1, 01:00 am",-9.693,57321,0.927219,176,11.597
"Jan 1, 02:00 am",-10.232,58441.5,0.925765,181,12.359
"Jan 1, 03:00 am",-10.119,58307.4,0.924037,190,13.036
"Jan 1, 04:00 am",-9.934,58179.1,0.922652,195,13.294
"Jan 1, 05:00 am",-9.943,58107.5,0.921486,200,14.168
"Jan 1, 06:00 am",-9.679,57978.7,0.920383,210,12.367
"Jan 1, 07:00 am",-8.585,56419.4,0.919848,227,11.518
"Jan 1, 08:00 am",-5.903,57091.1,0.919264,249,14.345
"Jan 1, 09:00 am",-4.138,56719.1,0.919306,264,15.306
"Jan 1, 10:00 am",-5.14,56939.7,0.919443,274,15.485
"Jan 1, 11:00 am",-5.53,57050.6,0.919894,280,16.247
"Jan 1, 12:00 pm",-6.003,57175.7,0.920281,282,16.246
"Jan 1, 01:00 pm",-6.278,57254.6,0.920603,280,16.648
"Jan 1, 02:00 pm",-7.345,57510.3,0.921016,286,16.347
"Jan 1, 03:00 pm",-8.761,57857.3,0.921638,291,14.957
"Jan 1, 04:00 pm",-9.691,58096.5,0.922192,292,13.82
"Jan 1, 05:00 pm",-10.648,58341.2,0.922714,290,13.623
"Jan 1, 06:00 pm",-11.692,58613.8,0.923338,293,13.798
"Jan 1, 07:00 pm",-12.677,58881.9,0.924067,294,13.134
"Jan 1, 08:00 pm",-13.345,59078.9,0.924781,293,12.629
"Jan 1, 09:00 pm",-14.027,55331.2,0.925509,295,11.054
"Jan 1, 10:00 pm",-15.274,59356,0.925734,297,11.997
"Jan 1, 11:00 pm",-16.238,59841,0.926279,299,12.317
"Jan 2, 12:00 am",-16.76,59923.3,0.926781,304,12.127
"Jan 2, 01:00 am",-17.096,59515.3,0.927227,312,11.808
"Jan 2, 02:00 am",-17.578,57421.2,0.927467,318,11.213
"Jan 2, 03:00 am",-18.282,44274.3,0.927582,326,9.93
"Jan 2, 04:00 am",-19.685,29568.3,0.928031,331,8.552
"Jan 2, 05:00 am",-20.041,19503.9,0.928441,335,7.431
"Jan 2, 06:00 am",-20.369,11157.8,0.928719,338,6.262
"Jan 2, 07:00 am",-19.026,3181.51,0.928963,334,4.678
"Jan 2, 08:00 am",-18.643,0,0.929195,339,3.595
"Jan 2, 09:00 am",-18.566,0,0.929398,352,2.16
"Jan 2, 10:00 am",-18.357,0,0.929459,58,1.103
"Jan 2, 11:00 am",-18.294,0,0.929535,98,1.314
"Jan 2, 12:00 pm",-18.149,0,0.9297,125,1.751
"Jan 2, 01:00 pm",-17.811,0,0.929583,122,2.547
"Jan 2, 02:00 pm",-17.623,0,0.929318,112,3.398
"Jan 2, 03:00 pm",-17.385,2299,0.929153,115,4.331
"Jan 2, 04:00 pm",-16.676,3337.18,0.929027,121,4.693
"Jan 2, 05:00 pm",-15.836,4554.94,0.928477,117,5.017
"Jan 2, 06:00 pm",-14.982,7615.21,0.927968,124,5.646
"Jan 2, 07:00 pm",-14.524,12998.2,0.927354,122,6.6
"Jan 2, 08:00 pm",-14.729,19398.2,0.926958,117,7.378
"Jan 2, 09:00 pm",-15.143,30309,0.926372,111,8.586
"Jan 2, 10:00 pm",-15.393,41035,0.925857,112,9.642
"Jan 2, 11:00 pm",-15.365,51731.4,0.925293,112,10.604
"Jan 3, 12:00 am",-15.296,54593,0.925034,112,10.924
"Jan 3, 01:00 am",-15.072,52094.9,0.925018,115,10.649
"Jan 3, 02:00 am",-14.951,50861.3,0.924863,118,10.542
"Jan 3, 03:00 am",-14.938,48483.4,0.924702,119,10.328
"Jan 3, 04:00 am",-15.231,49538.1,0.924893,118,10.422
"Jan 3, 05:00 am",-15.627,42460,0.92504,114,9.766
"Jan 3, 06:00 am",-16.154,40544.1,0.925316,109,9.592
"Jan 3, 07:00 am",-17.374,35011.8,0.925797,106,8.994
"Jan 3, 08:00 am",-17.856,25800.8,0.926455,104,8.113
"Jan 3, 09:00 am",-17.935,15600.3,0.926981,102,6.936
"Jan 3, 10:00 am",-17.542,11260,0.927391,97,6.312
"Jan 3, 11:00 am",-15.167,2213.86,0.927917,94,4.367
"Jan 3, 12:00 pm",-14.107,0,0.928619,68,2.423
"Jan 3, 01:00 pm",-13.661,0,0.929377,16,2.1
"Jan 3, 02:00 pm",-13.413,0,0.930026,341,3.527
"Jan 3, 03:00 pm",-13.339,5532.56,0.930739,328,5.295
"Jan 3, 04:00 pm",-13.263,17029.1,0.931452,319,7.097
"Jan 3, 05:00 pm",-13.255,24688.5,0.932067,317,8
"Jan 3, 06:00 pm",-13.155,33070.2,0.932658,316,8.829
"Jan 3, 07:00 pm",-13.458,40731.4,0.933324,314,9.608
"Jan 3, 08:00 pm",-13.981,49158.4,0.934044,314,10.351
"Jan 3, 09:00 pm",-14.919,51913.8,0.934882,313,10.575
