,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Jan 1, 12:00 am",6.984,17526.7,0.983423,7.227,324
"Jan 1, 01:00 am",5.774,20398.9,0.984034,7.616,329
"Jan 1, 02:00 am",5.077,8712.32,0.984476,5.931,329
"Jan 1, 03:00 am",4.802,9869.95,0.984785,6.055,349
"Jan 1, 04:00 am",4.22,9036,0.984741,5.937,345
"Jan 1, 05:00 am",3.772,9239.2,0.984991,6.032,335
"Jan 1, 06:00 am",3.366,11732.4,0.985311,6.419,342
"Jan 1, 07:00 am",2.041,35776.3,0.985683,9.074,352
"Jan 1, 08:00 am",1.83,18886.7,0.985947,7.304,351
"Jan 1, 09:00 am",0.92,21964.3,0.986283,7.672,352
"Jan 1, 10:00 am",-0.563,32643.5,0.986847,8.756,350
"Jan 1, 11:00 am",-1.661,37034.1,0.987271,9.162,352
"Jan 1, 12:00 pm",-2.385,36696.6,0.987765,9.104,352
"Jan 1, 01:00 pm",-2.57,29466.5,0.988132,8.435,350
"Jan 1, 02:00 pm",-1.836,22108.9,0.988567,7.66,348
"Jan 1, 03:00 pm",-0.817,17958.9,0.988814,7.205,343
"Jan 1, 04:00 pm",0.271,13278.7,0.988721,6.676,339
"Jan 1, 05:00 pm",1.285,12588.7,0.988608,6.602,336
"Jan 1, 06:00 pm",2.199,16085.7,0.98841,7.073,334
"Jan 1, 07:00 pm",2.738,18202.9,0.988303,7.332,334
"Jan 1, 08:00 pm",2.871,15397.1,0.988195,6.995,334
"Jan 1, 09:00 pm",2.315,14431.7,0.988177,6.873,334
"Jan 1, 10:00 pm",-0.484,12166,0.988498,6.508,331
"Jan 1, 11:00 pm",-1.179,33950.4,0.988765,8.896,323
"Jan 2, 12:00 am",-1.544,49904.2,0.989082,10.504,333
"Jan 2, 01:00 am",-1.967,45672.8,0.989402,10.082,337
"Jan 2, 02:00 am",-2.434,35457.7,0.989631,9.046,341
"Jan 2, 03:00 am",-2.829,22390.3,0.98968,7.759,339
"Jan 2, 04:00 am",-3.041,19222.5,0.989603,7.344,342
"Jan 2, 05:00 am",-3.255,9554.83,0.989851,6.037,335
"Jan 2, 06:00 am",-3.343,12156.1,0.990026,6.473,330
"Jan 2, 07:00 am",-3.572,11819.4,0.990282,6.396,337
"Jan 2, 08:00 am",-3.964,18357.4,0.990382,7.253,340
"Jan 2, 09:00 am",-4.601,35980.6,0.990416,9.003,347
"Jan 2, 10:00 am",-5.122,31929.1,0.990705,8.635,351
"Jan 2, 11:00 am",-5.599,23167.5,0.990992,7.742,350
"Jan 2, 12:00 pm",-6.22,25848.5,0.991304,8.02,351
"Jan 2, 01:00 pm",-6.646,27473.9,0.991743,8.178,355
"Jan 2, 02:00 pm",-6.362,28550.7,0.992011,8.29,357
"Jan 2, 03:00 pm",-5.698,20107.5,0.992103,7.374,356
"Jan 2, 04:00 pm",-4.796,12838.1,0.991849,6.511,356
"Jan 2, 05:00 pm",-3.911,8183.7,0.991587,5.694,354
"Jan 2, 06:00 pm",-3.106,8294.71,0.991337,5.717,352
"Jan 2, 07:00 pm",-2.541,7678.25,0.991076,5.619,352
"Jan 2, 08:00 pm",-2.346,8328.02,0.990795,5.73,353
"Jan 2, 09:00 pm",-2.674,7588.9,0.990606,5.608,355
"Jan 2, 10:00 pm",-4.488,10375.8,0.990603,6.074,357
