,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Jan 1, 12:00 am",-1.381,35487.8,0.990315,9.006,14
"Jan 1, 01:00 am",-1.559,35544.9,0.990461,9.027,16
"Jan 1, 02:00 am",-1.553,33281.4,0.990473,8.877,20
"Jan 1, 03:00 am",-1.686,32992.2,0.99021,8.898,28
"Jan 1, 04:00 am",-1.936,28841.1,0.989793,8.408,37
"Jan 1, 05:00 am",-2.129,24860.3,0.989564,7.973,47
"Jan 1, 06:00 am",-2.28,23298.8,0.989289,7.809,50
"Jan 1, 07:00 am",-2.542,15306.4,0.989075,6.864,61
"Jan 1, 08:00 am",-2.923,9827.6,0.988731,6.022,74
"Jan 1, 09:00 am",-3.286,6313.61,0.988446,5.483,94
"Jan 1, 10:00 am",-3.353,8041.84,0.988245,5.687,108
"Jan 1, 11:00 am",-3.331,22434.9,0.98795,7.695,114
"Jan 1, 12:00 pm",-3.554,31198.4,0.98787,8.616,119
"Jan 1, 01:00 pm",-2.259,34883.4,0.987926,8.953,127
"Jan 1, 02:00 pm",0.349,31927.4,0.987814,8.713,131
"Jan 1, 03:00 pm",2.117,20577,0.98749,7.512,134
"Jan 1, 04:00 pm",4.011,12017.7,0.986588,6.457,139
"Jan 1, 05:00 pm",5.988,11099.3,0.985844,6.328,149
"Jan 1, 06:00 pm",7.308,17476,0.985149,7.279,156
"Jan 1, 07:00 pm",8.067,22443.9,0.984501,7.896,158
"Jan 1, 08:00 pm",8.344,22816.4,0.983964,7.936,159
"Jan 1, 09:00 pm",6.864,24939.7,0.983306,8.136,161
"Jan 1, 10:00 pm",3.893,34355.5,0.982916,9.079,158
"Jan 1, 11:00 pm",2.779,51362.1,0.982733,10.749,155
"Jan 2, 12:00 am",1.743,57878.5,0.982311,11.57,159
"Jan 2, 01:00 am",1.116,59424.9,0.981972,12.844,159
"Jan 2, 02:00 am",1.488,57227.3,0.981874,11.489,154
"Jan 2, 03:00 am",1.559,56421.7,0.981628,11.341,152
"Jan 2, 04:00 am",1.649,57935.4,0.981119,11.662,153
"Jan 2, 05:00 am",3.043,31048.5,0.981053,8.793,155
"Jan 2, 06:00 am",3.505,28054.4,0.981048,8.463,159
"Jan 2, 07:00 am",4.007,28610.9,0.980824,8.547,157
"Jan 2, 08:00 am",4.303,36558.9,0.98033,9.319,160
"Jan 2, 09:00 am",4.09,23677.1,0.980204,7.94,165
"Jan 2, 10:00 am",4.161,3194.19,0.98049,4.664,174
"Jan 2, 11:00 am",4.297,1519.39,0.980714,4.059,216
"Jan 2, 12:00 pm",4.638,10104.6,0.980766,6.166,202
"Jan 2, 01:00 pm",5.143,4953.46,0.980735,5.163,199
"Jan 2, 02:00 pm",5.689,1627.86,0.980716,4.107,181
"Jan 2, 03:00 pm",6.468,0,0.980702,2.938,181
"Jan 2, 04:00 pm",7.341,0,0.980207,2.594,197
"Jan 2, 05:00 pm",8.664,0,0.979833,1.618,167
"Jan 2, 06:00 pm",9.255,0,0.979591,1.409,149
"Jan 2, 07:00 pm",9.518,0,0.979438,1.905,140
"Jan 2, 08:00 pm",9.81,0,0.9792,2.21,126
"Jan 2, 09:00 pm",9.718,0,0.978982,2.41,132
"Jan 2, 10:00 pm",9.292,1582.39,0.979105,4.093,138
"Jan 2, 11:00 pm",9.277,2374.5,0.979144,4.409,145
"Jan 3, 12:00 am",9.133,5221.25,0.979246,5.283,153
"Jan 3, 01:00 am",9.211,5262.37,0.979301,5.277,158
"Jan 3, 02:00 am",9.398,7275.96,0.979379,5.683,158
"Jan 3, 03:00 am",9.55,10182.4,0.979377,6.226,153
"Jan 3, 04:00 am",9.722,10585.2,0.979156,6.257,160
"Jan 3, 05:00 am",9.794,11363.4,0.97918,6.46,155
"Jan 3, 06:00 am",9.515,10135,0.979122,6.198,149
"Jan 3, 07:00 am",9.902,10903,0.979242,6.349,151
"Jan 3, 08:00 am",10.108,10740.5,0.97932,6.277,146
"Jan 3, 09:00 am",10.339,12871.6,0.979309,6.728,152
"Jan 3, 10:00 am",10.646,12815.7,0.979287,6.706,149
"Jan 3, 11:00 am",10.741,14813.9,0.979509,6.954,160
"Jan 3, 12:00 pm",11.371,25511.9,0.979553,8.261,160
"Jan 3, 01:00 pm",11.691,18988.5,0.979582,7.508,157
"Jan 3, 02:00 pm",12.014,17935,0.979649,7.39,152
"Jan 3, 03:00 pm",12.976,7782.36,0.979501,5.809,155
"Jan 3, 04:00 pm",15.065,7475.19,0.979019,5.722,161
"Jan 3, 05:00 pm",15.907,11471,0.978656,6.463,167
"Jan 3, 06:00 pm",17.441,11618.1,0.978449,6.5,177
