,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",10.127,0,0.998955,324,3.581
"Jan 1, 01:00 am",9.909,2195.84,0.998777,333,4.361
"Jan 1, 02:00 am",9.759,5374.22,0.998788,323,5.244
"Jan 1, 03:00 am",9.722,6716.23,0.99846,308,5.522
"Jan 1, 04:00 am",9.714,10738.8,0.998179,297,6.199
"Jan 1, 05:00 am",8.914,5881.5,0.998051,289,5.353
"Jan 1, 06:00 am",8.028,12036.5,0.998068,294,6.467
"Jan 1, 07:00 am",8.304,11707.7,0.99797,294,6.397
"Jan 1, 08:00 am",7.814,11379.5,0.997799,274,6.414
"Jan 1, 09:00 am",7.182,12114.1,0.99788,279,6.532
"Jan 1, 10:00 am",6.868,8425.34,0.997893,284,5.817
"Jan 1, 11:00 am",6.646,5095.91,0.997795,293,5.155
"Jan 1, 12:00 pm",6.209,5744.17,0.997664,290,5.307
"Jan 1, 01:00 pm",6.126,5933.6,0.997682,303,5.358
"Jan 1, 02:00 pm",6.41,2011.43,0.997546,333,4.285
"Jan 1, 03:00 pm",8.19,2237.08,0.997336,336,4.368
"Jan 1, 04:00 pm",9.935,3393.53,0.997001,340,4.757
"Jan 1, 05:00 pm",11.25,5877.14,0.996608,341,5.393
"Jan 1, 06:00 pm",11.88,8904.87,0.9964,338,5.985
"Jan 1, 07:00 pm",11.999,10374.9,0.996347,337,6.23
"Jan 1, 08:00 pm",11.48,11874.6,0.996208,325,6.495
"Jan 1, 09:00 pm",10.813,14856.8,0.996554,328,6.938
"Jan 1, 10:00 pm",9.14,26633,0.99716,325,8.288
"Jan 1, 11:00 pm",7.885,46401.3,0.997554,328,10.231
"Jan 2, 12:00 am",6.496,35995.3,0.997934,318,9.129
"Jan 2, 01:00 am",5.447,57611.3,0.998443,328,11.477
"Jan 2, 02:00 am",4.37,55990.4,0.99897,333,11.228
