,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 1, 12:00 am",-5.783,0,0.945581,257,2.639
"Jan 1, 01:00 am",-5.82,0,0.945828,238,1.083
"Jan 1, 02:00 am",-6.192,0,0.945827,183,1.039
"Jan 1, 03:00 am",-4.652,0,0.945446,214,2.681
"Jan 1, 04:00 am",-2.927,2016.09,0.944789,213,4.282
"Jan 1, 05:00 am",-2.452,2039.91,0.944723,185,4.266
"Jan 1, 06:00 am",-2.647,4917.35,0.944551,169,5.13
"Jan 1, 07:00 am",-2.844,5567.01,0.944074,159,5.337
"Jan 1, 08:00 am",-2.757,10847.7,0.943342,158,6.305
"Jan 1, 09:00 am",-2.368,31395.5,0.942365,156,8.878
"Jan 1, 10:00 am",-0.782,47498.2,0.941399,156,10.508
"Jan 1, 11:00 am",0.173,56685.6,0.94027,159,11.976
"Jan 1, 12:00 pm",0.524,56944.1,0.938947,158,13.241
"Jan 1, 01:00 pm",1.03,56764.6,0.937717,159,15.177
"Jan 1, 02:00 pm",0.911,56718.6,0.936552,152,14.709
"Jan 1, 03:00 pm",0.754,41085,0.93596,162,9.873
"Jan 1, 04:00 pm",1.109,11590.2,0.935153,181,6.469
"Jan 1, 05:00 pm",2.491,14330,0.934187,188,6.864
"Jan 1, 06:00 pm",3.134,19304.3,0.933707,206,7.612
"Jan 1, 07:00 pm",2.947,24108.7,0.933082,214,8.153
"Jan 1, 08:00 pm",0.923,19062.6,0.932797,232,7.464
"Jan 1, 09:00 pm",-2.737,19091.8,0.93265,228,7.429
"Jan 1, 10:00 pm",-3.279,23908.6,0.932668,236,8.025
"Jan 1, 11:00 pm",-2.59,22055,0.932462,239,7.823
"Jan 2, 12:00 am",-1.592,10588,0.932357,241,6.228
"Jan 2, 01:00 am",-3.493,28999.4,0.932001,248,8.57
"Jan 2, 02:00 am",-5.559,16744.7,0.931512,252,7.128
"Jan 2, 03:00 am",-4.485,15473.4,0.931489,249,6.976
