,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,4.9
"Jan 1, 01:00 am",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,4.9
"Jan 1, 02:00 am",0,3.5,0,0,0,0,0,3.5,0,0,1,0,0,4.9
"Jan 1, 03:00 am",0,3.1,0,0,0,0,0,3.1,0,0,1,0,0,4.3
"Jan 1, 04:00 am",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,4.3
"Jan 1, 05:00 am",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,4.3
"Jan 1, 06:00 am",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,11.1
"Jan 1, 07:00 am",39.5854,2.7,78.112,102,62.998,2,5,2.11296,22.9517,0.0395854,1,2,16.5493,11.1
"Jan 1, 08:00 am",781.125,3.8,70.0373,546,821.025,40,122,5.87802,245.424,0.781125,1,1,219.182,11.1
"Jan 1, 09:00 am",1663.54,5,58.438,789,1729.66,57,295,11.4291,492.252,1.66354,1,1,473.077,8
"Jan 1, 10:00 am",2239.72,6.2,48.4536,867,2326.9,62,426,15.3053,657.418,2.23972,1,1,647.517,8
"Jan 1, 11:00 am",2569.2,6.3,41.3378,883,2669.85,69,504,16.9841,753.974,2.5692,1,1,748.599,8
"Jan 1, 12:00 pm",2665.05,6.4,38.7233,879,2769.81,75,529,17.9078,784.044,2.66505,1,1,779.89,7.7
"Jan 1, 01:00 pm",2516.7,6.5,41.4742,858,2615.13,74,495,17.3671,739.822,2.5167,1,1,734.532,7.7
"Jan 1, 02:00 pm",2208.04,6,48.6862,856,2293.98,63,419,15.4401,648.706,2.20804,1,1,638.741,7.7
"Jan 1, 03:00 pm",1579.83,5.5,58.7273,762,1643.15,54,280,12.9021,471.247,1.57983,1,1,452.359,6.6
"Jan 1, 04:00 pm",758.158,5.1,70.3577,562,797.472,38,119,8.48176,242.729,0.758158,1,1,215.312,6.6
"Jan 1, 05:00 pm",28.7657,4.5,78.2635,91,51.9747,1,4,3.88467,19.4802,0.0287657,1,3,13.7569,6.6
"Jan 1, 06:00 pm",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,8.3
"Jan 1, 07:00 pm",0,3.4,0,0,0,0,0,3.4,0,0,1,0,0,8.3
"Jan 1, 08:00 pm",0,2.5,0,0,0,0,0,2.5,0,0,1,0,0,8.3
"Jan 1, 09:00 pm",0,1.6,0,0,0,0,0,1.6,0,0,1,0,0,7.9
"Jan 1, 10:00 pm",0,0.8,0,0,0,0,0,0.8,0,0,1,0,0,7.9
"Jan 1, 11:00 pm",0,0.3,0,0,0,0,0,0.3,0,0,1,0,0,7.9
"Jan 2, 12:00 am",0,-0.2,0,0,0,0,0,-0.2,0,0,1,0,0,10
"Jan 2, 01:00 am",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,10
"Jan 2, 02:00 am",0,-1.5,0,0,0,0,0,-1.5,0,0,1,0,0,10
"Jan 2, 03:00 am",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,8
"Jan 2, 04:00 am",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,8
"Jan 2, 05:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,8
"Jan 2, 06:00 am",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,8
"Jan 2, 07:00 am",17.188,-5.3,78.1606,58,40.1802,2,4,-6.17469,13.8395,0.017188,1,2,10.1966,8
"Jan 2, 08:00 am",643.508,-5.2,70.0926,314,679.97,62,109,-3.4951,189.604,0.643508,1,1,174.473,8
"Jan 2, 09:00 am",1336.76,-5.2,58.4716,481,1392.32,95,240,-1.05484,372.623,1.33676,1,1,360.906,9.2
"Jan 2, 10:00 am",2315.07,-5.1,48.456,728,2405.24,123,429,2.80347,642.018,2.31507,1,1,633.703,9.2
"Jan 2, 11:00 am",2684.28,-4.3,41.2973,873,2789.87,70,501,5.23621,748.026,2.68428,1,1,742.732,9.2
"Jan 2, 12:00 pm",2848.4,-3.4,38.6354,889,2961.28,73,534,4.57167,790.284,2.8484,1,1,786.119,13
"Jan 2, 01:00 pm",2723.39,-2.5,41.352,888,2830.71,70,507,5.16278,758.777,2.7234,1,1,753.364,13
"Jan 2, 02:00 pm",2341.9,-2.1,48.5495,864,2433.15,63,424,4.44858,655.521,2.34191,1,1,645.576,13
"Jan 2, 03:00 pm",1700.27,-1.7,58.5883,784,1767.63,56,291,3.64738,486.644,1.70027,1,1,467.393,10.9
"Jan 2, 04:00 pm",797.864,-1.3,70.2226,567,838.195,39,122,1.0654,246.705,0.797864,1,1,219.216,10.9
"Jan 2, 05:00 pm",36.2546,-1.9,78.2188,95,59.6044,2,5,-2.3802,21.3363,0.0362546,1,3,15.3649,10.9
"Jan 2, 06:00 pm",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,9.2
"Jan 2, 07:00 pm",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,9.2
"Jan 2, 08:00 pm",0,-4,0,0,0,0,0,-4,0,0,1,0,0,9.2
"Jan 2, 09:00 pm",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,10.4
"Jan 2, 10:00 pm",0,-5.7,0,0,0,0,0,-5.7,0,0,1,0,0,10.4
"Jan 2, 11:00 pm",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,10.4
"Jan 3, 12:00 am",0,-6.5,0,0,0,0,0,-6.5,0,0,1,0,0,7.1
"Jan 3, 01:00 am",0,-6.9,0,0,0,0,0,-6.9,0,0,1,0,0,7.1
"Jan 3, 02:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,7.1
"Jan 3, 03:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,7.3
"Jan 3, 04:00 am",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,7.3
"Jan 3, 05:00 am",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,7.3
"Jan 3, 06:00 am",0,-7.9,0,0,0,0,0,-7.9,0,0,1,0,0,5.6
"Jan 3, 07:00 am",36.3399,-8.3,78.2089,92,59.6913,2,5,-9.28537,20.7393,0.0363399,1,2,14.9572,5.6
"Jan 3, 08:00 am",776.658,-7.4,70.1435,503,816.444,43,118,-4.47379,232.941,0.776658,1,1,208.645,5.6
"Jan 3, 09:00 am",1606.37,-6.5,58.5,722,1670.56,59,277,3.24441,458.588,1.60637,1,1,440.967,3.5
"Jan 3, 10:00 am",2123.62,-5.5,48.4521,749,2206.3,79,394,8.19088,603.483,2.12362,1,1,594.931,3.5
"Jan 3, 11:00 am",2513.9,-4.4,41.2497,798,2612.22,91,486,12.365,722.247,2.5139,1,1,717.43,3.5
"Jan 3, 12:00 pm",2675.9,-3.3,38.5403,854,2781.13,91,535,19.0082,790.981,2.6759,1,1,787.017,2
"Jan 3, 01:00 pm",2446.92,-2.1,41.2235,797,2542.45,92,486,18.5849,722.883,2.44692,1,1,718.084,2
"Jan 3, 02:00 pm",2179.08,-1.7,48.4079,811,2263.89,77,417,16.6148,642.939,2.17908,1,1,633.713,2
"Jan 3, 03:00 pm",1649.25,-1.2,58.4459,783,1714.88,56,292,11.2846,487.775,1.64925,1,1,468.735,2.7
"Jan 3, 04:00 pm",791.255,-0.7,70.0852,569,831.416,39,123,5.24923,248.765,0.791255,1,1,221.355,2.7
"Jan 3, 05:00 pm",35.4391,-1.2,78.1746,100,58.7735,1,5,-1.9046,21.4628,0.0354391,1,3,15.1807,2.7
"Jan 3, 06:00 pm",0,-1.6,0,0,0,0,0,-1.6,0,0,1,0,0,3.2
"Jan 3, 07:00 pm",0,-2,0,0,0,0,0,-2,0,0,1,0,0,3.2
"Jan 3, 08:00 pm",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,3.2
"Jan 3, 09:00 pm",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,2.8
"Jan 3, 10:00 pm",0,-3.6,0,0,0,0,0,-3.6,0,0,1,0,0,2.8
"Jan 3, 11:00 pm",0,-4,0,0,0,0,0,-4,0,0,1,0,0,2.8
"Jan 4, 12:00 am",0,-4.4,0,0,0,0,0,-4.4,0,0,1,0,0,2.6
"Jan 4, 01:00 am",0,-4.7,0,0,0,0,0,-4.7,0,0,1,0,0,2.6
"Jan 4, 02:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,2.6
"Jan 4, 03:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,2.5
"Jan 4, 04:00 am",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,2.5
"Jan 4, 05:00 am",0,-5.8,0,0,0,0,0,-5.8,0,0,1,0,0,2.5
"Jan 4, 06:00 am",0,-6,0,0,0,0,0,-6,0,0,1,0,0,4.2
"Jan 4, 07:00 am",35.6076,-6.3,78.2569,92,58.9452,2,5,-7.49211,20.6639,0.0356076,1,2,14.8782,4.2
"Jan 4, 08:00 am",767.247,-5.3,70.1899,504,806.793,43,118,-1.84647,232.836,0.767247,1,1,208.439,4.2
"Jan 4, 09:00 am",1648.26,-4.4,58.523,768,1713.86,54,286,6.04892,476.646,1.64826,1,1,457.872,3.2
"Jan 4, 10:00 am",2191.93,-3.4,48.442,802,2277.24,73,411,11.393,631.895,2.19193,1,1,622.746,3.2
"Jan 4, 11:00 am",2527.17,-1.6,41.1951,823,2626.04,88,496,16.0439,738.136,2.52717,1,1,733.193,3.2
"Jan 4, 12:00 pm",2566.43,0.3,38.4379,736,2666.96,125,508,14.2869,742.145,2.56643,1,1,738.764,5.2
