,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-14.5,0,0,0,0,0,-14.5,0,0,1,0,0,8.6
"Jan 1, 01:00 am",0,-14.8,0,0,0,0,0,-14.8,0,0,1,0,0,9.9
"Jan 1, 02:00 am",0,-15,0,0,0,0,0,-15,0,0,1,0,0,9.9
"Jan 1, 03:00 am",0,-15.1,0,0,0,0,0,-15.1,0,0,1,0,0,9.9
"Jan 1, 04:00 am",0,-15.2,0,0,0,0,0,-15.2,0,0,1,0,0,11
"Jan 1, 05:00 am",0,-15.3,0,0,0,0,0,-15.3,0,0,1,0,0,11
"Jan 1, 06:00 am",0,-15.5,0,0,0,0,0,-15.5,0,0,1,0,0,11
"Jan 1, 07:00 am",0,-15.7,77.7181,0,0,0,0,-15.7,0,0,1,2,0,10.1
"Jan 1, 08:00 am",46.5086,-15.9,70.8414,0,18,70.0521,18,-16.5986,17.0487,0.0465086,1,1,17.0487,10.1
"Jan 1, 09:00 am",184.112,-15.4,60.4969,0,54,210.346,54,-15.6618,51.3814,0.184112,1,1,51.3814,10.1
"Jan 1, 10:00 am",366.353,-14.8,52.1357,0,99,396.415,99,-14.4087,97.3139,0.366353,1,1,97.3139,7.8
"Jan 1, 11:00 am",466.529,-14.3,46.9007,0,124,498.823,124,-13.4875,122.902,0.466529,1,1,122.902,7.8
"Jan 1, 12:00 pm",687.773,-13.3,45.8893,20,163,725.322,171,-11.6126,180.236,0.687773,1,1,180.052,7.8
"Jan 1, 01:00 pm",264.945,-12.4,49.3636,0,76,292.84,76,-12.298,72.4944,0.264945,1,1,72.4944,9.9
"Jan 1, 02:00 pm",202.853,-11.4,56.4963,0,60,229.467,60,-11.5662,56.9728,0.202853,1,1,56.9728,9.9
"Jan 1, 03:00 pm",86.7906,-11.9,66.0918,0,29,111.104,29,-12.4494,27.4879,0.0867907,1,1,27.4879,9.9
"Jan 1, 04:00 pm",0,-12.4,75.2758,0,3,11.4921,3,-13.2112,2.83459,0,1,3,2.83459,11.1
"Jan 1, 05:00 pm",0,-12.9,0,0,0,0,0,-12.9,0,0,1,0,0,11.1
"Jan 1, 06:00 pm",0,-13.1,0,0,0,0,0,-13.1,0,0,1,0,0,11.1
"Jan 1, 07:00 pm",0,-13.4,0,0,0,0,0,-13.4,0,0,1,0,0,12
"Jan 1, 08:00 pm",0,-13.6,0,0,0,0,0,-13.6,0,0,1,0,0,12
"Jan 1, 09:00 pm",0,-13.6,0,0,0,0,0,-13.6,0,0,1,0,0,12
"Jan 1, 10:00 pm",0,-13.6,0,0,0,0,0,-13.6,0,0,1,0,0,12.4
"Jan 1, 11:00 pm",0,-13.6,0,0,0,0,0,-13.6,0,0,1,0,0,12.4
"Jan 2, 12:00 am",0,-13.5,0,0,0,0,0,-13.5,0,0,1,0,0,12.4
"Jan 2, 01:00 am",0,-13.4,0,0,0,0,0,-13.4,0,0,1,0,0,13.5
"Jan 2, 02:00 am",0,-13.4,0,0,0,0,0,-13.4,0,0,1,0,0,13.5
"Jan 2, 03:00 am",0,-13.3,0,0,0,0,0,-13.3,0,0,1,0,0,13.5
"Jan 2, 04:00 am",0,-13.2,0,0,0,0,0,-13.2,0,0,1,0,0,14.2
"Jan 2, 05:00 am",0,-13.2,0,0,0,0,0,-13.2,0,0,1,0,0,14.2
"Jan 2, 06:00 am",0,-12.7,0,0,0,0,0,-12.7,0,0,1,0,0,14.2
"Jan 2, 07:00 am",0,-12.3,77.7601,11,1,10.5918,1,-12.9704,3.3019,0,1,2,2.61505,14.6
"Jan 2, 08:00 am",256.986,-11.9,70.8773,76,41,284.714,50,-11.8838,74.3964,0.256986,1,1,70.5999,14.6
"Jan 2, 09:00 am",180.196,-10.7,60.5089,0,54,206.351,54,-10.8812,51.3748,0.180196,1,1,51.3748,14.6
"Jan 2, 10:00 am",358.373,-9.6,52.1154,0,99,388.261,99,-9.29525,97.2848,0.358373,1,1,97.2848,11.2
"Jan 2, 11:00 am",1568.81,-8.4,46.8412,275,192,1631.76,302,-4.2884,420.064,1.56881,1,1,417.321,11.2
"Jan 2, 12:00 pm",718.355,-7.3,45.7917,30,160,756.665,172,-5.67348,192.688,0.718355,1,1,192.415,11.2
