,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,13.8
"Jan 1, 01:00 am",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,13.2
"Jan 1, 02:00 am",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,13.2
"Jan 1, 03:00 am",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,13.2
"Jan 1, 04:00 am",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,11.3
"Jan 1, 05:00 am",0,-3.7,0,0,0,0,0,-3.7,0,0,1,0,0,11.3
"Jan 1, 06:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,11.3
"Jan 1, 07:00 am",39.9902,-4.4,77.7076,101,1,63.4104,3,-4.9696,22.4728,0.0399902,1,2,16.1716,12
"Jan 1, 08:00 am",884.665,-4.7,70.8314,705,27,927.268,109,-2.43959,274.117,0.884665,1,1,238.973,12
"Jan 1, 09:00 am",1732.8,-4.1,60.4926,889,40,1801.28,260,0.77468,495.309,1.7328,1,1,470.517,12
"Jan 1, 10:00 am",2332.42,-3.5,52.1392,962,46,2423.28,376,3.54361,655.235,2.33242,1,1,640.475,11.4
"Jan 1, 11:00 am",2603.54,-3,46.9138,887,90,2705.66,443,4.99052,728.451,2.60354,1,1,719.551,11.4
"Jan 1, 12:00 pm",2165.46,-2.7,45.9118,664,101,2249.74,372,3.84986,601.499,2.16546,1,1,595.386,11.4
"Jan 1, 01:00 pm",2336.98,-2.5,49.3928,724,141,2428.03,411,3.22436,649.786,2.33698,1,1,640.855,15.2
"Jan 1, 02:00 pm",1042.45,-2.3,56.5287,280,111,1089.36,193,0.000318233,289.582,1.04245,1,1,283.627,15.2
"Jan 1, 03:00 pm",737.88,-1.8,66.1252,306,66,776.681,120,-0.348825,213.939,0.73788,1,1,201.921,15.2
"Jan 1, 04:00 pm",116.005,-1.2,75.2881,110,8,140.886,14,-1.41161,42.9531,0.116005,1,3,36.4648,14.2
"Jan 1, 05:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,14.2
"Jan 1, 06:00 pm",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,14.2
"Jan 1, 07:00 pm",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,17.1
"Jan 1, 08:00 pm",0,-0.8,0,0,0,0,0,-0.8,0,0,1,0,0,17.1
"Jan 1, 09:00 pm",0,-0.4,0,0,0,0,0,-0.4,0,0,1,0,0,17.1
"Jan 1, 10:00 pm",0,-0.1,0,0,0,0,0,-0.1,0,0,1,0,0,17
"Jan 1, 11:00 pm",0,0.3,0,0,0,0,0,0.3,0,0,1,0,0,17
"Jan 2, 12:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,17
