,"Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","AC inverter power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Mar 11, 08:00 pm",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,4.6
"Mar 11, 09:00 pm",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,4.6
"Mar 11, 10:00 pm",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,4.6
"Mar 11, 11:00 pm",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,3.6
"Mar 12, 12:00 am",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,2.6
"Mar 12, 01:00 am",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,4.1
"Mar 12, 02:00 am",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,3.1
"Mar 12, 03:00 am",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,2.6
"Mar 12, 04:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,3.1
"Mar 12, 05:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,3.1
"Mar 12, 06:00 am",0,87.7663,0,2,7.50461,0,2,-1.74282,1.93969,0,1,2,1.93969,3.6
"Mar 12, 07:00 am",0.6,80.4315,0,38,140.599,115.724,38,-0.594358,36.5153,0.115724,1,1,36.5153,2.1
"Mar 12, 08:00 am",1.1,66.0612,53,127,555.562,521.993,144,3.08763,148.624,0.521993,1,1,146.55,2.6
"Mar 12, 09:00 am",2.2,51.8512,284,190,1378.2,1323.06,333,10.5349,379.726,1.32306,1,1,375.465,2.6
"Mar 12, 10:00 am",4.4,38.1132,132,363,1742.27,1675.74,449,12.8139,480.046,1.67574,1,1,479.459,5.2
"Mar 12, 11:00 am",4.4,25.6593,111,394,1824.77,1755.5,477,15.611,508.601,1.7555,1,1,508.484,3.6
"Mar 12, 12:00 pm",6.1,17.5137,111,366,1774.63,1707.03,454,15.7147,494.778,1.70703,1,1,494.743,4.6
"Mar 12, 01:00 pm",7.2,19.9463,247,330,2098.93,2020.15,524,18.8136,593.552,2.02015,1,1,593.437,4.6
"Mar 12, 02:00 pm",8.9,30.5236,633,238,2807.72,2701.37,691,25.2873,819.253,2.70138,1,1,818.021,4.6
"Mar 12, 03:00 pm",8.9,43.678,562,193,2166.02,2084.81,529,21.7461,624.964,2.08481,1,1,620.718,4.6
"Mar 12, 04:00 pm",8.9,57.6613,257,173,1144.44,1096.02,285,14.0413,322.588,1.09602,1,1,316.669,6.2
"Mar 12, 05:00 pm",8.3,71.9675,248,97,611.719,576.861,158,10.8797,179.892,0.576861,1,1,166.905,5.2
"Mar 12, 06:00 pm",7.8,83.7576,48,25,102.861,78.7029,31,7.20834,30.3806,0.0787029,1,3,27.6182,3.6
"Mar 12, 07:00 pm",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,3.1
"Mar 12, 08:00 pm",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,3.6
"Mar 12, 09:00 pm",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,3.6
"Mar 12, 10:00 pm",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,4.1
"Mar 12, 11:00 pm",5,0,0,0,0,0,0,5,0,0,1,0,0,4.6
"Mar 13, 12:00 am",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,2.6
"Mar 13, 01:00 am",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,3.1
"Mar 13, 02:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,3.1
"Mar 13, 03:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,3.1
"Mar 13, 04:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,4.1
"Mar 13, 05:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,4.1
"Mar 13, 06:00 am",0.6,87.7901,10,1,4.04771,0,4,-1.12424,1.35546,0,1,2,1.04891,3.6
"Mar 13, 07:00 am",1.7,80.2724,489,24,307.042,278.856,84,2.49649,111.833,0.278856,1,1,80.7902,4.1
"Mar 13, 08:00 am",4.4,65.8858,797,41,1268.17,1216.25,303,10.0648,375.663,1.21625,1,1,344.777,5.7
"Mar 13, 09:00 am",7.2,51.6527,907,57,2183.66,2101.81,519,19.3909,632.423,2.10181,1,1,619.023,4.6
"Mar 13, 10:00 am",9.4,37.8744,963,68,2866.08,2757.27,698,26.3452,843.383,2.75727,1,1,839.202,4.6
"Mar 13, 11:00 am",10.6,25.3478,989,75,3330.3,3200.89,820,28.3685,985.553,3.20089,1,1,984.549,5.7
"Mar 13, 12:00 pm",11.7,17.1157,1008,78,3467.64,3331.79,882,34.9668,1058.8,3.33179,1,1,1058.51,4.1
"Mar 13, 01:00 pm",13.3,19.6481,1004,78,3325.3,3196.12,867,39.9183,1040.9,3.19612,1,1,1040.46,2.6
"Mar 13, 02:00 pm",13.3,30.36,988,73,3146.07,3025.06,783,30.5629,941.823,3.02506,1,1,939.936,5.7
"Mar 13, 03:00 pm",13.9,43.5831,950,64,2591.5,2494.02,635,26.4954,766.46,2.49402,1,1,759.344,6.7
"Mar 13, 04:00 pm",13.9,57.6023,876,51,1766.78,1699.44,436,23.9607,531.646,1.69944,1,1,511.551,5.2
"Mar 13, 05:00 pm",12.8,71.9288,712,34,802.037,762.609,210,17.0538,262.178,0.762609,1,1,224.954,5.7
"Mar 13, 06:00 pm",11.7,83.825,239,17,115.783,91.3813,45,11.6252,45.3933,0.0913813,1,3,31.6952,5.2
"Mar 13, 07:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,5.2
"Mar 13, 08:00 pm",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,4.1
"Mar 13, 09:00 pm",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,3.6
"Mar 13, 10:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,2.6
"Mar 13, 11:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,2.6
"Mar 14, 12:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,2.6
"Mar 14, 01:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,1.5
"Mar 14, 02:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,1.5
"Mar 14, 03:00 am",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,1.5
"Mar 14, 04:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,3.1
"Mar 14, 05:00 am",5,0,0,0,0,0,0,5,0,0,1,0,0,3.1
"Mar 14, 06:00 am",3.9,87.8118,7,1,3.8947,0,3,2.35462,1.23712,0,1,2,1.02417,4.1
"Mar 14, 07:00 am",5,80.1122,382,32,295.98,268.021,80,5.65538,103.204,0.268021,1,1,78.9393,3.6
"Mar 14, 08:00 am",6.1,65.7101,715,56,1223.47,1172.82,294,11.2402,361.784,1.17282,1,1,334.35,6.2
"Mar 14, 09:00 am",9.4,51.4545,848,77,2158,2077.09,513,18.9307,622.799,2.07709,1,1,610.465,6.7
"Mar 14, 10:00 am",11.1,37.6367,912,92,2834.97,2727.48,693,25.7933,831.796,2.72748,1,1,827.93,5.7
"Mar 14, 11:00 am",12.8,25.0373,946,101,3198.74,3075.35,818,34.9781,977.399,3.07535,1,1,976.478,3.6
"Mar 14, 12:00 pm",13.9,16.7169,949,113,3384.89,3252.94,874,36.7294,1042.56,3.25294,1,1,1042.31,4.1
"Mar 14, 01:00 pm",16.7,19.3537,942,122,3306.88,3178.56,867,39.3342,1032.05,3.17856,1,1,1031.65,4.1
"Mar 14, 02:00 pm",16.7,30.201,870,169,3083.34,2965.12,798,36.4818,949.912,2.96512,1,1,948.282,4.6
"Mar 14, 03:00 pm",17.2,43.4918,659,147,2152.24,2071.54,545,31.7184,651.517,2.07154,1,1,646.621,4.1
"Mar 14, 04:00 pm",17.2,57.5459,651,111,1581.19,1519.84,400,26.8075,478.869,1.51984,1,1,463.994,4.6
"Mar 14, 05:00 pm",16.7,71.892,366,91,682.334,645.816,182,20.5729,213.586,0.645816,1,1,194.481,4.6
"Mar 14, 06:00 pm",15.6,83.8931,45,33,127.677,103.049,38,15.3681,38.1073,0.103049,1,3,35.5392,4.1
"Mar 14, 07:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,4.6
"Mar 14, 08:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Mar 14, 09:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,3.6
"Mar 14, 10:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,3.6
"Mar 14, 11:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,2.1
"Mar 15, 12:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,2.1
"Mar 15, 01:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,3.1
"Mar 15, 02:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,3.6
"Mar 15, 03:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,3.1
"Mar 15, 04:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,2.6
"Mar 15, 05:00 am",5.6,0,0,0,0,0,0,5.6,0,0,1,0,0,3.1
"Mar 15, 06:00 am",6.1,87.8317,1,0,0.0287662,0,0,4.33291,0.0378355,0,1,2,0.00762862,3.1
"Mar 15, 07:00 am",7.8,79.9509,251,40,268.292,240.897,74,8.12662,88.2731,0.240897,1,1,72.3247,3.6
"Mar 15, 08:00 am",10.6,65.5341,577,77,1096.87,1049.75,271,16.7351,329.124,1.04975,1,1,307.205,3.6
"Mar 15, 09:00 am",13.3,51.2568,731,111,2001.56,1926.23,490,23.7777,589.505,1.92623,1,1,579.036,5.2
"Mar 15, 10:00 am",15,37.4002,777,125,2558.41,2462.24,640,30.318,766.675,2.46224,1,1,763.46,4.6
"Mar 15, 11:00 am",15.6,24.7281,753,195,3039.93,2923.63,768,32.0196,915.358,2.92363,1,1,914.656,5.7
"Mar 15, 12:00 pm",17.2,16.3175,619,279,3040.73,2924.39,778,31.528,912.872,2.92439,1,1,912.716,7.2
"Mar 15, 01:00 pm",18.3,19.0632,668,217,2913.65,2802.82,747,34.4317,887.328,2.80282,1,1,887.059,5.7
"Mar 15, 02:00 pm",18.9,30.0468,638,222,2683.8,2582.58,685,32.186,809.329,2.58258,1,1,808.156,6.7
"Mar 15, 03:00 pm",18.3,43.4042,134,366,1623.58,1560.89,447,26.4257,476.561,1.56089,1,1,475.573,6.2
"Mar 15, 04:00 pm",18.3,57.4922,458,146,1371.24,1316.3,351,24.5147,408.485,1.3163,1,1,398.059,6.7
"Mar 15, 05:00 pm",17.8,71.857,300,99,637.009,601.561,175,21.5128,197.988,0.601561,1,1,182.351,4.1
"Mar 15, 06:00 pm",16.1,83.962,26,31,113.418,89.0607,34,15.733,33.0993,0.0890607,1,3,31.6221,4.1
"Mar 15, 07:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,4.1
"Mar 15, 08:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,3.1
"Mar 15, 09:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,2.6
"Mar 15, 10:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.6
"Mar 15, 11:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Mar 16, 12:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,4.1
"Mar 16, 01:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Mar 16, 02:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,4.1
"Mar 16, 03:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Mar 16, 04:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Mar 16, 05:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,4.1
"Mar 16, 06:00 am",12.8,87.8498,0,1,3.54761,0,1,11.3232,0.969846,0,1,2,0.969846,4.1
"Mar 16, 07:00 am",13.3,79.7888,124,52,249.143,222.135,69,13.4314,76.6304,0.222135,1,1,68.751,4.6
"Mar 16, 08:00 am",15,65.3581,705,56,1171.71,1122.53,298,21.1502,361.37,1.12253,1,1,334.856,4.6
"Mar 16, 09:00 am",17.2,51.0597,823,77,2030.39,1954.05,507,28.1731,611.299,1.95405,1,1,599.694,5.2
"Mar 16, 10:00 am",19.4,37.165,609,197,2342.47,2254.7,604,33.6893,713.03,2.2547,1,1,710.57,4.6
"Mar 16, 11:00 am",19.4,24.4204,589,223,2587.56,2490.23,674,36.4422,796.174,2.49023,1,1,795.647,4.1
"Mar 16, 12:00 pm",21.1,15.9176,715,236,3088.69,2970.23,815,39.427,964.2,2.97023,1,1,964.032,5.2
"Mar 16, 01:00 pm",21.1,18.7769,357,350,2326.18,2239.03,634,37.7518,720.097,2.23903,1,1,719.96,3.6
"Mar 16, 02:00 pm",21.1,29.8974,266,345,1973.52,1899.17,539,35.4385,604.307,1.89917,1,1,603.826,3.1
"Mar 16, 03:00 pm",22.2,43.3202,182,307,1502.51,1443.61,419,32.2763,453.972,1.44361,1,1,452.641,3.6
"Mar 16, 04:00 pm",21.7,57.4411,402,172,1329.3,1275.6,352,29.9811,405.154,1.2756,1,1,396.035,4.1
"Mar 16, 05:00 pm",21.1,71.8237,199,120,602.38,567.737,170,24.7554,185.421,0.567737,1,1,175.063,3.6
"Mar 16, 06:00 pm",20,84.0317,9,27,94.011,70.0199,28,19.5387,27.1773,0.0700199,1,3,26.6683,3.1
"Mar 16, 07:00 pm",20,0,0,0,0,0,0,20,0,0,1,0,0,4.1
"Mar 16, 08:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.1
"Mar 16, 09:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,1.5
"Mar 16, 10:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,2.1
"Mar 16, 11:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,6.2
"Mar 17, 12:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,6.7
"Mar 17, 01:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,8.2
"Mar 17, 02:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,7.2
"Mar 17, 03:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,7.7
"Mar 17, 04:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,8.2
"Mar 17, 05:00 am",6.1,0,0,0,0,0,0,6.1,0,0,1,0,0,6.2
"Mar 17, 06:00 am",5.6,87.8664,5,3,11.1016,0,4,4.5286,3.09569,0,1,2,2.94654,7.2
"Mar 17, 07:00 am",6.1,79.6259,157,67,330.406,301.736,90,6.48641,98.4123,0.301736,1,1,88.4377,8.2
"Mar 17, 08:00 am",7.2,65.1822,447,114,1087.42,1040.56,269,10.806,313.243,1.04056,1,1,296.601,8.2
"Mar 17, 09:00 am",8.9,50.8634,724,98,2016.64,1940.78,481,16.1541,573.378,1.94078,1,1,563.327,8.8
"Mar 17, 10:00 am",10.6,36.9313,791,126,2717.11,2614.53,658,21.9512,782.504,2.61453,1,1,779.385,7.7
"Mar 17, 11:00 am",12.2,24.1143,854,106,3088.02,2969.6,764,26.2085,904.337,2.9696,1,1,903.604,7.2
"Mar 17, 12:00 pm",13.9,15.5173,938,105,3423.82,3290.03,869,31.5929,1028.23,3.29003,1,1,1028.03,6.2
"Mar 17, 01:00 pm",15,18.4951,767,220,3300.53,3172.5,834,30.5815,986.453,3.1725,1,1,986.172,7.2
"Mar 17, 02:00 pm",15.6,29.753,481,253,2404.98,2314.82,605,25.7497,703.065,2.31482,1,1,702.211,8.2
"Mar 17, 03:00 pm",16.1,43.2398,424,230,1931.49,1858.6,490,24.6987,564.259,1.8586,1,1,561.181,7.2
"Mar 17, 04:00 pm",15.6,57.3926,94,205,902.352,860.392,247,18.8747,257.321,0.860392,1,1,255.196,8.2
"Mar 17, 05:00 pm",15,71.7922,252,99,605.071,570.366,164,16.9959,182.764,0.570366,1,1,169.665,7.7
"Mar 17, 06:00 pm",13.9,84.102,15,19,68.664,45.1463,21,13.3743,19.7872,0.0451463,1,3,18.943,8.8
"Mar 17, 07:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,7.2
"Mar 17, 08:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,9.3
"Mar 17, 09:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,8.8
"Mar 17, 10:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,8.8
"Mar 17, 11:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,9.3
"Mar 18, 12:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,9.8
"Mar 18, 01:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,8.2
"Mar 18, 02:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,8.2
"Mar 18, 03:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,6.2
"Mar 18, 04:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,7.7
"Mar 18, 05:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,7.7
"Mar 18, 06:00 am",10,87.8815,1,5,17.942,0,5,9.06327,4.8862,0,1,2,4.85653,8.2
"Mar 18, 07:00 am",8.3,79.4624,2,39,139.004,114.159,39,7.4522,37.4894,0.114159,1,1,37.3624,3.6
"Mar 18, 08:00 am",6.7,65.0064,2,84,301.877,273.797,84,6.90758,81.0226,0.273797,1,1,80.9489,5.2
"Mar 18, 09:00 am",6.1,50.6679,6,171,628.539,593.289,174,7.79072,169.273,0.593289,1,1,169.191,6.7
"Mar 18, 10:00 am",6.1,36.6992,6,163,602.177,567.539,167,7.26143,161.746,0.567539,1,1,161.723,11.3
"Mar 18, 11:00 am",6.7,23.8103,8,239,884.734,843.225,245,9.39822,239.837,0.843225,1,1,239.83,7.7
"Mar 18, 12:00 pm",6.7,15.1167,4,208,758.13,719.784,212,9.17261,205.309,0.719784,1,1,205.308,6.7
"Mar 18, 01:00 pm",6.7,18.2181,1,207,745.732,707.688,208,8.52647,201.382,0.707688,1,1,201.381,9.8
"Mar 18, 02:00 pm",7.2,29.6134,2,206,742.836,704.863,208,9.26406,201.25,0.704863,1,1,201.247,8.2
"Mar 18, 03:00 pm",8.3,43.163,0,192,683.508,646.962,193,10.2302,185.96,0.646962,1,1,185.96,7.7
"Mar 18, 04:00 pm",8.9,57.3466,0,205,734.061,696.301,206,11.5141,200.847,0.696301,1,1,200.847,5.7
"Mar 18, 05:00 pm",9.4,71.7623,0,111,397.149,367.072,111,10.1203,107.999,0.367072,1,1,107.999,8.2
"Mar 18, 06:00 pm",9.4,84.173,0,29,102.621,78.4677,29,8.77723,27.7426,0.0784677,1,3,27.7426,6.2
"Mar 18, 07:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,6.2
"Mar 18, 08:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,3.1
"Mar 18, 09:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,4.6
"Mar 18, 10:00 pm",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,4.6
"Mar 18, 11:00 pm",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,4.1
"Mar 19, 12:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,4.6
"Mar 19, 01:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,5.7
"Mar 19, 02:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,5.2
"Mar 19, 03:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,6.7
"Mar 19, 04:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,3.6
"Mar 19, 05:00 am",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,5.2
"Mar 19, 06:00 am",6.7,87.8953,0,3,10.9268,0,3,5.28085,2.90954,0,1,2,2.90954,4.6
"Mar 19, 07:00 am",6.7,79.2984,0,64,231.67,205.012,64,6.43274,61.9951,0.205012,1,1,61.9951,4.1
"Mar 19, 08:00 am",6.7,64.8309,1,158,572.954,538.988,159,8.36678,154.652,0.538989,1,1,154.616,5.2
"Mar 19, 09:00 am",7.2,50.4736,1,250,900.737,858.818,250,11.3273,246.262,0.858818,1,1,246.248,4.1
"Mar 19, 10:00 am",8.3,36.469,2,333,1191.19,1141.46,335,14.8501,330.808,1.14146,1,1,330.801,3.6
"Mar 19, 11:00 am",10,23.5084,1,372,1307.84,1254.77,373,18.5315,369.295,1.25477,1,1,369.295,2.6
"Mar 19, 12:00 pm",10.6,14.716,1,430,1505.49,1446.49,431,20.7415,429.433,1.44649,1,1,429.432,2.6
"Mar 19, 01:00 pm",11.7,17.946,1,425,1487.32,1428.88,426,20.7877,424.339,1.42888,1,1,424.339,3.6
"Mar 19, 02:00 pm",12.2,29.4789,2,383,1351.33,1296.98,385,18.8563,382.144,1.29698,1,1,382.14,5.2
"Mar 19, 03:00 pm",12.8,43.0898,2,190,666.063,629.931,191,15.2916,185.351,0.629931,1,1,185.337,6.2
"Mar 19, 04:00 pm",13.9,57.3031,696,103,1658.95,1595.12,422,24.0334,496.129,1.59512,1,1,480.494,3.6
"Mar 19, 05:00 pm",14.4,71.7341,540,52,715.532,678.219,195,18.2711,229.806,0.678219,1,1,201.804,5.2
"Mar 19, 06:00 pm",12.8,84.2445,122,25,117.268,92.8372,38,12.5815,39.0347,0.0928372,1,3,32.2378,4.1
"Mar 19, 07:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,4.1
"Mar 19, 08:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,4.1
"Mar 19, 09:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,3.1
"Mar 19, 10:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,4.1
"Mar 19, 11:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,4.1
"Mar 20, 12:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,4.1
"Mar 20, 01:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,3.1
"Mar 20, 02:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,4.1
"Mar 20, 03:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,3.6
"Mar 20, 04:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,1.5
"Mar 20, 05:00 am",7.2,0,0,0,0,0,0,7.2,0,0,1,0,0,1.5
"Mar 20, 06:00 am",7.2,87.9078,1,4,14.5856,0,4,5.44394,3.91589,0,1,2,3.88652,2.6
"Mar 20, 07:00 am",8.3,79.1341,37,64,250.928,223.884,70,8.17879,70.0053,0.223884,1,1,67.6592,2.6
"Mar 20, 08:00 am",10,64.6559,83,176,756.433,718.128,206,14.0308,212.294,0.718128,1,1,209.297,2.1
"Mar 20, 09:00 am",12.2,50.2803,537,204,1930.24,1857.39,495,24.6003,567.675,1.85739,1,1,560.559,3.1
"Mar 20, 10:00 am",14.4,36.2408,444,286,2214.25,2131.28,590,33.8572,673.858,2.13128,1,1,672.228,1.5
"Mar 20, 11:00 am",17.2,23.2088,166,386,1865.81,1795.16,516,31.2715,559.476,1.79516,1,1,559.351,2.6
"Mar 20, 12:00 pm",18.3,14.3153,650,277,3087.32,2968.92,814,35.9355,947.048,2.96892,1,1,946.935,5.2
"Mar 20, 01:00 pm",18.9,17.6791,579,289,2806.21,2699.92,759,39.9931,878.557,2.69992,1,1,878.372,3.1
"Mar 20, 02:00 pm",18.9,29.3494,608,273,2667.38,2566.83,726,40.0283,836.096,2.56683,1,1,835.067,2.6
"Mar 20, 03:00 pm",20,43.0202,361,243,1737.19,1670.83,468,31.5681,524.112,1.67083,1,1,521.543,4.1
"Mar 20, 04:00 pm",20,57.2619,354,182,1274.59,1222.49,345,27.9696,384.026,1.22249,1,1,376.097,4.1
"Mar 20, 05:00 pm",19.4,71.7073,245,84,528.906,495.939,149,22.3542,164.687,0.495939,1,1,151.997,4.1
"Mar 20, 06:00 pm",17.8,84.3165,162,27,127.473,102.848,45,17.6558,44.8282,0.102848,1,3,35.8512,3.6
"Mar 20, 07:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,2.6
"Mar 20, 08:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.6
"Mar 20, 09:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,3.6
"Mar 20, 10:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.6
"Mar 20, 11:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,3.6
"Mar 21, 12:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,4.1
"Mar 21, 01:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,4.6
"Mar 21, 02:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,3.6
"Mar 21, 03:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,4.1
"Mar 21, 04:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,4.1
"Mar 21, 05:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,3.6
"Mar 21, 06:00 am",7.2,87.9193,29,7,26.2026,3.46576,10,5.82962,7.84183,0.00346576,1,2,6.99362,4.1
"Mar 21, 07:00 am",10,78.9696,469,34,362.682,333.336,110,11.1101,128.763,0.333336,1,1,99.0568,5.2
"Mar 21, 08:00 am",12.8,64.4814,754,57,1289.22,1236.69,333,19.6697,392.885,1.23669,1,1,365.936,4.6
"Mar 21, 09:00 am",15,50.0884,863,76,2168.47,2087.17,548,25.4491,643.519,2.08717,1,1,632.258,6.2
"Mar 21, 10:00 am",17.2,36.0148,931,90,2839.83,2732.13,732,32.4573,859.607,2.73213,1,1,856.269,5.7
"Mar 21, 11:00 am",18.9,22.9119,957,98,3248.31,3122.68,851,36.043,997.54,3.12268,1,1,996.848,6.2
"Mar 21, 12:00 pm",20,13.9146,970,102,3460.08,3324.58,907,36.0874,1062.22,3.32458,1,1,1062.07,7.7
"Mar 21, 01:00 pm",21.1,17.4178,975,101,3363.08,3232.15,897,39.4014,1049.84,3.23215,1,1,1049.54,6.2
"Mar 21, 02:00 pm",22.2,29.225,954,95,3033.74,2917.7,808,38.7056,945.04,2.9177,1,1,943.45,6.2
"Mar 21, 03:00 pm",22.2,42.954,903,90,2475.3,2382.42,656,36.2416,766.759,2.38242,1,1,760.372,5.7
"Mar 21, 04:00 pm",22.2,57.2232,827,71,1706.89,1641.52,455,32.3598,532.895,1.64152,1,1,514.421,5.2
"Mar 21, 05:00 pm",21.1,71.6821,645,52,789.596,750.476,226,25.0172,263.127,0.750476,1,1,229.754,6.7
"Mar 21, 06:00 pm",18.9,84.389,206,25,127.898,103.266,49,19.1058,47.5613,0.103266,1,3,36.2094,3.1
"Mar 21, 07:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Mar 21, 08:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Mar 21, 09:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.6
