,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 2, 02:00 pm",1819.2,20.5,34.1446,439,1890.7,201,541,36.2634,582.144,1.8192,1,1,580.855,1.4
"Aug 2, 03:00 pm",682.478,20.2,48.0267,15,719.896,207,217,24.091,208.73,0.682478,1,1,208.565,4.8
"Aug 2, 04:00 pm",213.348,20,61.8272,0,240.176,72,72,20.4314,68.4112,0.213348,1,1,68.4112,4.8
"Aug 2, 05:00 pm",651.318,19.3,75.4525,341,687.97,139,246,22.4783,218.032,0.651318,1,1,197.823,4.8
"Aug 2, 06:00 pm",123.336,18.6,88.759,85,148.361,48,59,18.5046,43.5046,0.123336,1,1,41.8873,5.6
"Aug 2, 07:00 pm",0,17.9,96.3357,11,3.46244,1,1,16.7591,0.969846,0,1,3,0.969846,5.6
"Aug 2, 08:00 pm",0,16.7,0,0,0,0,0,16.7,0,0,1,0,0,5.6
"Aug 2, 09:00 pm",0,15.4,0,0,0,0,0,15.4,0,0,1,0,0,6.2
"Aug 2, 10:00 pm",0,14.2,0,0,0,0,0,14.2,0,0,1,0,0,6.2
"Aug 2, 11:00 pm",0,13.7,0,0,0,0,0,13.7,0,0,1,0,0,6.2
"Aug 3, 12:00 am",0,13.2,0,0,0,0,0,13.2,0,0,1,0,0,5.2
"Aug 3, 01:00 am",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,5.2
"Aug 3, 02:00 am",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,5.2
"Aug 3, 03:00 am",0,12.9,0,0,0,0,0,12.9,0,0,1,0,0,4.6
"Aug 3, 04:00 am",0,13,0,0,0,0,0,13,0,0,1,0,0,4.6
"Aug 3, 05:00 am",76.8396,13.3,91.2416,0,100.961,30,30,12.4206,27.7353,0.0768396,1,2,27.7353,4.6
"Aug 3, 06:00 am",255.302,13.6,78.0862,0,282.995,83,83,13.8065,78.2232,0.255302,1,1,78.2232,5.3
"Aug 3, 07:00 am",656.639,13.9,64.5069,23,693.421,194,204,16.4054,194.743,0.656639,1,1,193.92,5.3
"Aug 3, 08:00 am",877.525,14.9,50.7325,22,919.938,256,270,18.844,260.435,0.877525,1,1,260.133,5.3
"Aug 3, 09:00 am",969.444,15.9,36.8614,14,1014.33,287,297,20.4452,288.993,0.969444,1,1,288.938,5.4
"Aug 3, 10:00 am",739.113,16.9,23.0157,9,777.945,221,229,20.2324,221.392,0.739113,1,1,221.385,5.4
"Aug 3, 11:00 am",2244.17,17.5,9.71996,410,2331.52,261,629,29.5519,693.22,2.24417,1,1,693.194,5.4
"Aug 3, 12:00 pm",845.436,18.1,7.52696,13,887.003,250,262,22.3487,254.901,0.845436,1,1,254.901,6
"Aug 3, 01:00 pm",1266.26,18.7,20.4114,47,1319.68,339,379,24.6459,383.351,1.26626,1,1,383.327,6
"Aug 3, 02:00 pm",2466.06,18.8,34.2285,527,2562.38,315,721,31.7268,771.435,2.46606,1,1,769.874,6
"Aug 3, 03:00 pm",787.124,19,48.1127,26,827.179,226,243,22.8392,238.54,0.787124,1,1,238.251,6.5
"Aug 3, 04:00 pm",351.513,19.2,61.9212,0,381.252,114,114,20.221,108.49,0.351513,1,1,108.49,6.5
"Aug 3, 05:00 pm",109.743,18.6,75.5584,0,134.502,40,40,18.2685,37.9336,0.109743,1,1,37.9336,6.5
"Aug 3, 06:00 pm",148.4,18.1,88.8787,86,173.919,58,69,17.8794,50.4608,0.1484,1,1,48.9638,6.1
"Aug 3, 07:00 pm",0,17.6,96.3308,10,3.46617,1,1,16.5214,0.969846,0,1,3,0.969846,6.1
"Aug 3, 08:00 pm",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,6.1
"Aug 3, 09:00 pm",0,16.7,0,0,0,0,0,16.7,0,0,1,0,0,7.2
"Aug 3, 10:00 pm",0,16.3,0,0,0,0,0,16.3,0,0,1,0,0,7.2
"Aug 3, 11:00 pm",0,16.1,0,0,0,0,0,16.1,0,0,1,0,0,7.2
"Aug 4, 12:00 am",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,6.3
"Aug 4, 01:00 am",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,6.3
"Aug 4, 02:00 am",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,6.3
"Aug 4, 03:00 am",0,16,0,0,0,0,0,16,0,0,1,0,0,6.1
"Aug 4, 04:00 am",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,6.1
"Aug 4, 05:00 am",57.8972,16.1,91.2164,0,81.6568,24,24,15.318,22.7243,0.0578972,1,2,22.7243,6.1
"Aug 4, 06:00 am",431.459,16.1,78.1556,199,462.961,108,162,17.6387,142.694,0.431459,1,1,130.196,4.8
"Aug 4, 07:00 am",659.629,16.1,64.5633,36,696.485,190,206,18.9658,198.349,0.659629,1,1,197.056,4.8
"Aug 4, 08:00 am",1278.9,17.3,50.78,180,1332.7,275,385,24.0852,388.576,1.2789,1,1,386.094,4.8
"Aug 4, 09:00 am",2433.5,18.5,36.9059,522,2528.47,322,712,30.8367,758.472,2.4335,1,1,756.419,6.3
"Aug 4, 10:00 am",1132.57,19.7,23.0703,34,1182.05,314,343,25.4396,344.658,1.13257,1,1,344.633,6.3
"Aug 4, 11:00 am",1164.86,20.1,9.84474,16,1215.27,347,361,25.504,354.428,1.16486,1,1,354.427,6.3
"Aug 4, 12:00 pm",999.654,20.6,7.72461,13,1045.37,301,313,25.9709,305.55,0.999654,1,1,305.549,4.9
