,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,3.8
"Jan 1, 01:00 am",0,11.5,0,0,0,0,0,11.5,0,0,1,0,0,3.8
"Jan 1, 02:00 am",0,10.5,0,0,0,0,0,10.5,0,0,1,0,0,3.8
"Jan 1, 03:00 am",0,9.6,0,0,0,0,0,9.6,0,0,1,0,0,3.6
"Jan 1, 04:00 am",0,8.7,0,0,0,0,0,8.7,0,0,1,0,0,3.6
"Jan 1, 05:00 am",0,8.5,0,0,0,0,0,8.5,0,0,1,0,0,3.6
"Jan 1, 06:00 am",0,8.3,0,0,0,0,0,8.3,0,0,1,0,0,4
"Jan 1, 07:00 am",137.125,8.2,76.8373,214,162.421,5,19,7.82033,56.8586,0.137125,1,2,43.7263,4
"Jan 1, 08:00 am",1016.38,11,66.1982,638,1062.57,48,192,16.7008,322.711,1.01638,1,1,297.551,4
"Jan 1, 09:00 am",1808.96,13.7,53.7015,819,1880.1,58,380,24.6199,560.205,1.80896,1,1,546.046,4.4
"Jan 1, 10:00 am",2349.78,16.5,42.5347,886,2441.34,67,530,31.5877,739.043,2.34978,1,1,733.013,4.4
"Jan 1, 11:00 am",2643.06,18,34.0961,788,2746.87,150,626,35.5659,843.275,2.64306,1,1,840.974,4.4
"Jan 1, 12:00 pm",2108.52,19.4,30.7484,417,2190.62,265,528,32.2203,660.592,2.10852,1,1,659.758,5.1
"Jan 1, 01:00 pm",2367.29,20.8,34.0357,598,2459.56,215,576,35.1091,753.051,2.36729,1,1,751.315,5.1
"Jan 1, 02:00 pm",1178.32,20.8,42.4384,126,1229.13,246,312,27.7879,363.217,1.17832,1,1,362.367,5.1
"Jan 1, 03:00 pm",1496.04,20.9,53.5882,510,1556.62,138,340,28.6934,469.647,1.49604,1,1,460.905,5.8
"Jan 1, 04:00 pm",825.19,20.9,66.0779,458,866.229,64,168,25.2631,270.285,0.82519,1,1,252.344,5.8
"Jan 1, 05:00 pm",99.8881,19.8,76.7736,191,124.455,2,15,19.8559,47.0605,0.0998882,1,3,35.3559,5.8
"Jan 1, 06:00 pm",0,18.6,0,0,0,0,0,18.6,0,0,1,0,0,5.9
"Jan 1, 07:00 pm",0,17.4,0,0,0,0,0,17.4,0,0,1,0,0,5.9
"Jan 1, 08:00 pm",0,16.6,0,0,0,0,0,16.6,0,0,1,0,0,5.9
"Jan 1, 09:00 pm",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,2.1
"Jan 1, 10:00 pm",0,15.1,0,0,0,0,0,15.1,0,0,1,0,0,2.1
"Jan 1, 11:00 pm",0,14.8,0,0,0,0,0,14.8,0,0,1,0,0,2.1
"Jan 2, 12:00 am",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,1.9
"Jan 2, 01:00 am",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,1.9
"Jan 2, 02:00 am",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,1.9
"Jan 2, 03:00 am",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,1
"Jan 2, 04:00 am",0,14.5,0,0,0,0,0,14.5,0,0,1,0,0,1
"Jan 2, 05:00 am",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,1
"Jan 2, 06:00 am",0,14.4,0,0,0,0,0,14.4,0,0,1,0,0,4.6
"Jan 2, 07:00 am",16.6311,14.4,76.8926,16,39.6129,8,9,13.2944,11.9075,0.0166311,1,2,10.9245,4.6
"Jan 2, 08:00 am",330.134,16,66.2705,47,359.411,80,91,16.7245,102.518,0.330134,1,1,100.657,4.6
"Jan 2, 09:00 am",1542.78,17.5,53.7541,515,1604.88,150,352,28.8678,484.531,1.54278,1,1,475.593,2.1
"Jan 2, 10:00 am",2211.92,19.1,42.5567,812,2298.01,90,514,37.4874,715.84,2.21192,1,1,710.303,2.1
"Jan 2, 11:00 am",2524.67,20.2,34.0703,729,2623.43,185,625,42.0982,832.12,2.52467,1,1,829.997,2.1
"Jan 2, 12:00 pm",1092.25,21.3,30.6633,96,1140.56,237,298,29.9481,339.943,1.09225,1,1,339.753,3
"Jan 2, 01:00 pm",2507.98,22.5,33.91,718,2606.05,183,618,41.0273,822.063,2.50798,1,1,820.009,3
"Jan 2, 02:00 pm",1983.31,22.8,42.3006,628,2060.73,143,473,38.4163,644.111,1.98331,1,1,639.929,3
