,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-4.6,0,0,0,0,0,-4.6,0,0,1,0,0,4.2
"Jan 1, 01:00 am",0,-5.8,0,0,0,0,0,-5.8,0,0,1,0,0,4.1
"Jan 1, 02:00 am",0,-5.9,0,0,0,0,0,-5.9,0,0,1,0,0,4
"Jan 1, 03:00 am",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,5
"Jan 1, 04:00 am",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,3.9
"Jan 1, 05:00 am",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,3.9
"Jan 1, 06:00 am",0,-8.7,0,0,0,0,0,-8.7,0,0,1,0,0,3.3
"Jan 1, 07:00 am",0,-7.9,78.1637,0,0,0,0,-7.9,0,0,1,2,0,2.7
"Jan 1, 08:00 am",62.7513,-7.1,71.3023,0,86.6035,23,23,-8.2247,21.7943,0.0627513,1,1,21.7943,4.7
"Jan 1, 09:00 am",348.897,-5.2,60.5389,0,378.579,95,95,-4.69286,96.6596,0.348897,1,1,96.6596,3.6
"Jan 1, 10:00 am",605.281,-3.4,51.6144,18,640.818,151,158,-1.1759,166.288,0.605281,1,1,166.023,4
"Jan 1, 11:00 am",1514.09,-1.6,45.6951,273,1575.26,196,311,7.11131,425.248,1.51409,1,1,422.782,3.5
"Jan 1, 12:00 pm",1136.72,-0.8,44.0265,102,1186.31,219,264,4.72833,315.932,1.13672,1,1,315.137,4.9
"Jan 1, 01:00 pm",985.094,0,47.0656,83,1030.41,197,231,4.22805,273.98,0.985094,1,1,273.136,5.4
"Jan 1, 02:00 pm",1022.24,-1.2,54.0192,199,1068.59,147,213,3.53143,285.937,1.02224,1,1,282.414,4.8
"Jan 1, 03:00 pm",389.536,-1.3,63.6005,50,420.106,82,93,-0.257878,110.957,0.389536,1,1,109.261,5.8
"Jan 1, 04:00 pm",39.1172,-1.5,74.1756,0,62.521,17,17,-2.54016,16.106,0.0391172,1,3,16.106,4.6
"Jan 1, 05:00 pm",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,3.6
"Jan 1, 06:00 pm",0,-2.9,0,0,0,0,0,-2.9,0,0,1,0,0,4.5
"Jan 1, 07:00 pm",0,-4.1,0,0,0,0,0,-4.1,0,0,1,0,0,2.9
"Jan 1, 08:00 pm",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,3.9
"Jan 1, 09:00 pm",0,-1.4,0,0,0,0,0,-1.4,0,0,1,0,0,3.8
"Jan 1, 10:00 pm",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,2.7
"Jan 1, 11:00 pm",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,3.2
"Jan 2, 12:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,3.1
"Jan 2, 01:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,4.6
"Jan 2, 02:00 am",0,-3,0,0,0,0,0,-3,0,0,1,0,0,4.1
"Jan 2, 03:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,5.1
"Jan 2, 04:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,3.6
"Jan 2, 05:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,4.6
"Jan 2, 06:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,3.6
"Jan 2, 07:00 am",0,-5,78.2076,0,0,0,0,-5,0,0,1,2,0,5.1
"Jan 2, 08:00 am",61.6314,-4,71.3447,0,85.4622,23,23,-4.98271,21.7943,0.0616314,1,1,21.7943,5.7
"Jan 2, 09:00 am",1207.95,-3,60.5584,474,1259.62,84,205,1.67713,343.562,1.20795,1,1,330.287,6.2
"Jan 2, 10:00 am",1772.19,-2,51.6023,578,1842.04,107,315,6.24787,501.044,1.77219,1,1,492.539,5.7
"Jan 2, 11:00 am",2303.41,-1,45.6432,733,2393.11,107,417,10.3263,657.955,2.30341,1,1,651.363,5.7
"Jan 2, 12:00 pm",2263.57,0,43.9339,696,2351.69,108,414,11.3769,648.438,2.26357,1,1,643.058,5.7
"Jan 2, 01:00 pm",2248.26,0,46.9439,784,2335.77,83,404,12.2123,648.959,2.24826,1,1,641.072,5.1
"Jan 2, 02:00 pm",1810.08,0,53.8839,754,1881.26,54,306,9.07441,522.457,1.81008,1,1,509.242,5.7
"Jan 2, 03:00 pm",1187.32,0,63.462,645,1238.39,45,186,6.72069,353.499,1.18732,1,1,331.807,4.6
"Jan 2, 04:00 pm",362.955,-2,74.1234,335,392.943,17,41,-0.0508283,121.327,0.362955,1,3,102.285,3.6
"Jan 2, 05:00 pm",0,-4,0,0,0,0,0,-4,0,0,1,0,0,2.1
"Jan 2, 06:00 pm",0,-4,0,0,0,0,0,-4,0,0,1,0,0,2.6
"Jan 2, 07:00 pm",0,-6,0,0,0,0,0,-6,0,0,1,0,0,3.6
"Jan 2, 08:00 pm",0,-7,0,0,0,0,0,-7,0,0,1,0,0,2.6
"Jan 2, 09:00 pm",0,-7,0,0,0,0,0,-7,0,0,1,0,0,2.6
