,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-9.2,0,0,0,0,0,-9.2,0,0,1,0,0,5.3
"Jan 1, 01:00 am",0,-9.7,0,0,0,0,0,-9.7,0,0,1,0,0,5.3
"Jan 1, 02:00 am",0,-9.9,0,0,0,0,0,-9.9,0,0,1,0,0,5.3
"Jan 1, 03:00 am",0,-10.1,0,0,0,0,0,-10.1,0,0,1,0,0,2.6
"Jan 1, 04:00 am",0,-10.3,0,0,0,0,0,-10.3,0,0,1,0,0,2.6
"Jan 1, 05:00 am",0,-10.7,0,0,0,0,0,-10.7,0,0,1,0,0,2.6
"Jan 1, 06:00 am",0,-11,0,0,0,0,0,-11,0,0,1,0,0,6.6
"Jan 1, 07:00 am",0,-11.3,0,0,0,0,0,-11.3,0,0,1,0,0,6.6
"Jan 1, 08:00 am",69.2573,-10.7,74.9566,50,8,93.2338,11,-11.5145,26.0732,0.0692573,1,2,23.1532,6.6
"Jan 1, 09:00 am",503.948,-10.1,65.6607,130,68,537.099,92,-8.98741,139.721,0.503948,1,1,134.747,6.5
"Jan 1, 10:00 am",1616.94,-9.5,56.3112,461,149,1681.49,284,-3.18531,441.66,1.61694,1,1,432.007,6.5
"Jan 1, 11:00 am",829.749,-8.3,49.5105,125,126,870.906,172,-5.29043,223.371,0.829749,1,1,221.815,6.5
"Jan 1, 12:00 pm",309.27,-7.1,46.423,0,89,338.1,89,-6.73522,85.6033,0.30927,1,1,85.6033,7.9
"Jan 1, 01:00 pm",603.269,-5.9,47.7807,14,151,638.758,156,-4.50665,163.365,0.603269,1,1,163.214,7.9
"Jan 1, 02:00 pm",602.764,-5.4,53.2424,37,131,638.241,143,-3.92441,164.093,0.602764,1,1,163.475,7.9
"Jan 1, 03:00 pm",937.351,-4.9,61.7159,301,96,981.366,165,-2.25575,262.191,0.937351,1,1,253.108,9.2
"Jan 1, 04:00 pm",463.385,-4.4,72.09,233,46,495.608,69,-3.32912,139.518,0.463385,1,1,127.255,9.2
"Jan 1, 05:00 pm",0,-4.9,78.226,19,1,14.3661,1,-5.72569,4.84682,0,1,3,3.65242,9.2
