,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,5.7
"Jan 1, 01:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,0
"Jan 1, 02:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,2.1
"Jan 1, 03:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,4.1
"Jan 1, 04:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,6.2
"Jan 1, 05:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,5.7
"Jan 1, 06:00 am",0,3,0,0,0,0,0,3,0,0,1,0,0,2.1
"Jan 1, 07:00 am",0,3,78.1273,0,0,0,0,3,0,0,1,2,0,0
"Jan 1, 08:00 am",176.924,3,72.4836,79,203.013,24,31,2.42283,57.6258,0.176924,1,1,53.4009,2.1
"Jan 1, 09:00 am",1003.09,5,62.5215,432,1048.9,70,161,7.84824,296.129,1.00309,1,1,282.416,10.3
"Jan 1, 10:00 am",1605.3,6,54.5324,633,1669.46,69,261,11.5435,468.486,1.6053,1,1,456.842,9.3
"Jan 1, 11:00 am",1963.57,7,49.5788,712,2040.26,75,329,13.3761,571.787,1.96357,1,1,562.87,10.8
"Jan 1, 12:00 pm",1900.15,7,48.6155,577,1974.54,128,339,12.7983,550.017,1.90015,1,1,543.339,11.8
"Jan 1, 01:00 pm",951.112,7,51.8676,163,995.501,147,202,10.1134,273.153,0.951113,1,1,270.704,9.3
"Jan 1, 02:00 pm",1276.47,7,58.6305,389,1330.2,135,235,11.253,373.117,1.27647,1,1,363.538,9.3
"Jan 1, 03:00 pm",772.957,6,67.8337,329,812.648,82,130,7.98821,233.109,0.772957,1,1,218.938,12.3
"Jan 1, 04:00 pm",44.5058,5,75.7936,79,68.0114,2,2,4.59457,22.7829,0.0445058,1,3,18.0564,13.4
"Jan 1, 05:00 pm",0,6,0,0,0,0,0,6,0,0,1,0,0,13.9
"Jan 1, 06:00 pm",0,6,0,0,0,0,0,6,0,0,1,0,0,15.9
"Jan 1, 07:00 pm",0,6,0,0,0,0,0,6,0,0,1,0,0,14.9
"Jan 1, 08:00 pm",0,6,0,0,0,0,0,6,0,0,1,0,0,12.9
"Jan 1, 09:00 pm",0,6,0,0,0,0,0,6,0,0,1,0,0,14.4
"Jan 1, 10:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,11.8
"Jan 1, 11:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,9.3
"Jan 2, 12:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,10.8
"Jan 2, 01:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,11.3
"Jan 2, 02:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,10.8
"Jan 2, 03:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,10.3
"Jan 2, 04:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,9.3
"Jan 2, 05:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,9.3
"Jan 2, 06:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,9.3
"Jan 2, 07:00 am",0,4,78.1676,0,0,0,0,4,0,0,1,2,0,11.3
"Jan 2, 08:00 am",286.461,6,72.5117,142,314.807,30,43,6.27833,91.7892,0.286461,1,1,84.1866,8.7
"Jan 2, 09:00 am",387.468,6,62.5254,59,417.992,79,91,6.68795,113.852,0.387468,1,1,111.979,8.2
"Jan 2, 10:00 am",1411.27,6,54.5048,409,1469.15,131,255,10.0216,406.85,1.41127,1,1,399.342,11.3
"Jan 2, 11:00 am",457.942,7,49.514,12,490.041,123,127,7.75587,132.039,0.457942,1,1,131.89,14.9
"Jan 2, 12:00 pm",1646.8,7,48.5152,419,1712.35,159,313,11.5552,473.414,1.6468,1,1,468.604,12.3
"Jan 2, 01:00 pm",1771.85,7,51.7424,570,1841.69,122,312,12.0005,513.471,1.77185,1,1,504.991,12.9
"Jan 2, 02:00 pm",957.819,6,58.4932,228,1002.39,125,184,8.37902,276.079,0.957819,1,1,270.517,13.4
"Jan 2, 03:00 pm",617.68,6,67.6937,194,653.516,82,111,7.43584,183.939,0.61768,1,1,175.643,11.8
"Jan 2, 04:00 pm",23.8885,6,75.746,49,47.006,2,3,5.48789,15.4555,0.0238885,1,3,12.5277,12.9
"Jan 2, 05:00 pm",0,6,0,0,0,0,0,6,0,0,1,0,0,13.4
"Jan 2, 06:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,15.4
"Jan 2, 07:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,11.3
"Jan 2, 08:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,10.8
"Jan 2, 09:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,12.9
"Jan 2, 10:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,12.3
"Jan 2, 11:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,12.3
"Jan 3, 12:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,13.4
"Jan 3, 01:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,10.8
"Jan 3, 02:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,12.9
"Jan 3, 03:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,12.9
"Jan 3, 04:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,9.8
"Jan 3, 05:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,11.8
"Jan 3, 06:00 am",0,4,0,0,0,0,0,4,0,0,1,0,0,11.3
"Jan 3, 07:00 am",0,4,78.2076,0,0,0,0,4,0,0,1,2,0,13.9
"Jan 3, 08:00 am",2.45662,4,72.5344,0,25.1748,7,7,3.07705,6.64047,0.00245662,1,1,6.64047,8.7
"Jan 3, 09:00 am",129.036,5,62.5231,0,154.173,43,43,4.5872,40.9304,0.129036,1,1,40.9304,9.3
"Jan 3, 10:00 am",159.817,6,54.4703,0,185.563,52,52,5.73187,49.5069,0.159817,1,1,49.5069,9.3
"Jan 3, 11:00 am",241.679,6,49.4419,0,269.089,75,75,6.03827,71.886,0.241679,1,1,71.886,9.3
"Jan 3, 12:00 pm",263.847,6,48.4077,0,291.719,81,81,6.22912,77.9956,0.263847,1,1,77.9956,4.1
"Jan 3, 01:00 pm",170.284,6,51.6109,0,196.24,55,55,5.79742,52.3703,0.170284,1,1,52.3703,9.3
"Jan 3, 02:00 pm",153.585,5,58.3507,0,179.207,50,50,4.72038,47.6037,0.153585,1,1,47.6037,9.8
"Jan 3, 03:00 pm",152.116,5,67.5497,0,177.71,47,47,4.68704,47.1991,0.152116,1,1,47.1991,8.7
"Jan 3, 04:00 pm",0,6,75.6982,0,3.5649,1,1,4.80933,0.947324,0,1,3,0.947324,6.2
"Jan 3, 05:00 pm",0,5,0,0,0,0,0,5,0,0,1,0,0,3.1
