,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,1.5
"Jan 1, 01:00 am",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,2.6
"Jan 1, 02:00 am",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,0
"Jan 1, 03:00 am",0,1.1,0,0,0,0,0,1.1,0,0,1,0,0,2.1
"Jan 1, 04:00 am",0,0.6,0,0,0,0,0,0.6,0,0,1,0,0,1.5
"Jan 1, 05:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Jan 1, 06:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,2.1
"Jan 1, 07:00 am",0,1.7,78.0867,0,0,0,0,1.7,0,0,1,2,0,3.6
"Jan 1, 08:00 am",607.215,1.1,69.9871,333,642.798,53,103,3.95861,186.16,0.607215,1,1,170.193,2.6
"Jan 1, 09:00 am",1441.84,3.9,58.3918,621,1500.69,77,266,13.5947,429.46,1.44184,1,1,414.415,2.6
"Jan 1, 10:00 am",1894.92,7.8,48.4151,687,1969.11,109,398,31.7795,599.597,1.89492,1,1,591.777,0
"Jan 1, 11:00 am",1925.58,13.3,41.3128,521,2000.89,166,424,29.1971,597.044,1.92558,1,1,593.88,2.1
"Jan 1, 12:00 pm",1880.49,15.6,38.718,444,1954.17,197,427,31.1874,587.699,1.88049,1,1,585.602,2.1
"Jan 1, 01:00 pm",1694.66,16.1,41.489,417,1761.84,196,402,39.0567,551.45,1.69466,1,1,548.875,0
"Jan 1, 02:00 pm",1569,16.1,48.7156,471,1631.96,144,340,29.019,489.462,1.569,1,1,483.966,2.1
"Jan 1, 03:00 pm",937.633,16.1,58.7653,327,981.657,104,201,29.9696,300.574,0.937634,1,1,292.447,0
