Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
4795.5,32.2,19.4,19.4362,47,7.2,170
4796.5,30.6,19.4,19.6036,52,6.2,160
4797.5,29.4,20,19.9761,57,5.2,160
4798.5,28.3,20,20.0451,61,5.2,140
4799.5,27.8,20,20.0968,63,5.2,160
4800.5,27.2,20.6,20.5271,67,5.2,160
4801.5,26.7,21.1,21.222,72,3.1,160
4802.5,25.6,21.1,21.2591,77,3.1,150
4803.5,25,21.1,21.0963,79,3.6,150
4804.5,24.4,21.1,21.1208,82,3.6,150
4805.5,24.4,21.1,21.1208,82,3.6,150
4806.5,25.6,21.1,21.2591,77,4.1,150
4807.5,27.2,21.7,21.7014,72,5.2,190
4808.5,29.4,22.2,22.1179,65,4.6,160
4809.5,31.7,22.8,22.6843,59,4.6,240
4810.5,33.9,22.2,22.317,51,4.1,180
4811.5,34.4,21.7,21.4323,47,5.2,220
4812.5,36.1,21.1,21.1251,42,6.2,180
4813.5,36.7,20,20.0316,38,2.6,140
4814.5,35,20.6,20.5236,43,7.7,170
4815.5,31.7,21.1,21.23,54,6.7,180
4816.5,31.7,21.1,21.23,54,7.2,170
4817.5,31.1,20.6,20.3721,53,6.2,170
4818.5,30.6,21.1,21.0928,57,7.2,170
4819.5,28.9,21.1,21.1338,63,4.1,160
4820.5,28.3,21.1,21.077,65,4.6,140
4821.5,27.8,21.1,21.0972,67,5.7,160
4822.5,27.2,21.1,21.0057,69,2.6,180
4823.5,27.2,21.1,21.0057,69,4.1,160
4824.5,26.7,21.1,21.222,72,4.6,180
4825.5,26.1,21.1,21.0928,74,3.6,180
4826.5,25.6,21.1,21.2591,77,3.6,180
4827.5,25,21.1,21.0963,79,3.6,170
4828.5,24.4,21.1,21.1208,82,2.6,180
4829.5,24.4,21.1,21.1208,82,2.1,160
4830.5,25.6,21.1,21.2591,77,4.1,180
4831.5,27.8,22.2,22.2768,72,5.2,170
4832.5,30,22.8,22.6856,65,5.7,180
4833.5,31.7,23.3,23.2361,61,5.2,190
4834.5,32.8,23.9,23.9919,60,5.2,180
4835.5,32.8,23.9,23.9919,60,5.7,170
4836.5,33.3,23.9,23.8935,58,6.2,150
4837.5,33.9,23.9,23.8664,56,7.2,180
4838.5,34.4,22.8,22.7752,51,6.2,170
4839.5,32.2,21.7,21.6919,54,5.2,210
4840.5,29.4,21.1,21.0777,61,2.6,270
4841.5,28.3,21.1,21.077,65,0,0
4842.5,28.3,21.7,21.5723,67,0,0
4843.5,27.2,22.2,22.1513,74,2.1,350
4844.5,26.7,22.2,22.323,77,2.1,360
4845.5,25,22.2,22.2961,85,2.1,320
4846.5,25,22.2,22.2961,85,0,0
4847.5,24.4,22.2,22.0902,87,2.1,300
4848.5,25,22.8,22.8685,88,0,0
4849.5,25,22.8,22.8685,88,3.1,20
4850.5,24.4,22.2,22.0902,87,3.1,350
4851.5,24.4,21.7,21.7084,85,2.1,330
4852.5,23.9,21.1,21.2186,85,2.1,340
4853.5,23.9,21.1,21.2186,85,4.6,10
4854.5,24.4,21.7,21.7084,85,3.6,50
4855.5,27.2,22.2,22.1513,74,5.7,40
4856.5,28.9,22.2,22.1423,67,3.1,60
4857.5,30.6,22.2,22.204,61,3.1,100
4858.5,31.1,22.8,22.6731,61,0,0
4859.5,32.8,22.2,22.246,54,1.5,100
4860.5,33.3,22.2,22.0858,52,2.1,310
4861.5,34.4,21.7,21.4323,47,2.6,320
4862.5,35,21.1,20.8975,44,2.1,300
4863.5,31.1,22.2,22.1238,59,7.7,100
4864.5,27.8,23.3,23.3868,77,5.2,190
4865.5,26.7,21.1,21.222,72,2.6,270
4866.5,26.7,21.7,21.6702,74,2.1,340
4867.5,26.1,22.2,22.1638,79,2.1,360
4868.5,25.6,22.2,22.2909,82,2.1,40
4869.5,25,21.7,21.7058,82,0,0
4870.5,25,22.8,22.8685,88,0,0
4871.5,24.4,22.8,22.6487,90,0,0
4872.5,25,22.8,22.8685,88,0,0
4873.5,23.9,22.2,22.1554,90,0,0
4874.5,23.3,22.2,22.2773,94,0,0
4875.5,23.3,22.2,22.2773,94,0,0
4876.5,23.3,22.2,22.2773,94,0,0
4877.5,22.8,21.7,21.6059,93,0,0
4878.5,24.4,22.8,22.6487,90,1.5,60
4879.5,26.7,23.3,23.3633,82,2.1,120
4880.5,28.3,23.3,23.2097,74,1.5,210
4881.5,31.1,23.3,23.207,63,4.6,180
4882.5,32.2,23.3,23.1514,59,2.6,170
4883.5,33.3,23.3,23.3099,56,2.1,260
4884.5,34.4,22.2,22.1157,49,3.1,220
4885.5,35.6,21.7,21.437,44,3.1,60
4886.5,35,21.1,20.8975,44,1.5,30
4887.5,37.2,22.2,22.1079,42,2.1,340
4888.5,36.7,21.1,20.8642,40,2.6,280
4889.5,36.1,20.6,20.3314,40,2.1,150
4890.5,35.6,20.6,20.6783,42,2.6,100
4891.5,32.2,22.8,22.5811,57,6.2,120
4892.5,31.1,21.7,21.5579,57,4.1,160
4893.5,30,22.2,22.1705,63,3.6,130
4894.5,29.4,22.8,22.6172,67,2.6,160
4895.5,28.3,22.8,22.7562,72,3.1,180
4896.5,27.8,22.8,22.7286,74,3.6,170
4897.5,27.2,22.8,22.8066,77,2.6,180
4898.5,26.7,22.8,22.746,79,3.1,170
4899.5,26.1,22.8,22.7784,82,3.1,180
4900.5,25.6,22.8,22.8838,85,4.1,180
4901.5,25.6,22.8,22.8838,85,4.1,180
4902.5,27.2,22.8,22.8066,77,4.6,190
4903.5,29.4,23.3,23.3423,70,6.2,200
4904.5,31.7,23.3,23.2361,61,6.2,200
4905.5,33.3,22.8,22.7077,54,6.2,220
4906.5,35,23.3,23.325,51,5.2,220
4907.5,37.2,22.2,22.1079,42,5.2,190
4908.5,38.9,21.1,21.0865,36,5.2,240
4909.5,38.9,20,19.6748,33,2.6,250
4910.5,40,18.9,18.5435,29,3.6,260
4911.5,39.4,18.9,18.5738,30,5.7,200
