,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,1.8,0,0,0,0,0,1.8,0,0,1,0,0,8.6
"Jan 1, 01:00 am",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,8.6
"Jan 1, 02:00 am",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,8.6
"Jan 1, 03:00 am",0,2,0,0,0,0,0,2,0,0,1,0,0,8.5
"Jan 1, 04:00 am",0,1.8,0,0,0,0,0,1.8,0,0,1,0,0,8.5
"Jan 1, 05:00 am",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,8.5
"Jan 1, 06:00 am",0,2.5,0,0,0,0,0,2.5,0,0,1,0,0,8.5
"Jan 1, 07:00 am",0,2.9,78.1434,3,1.63093,0,0,1.87244,0.616387,0,1,2,0.428002,8.5
"Jan 1, 08:00 am",172.673,3.3,72.5505,47,198.677,32,36,3.04532,54.9192,0.172673,1,1,52.399,8.5
"Jan 1, 09:00 am",587.404,3.7,62.5905,138,622.514,89,118,4.91825,169.901,0.587404,1,1,165.502,10.8
"Jan 1, 10:00 am",549.763,4.1,54.5992,32,583.981,125,135,5.22032,156.051,0.549763,1,1,155.459,10.8
"Jan 1, 11:00 am",421.081,4.8,49.6381,0,452.351,120,120,5.48461,120.555,0.421081,1,1,120.555,10.8
"Jan 1, 12:00 pm",1147.41,5.4,48.6609,213,1197.31,160,237,9.44088,327.098,1.14741,1,1,324.624,7.5
"Jan 1, 01:00 pm",773.974,6.1,51.8955,83,813.692,152,179,8.71614,221.165,0.773974,1,1,219.916,7.5
"Jan 1, 02:00 pm",572.343,5.7,58.6419,65,607.095,116,133,7.33901,164.7,0.572343,1,1,163.098,7.5
"Jan 1, 03:00 pm",416.914,5.3,67.8316,121,448.091,60,77,6.04512,124.92,0.416914,1,1,119.709,10.8
"Jan 1, 04:00 pm",29.931,5,75.7787,33,53.1618,5,6,4.39929,16.0758,0.029931,1,3,14.1022,10.8
"Jan 1, 05:00 pm",0,5.2,0,0,0,0,0,5.2,0,0,1,0,0,10.8
"Jan 1, 06:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,7.1
"Jan 1, 07:00 pm",0,5.7,0,0,0,0,0,5.7,0,0,1,0,0,7.1
