,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Feb 28, 10:00 am",2551.97,8.5,35.531,694,2651.89,191,627,30.4286,794.144,2.55197,1,1,791.779,1.9
"Feb 28, 11:00 am",2485.72,9.1,26.9855,482,2582.86,298,632,30.8752,773.44,2.48572,1,1,772.833,1.9
"Feb 28, 12:00 pm",1270.75,9.7,25.17,64,1324.3,305,350,19.1321,375.031,1.27075,1,1,374.968,3
"Feb 28, 01:00 pm",646.918,10.2,31.2805,6,683.463,189,193,14.0719,189.154,0.646918,1,1,189.141,3
"Feb 28, 02:00 pm",2307.9,10.5,41.9846,596,2397.78,228,568,26.2525,705.628,2.3079,1,1,701.774,3
"Feb 28, 03:00 pm",1661.71,10.7,54.6377,634,1727.77,121,396,24.2165,512.609,1.66171,1,1,500.856,2.4
"Feb 28, 04:00 pm",883.219,10.9,68.1432,486,925.783,87,214,17.9673,282.015,0.883219,1,1,260.741,2.4
"Feb 28, 05:00 pm",111.993,10.4,80.7221,204,136.795,12,29,10.6757,50.2017,0.111993,1,3,37.2905,2.4
"Feb 28, 06:00 pm",0,9.9,0,0,0,0,0,9.9,0,0,1,0,0,5.7
"Feb 28, 07:00 pm",0,9.4,0,0,0,0,0,9.4,0,0,1,0,0,5.7
"Feb 28, 08:00 pm",0,8.9,0,0,0,0,0,8.9,0,0,1,0,0,5.7
"Feb 28, 09:00 pm",0,8.5,0,0,0,0,0,8.5,0,0,1,0,0,4.8
"Feb 28, 10:00 pm",0,8.1,0,0,0,0,0,8.1,0,0,1,0,0,4.8
"Feb 28, 11:00 pm",0,7.5,0,0,0,0,0,7.5,0,0,1,0,0,4.8
"Mar 1, 12:00 am",0,7,0,0,0,0,0,7,0,0,1,0,0,6.6
"Mar 1, 01:00 am",0,6.5,0,0,0,0,0,6.5,0,0,1,0,0,6.6
"Mar 1, 02:00 am",0,6,0,0,0,0,0,6,0,0,1,0,0,6.6
"Mar 1, 03:00 am",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,4.3
"Mar 1, 04:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,4.3
"Mar 1, 05:00 am",0,4.7,0,0,0,0,0,4.7,0,0,1,0,0,4.3
"Mar 1, 06:00 am",5.29815,4.3,83.6821,48,28.069,4,6,2.98491,10.1758,0.00529815,1,2,7.40099,4.2
"Mar 1, 07:00 am",476.217,3.9,73.9193,223,508.732,78,119,5.51341,148.184,0.476217,1,1,135.598,4.2
"Mar 1, 08:00 am",1191.02,5.4,60.1846,354,1242.2,158,288,11.6915,349.82,1.19102,1,1,340.146,4.2
"Mar 1, 09:00 am",2178.92,6.9,47.0419,702,2263.73,158,523,25.3397,666.815,2.17893,1,1,659.694,1.6
"Mar 1, 10:00 am",2659.33,8.4,35.231,814,2763.84,137,652,32.5081,836.252,2.65933,1,1,833.565,1.6
"Mar 1, 11:00 am",2914.42,9.1,26.6173,844,3030.31,144,732,36.2833,932.067,2.91442,1,1,931.054,1.6
"Mar 1, 12:00 pm",3035.41,9.8,24.8042,877,3156.91,139,760,35.856,968.727,3.03541,1,1,967.901,2.2
"Mar 1, 01:00 pm",2836.24,10.5,31.0098,859,2948.58,134,707,34.9839,901.908,2.83624,1,1,900.137,2.2
"Mar 1, 02:00 pm",2425.14,11.1,41.7999,813,2519.77,126,593,31.9219,762.957,2.42514,1,1,757.788,2.2
"Mar 1, 03:00 pm",1799.68,11.6,54.508,694,1870.49,117,420,19.9801,544.423,1.79968,1,1,531.68,7.1
"Mar 1, 04:00 pm",908.911,12.2,68.0483,497,952.161,88,220,16.2613,287.754,0.908912,1,1,266.105,7.1
"Mar 1, 05:00 pm",117.749,11.4,80.7641,212,142.664,13,31,11.4245,52.4312,0.117749,1,3,39.019,7.1
"Mar 1, 06:00 pm",0,10.7,0,0,0,0,0,10.7,0,0,1,0,0,8.2
"Mar 1, 07:00 pm",0,9.9,0,0,0,0,0,9.9,0,0,1,0,0,8.2
"Mar 1, 08:00 pm",0,9.6,0,0,0,0,0,9.6,0,0,1,0,0,8.2
"Mar 1, 09:00 pm",0,9.3,0,0,0,0,0,9.3,0,0,1,0,0,6.1
"Mar 1, 10:00 pm",0,9,0,0,0,0,0,9,0,0,1,0,0,6.1
"Mar 1, 11:00 pm",0,8.4,0,0,0,0,0,8.4,0,0,1,0,0,6.1
"Mar 2, 12:00 am",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,7.7
"Mar 2, 01:00 am",0,7.2,0,0,0,0,0,7.2,0,0,1,0,0,7.7
"Mar 2, 02:00 am",0,6.7,0,0,0,0,0,6.7,0,0,1,0,0,7.7
"Mar 2, 03:00 am",0,6.2,0,0,0,0,0,6.2,0,0,1,0,0,5.6
"Mar 2, 04:00 am",0,5.8,0,0,0,0,0,5.8,0,0,1,0,0,5.6
"Mar 2, 05:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,5.6
"Mar 2, 06:00 am",0,4.3,83.6869,11,17.9852,4,5,2.86471,5.37548,0,1,2,4.73976,4.1
"Mar 2, 07:00 am",313.444,3.5,73.7425,48,342.363,78,87,3.9059,93.3192,0.313444,1,1,90.6269,4.1
"Mar 2, 08:00 am",1020.65,5.4,59.9812,213,1066.95,178,257,10.4873,296.355,1.02065,1,1,290.611,4.1
"Mar 2, 09:00 am",2241,7.2,46.7994,661,2328.23,184,531,19.0442,665.528,2.241,1,1,658.96,5.2
"Mar 2, 10:00 am",2803.12,9,34.9298,838,2913.96,133,668,24.9445,850.286,2.80312,1,1,847.607,5.2
"Mar 2, 11:00 am",3025.29,10.3,26.247,834,3146.31,148,733,28.0371,929.64,3.02529,1,1,928.687,5.2
"Mar 2, 12:00 pm",2983.8,11.6,24.4375,835,3102.88,151,746,34.4401,945.459,2.9838,1,1,944.71,3.1
"Mar 2, 01:00 pm",2781.06,12.9,30.7413,819,2890.92,145,694,34.2696,881.074,2.78106,1,1,879.438,3.1
