,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,5.2,0,0,0,0,0,5.2,0,0,1,0,0,8.6
"Jan 1, 01:00 am",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,8.6
"Jan 1, 02:00 am",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,7
"Jan 1, 03:00 am",0,1.4,0,0,0,0,0,1.4,0,0,1,0,0,7
"Jan 1, 04:00 am",0,0.5,0,0,0,0,0,0.5,0,0,1,0,0,7
"Jan 1, 05:00 am",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,8.5
"Jan 1, 06:00 am",0,-1.2,80.0152,10,4.25873,0,0,-2.22197,1.73387,0,1,2,1.09854,8.5
"Jan 1, 07:00 am",436.007,-1.1,73.8959,326,467.611,33,65,-0.161066,140.05,0.436007,1,1,121.665,8.5
"Jan 1, 08:00 am",1258.12,-1,61.8194,589,1311.29,63,218,3.95654,365.077,1.25812,1,1,347.186,6.7
"Jan 1, 09:00 am",1975.49,-0.9,50.9888,727,2052.62,78,366,7.56758,562.184,1.97549,1,1,551.99,6.7
"Jan 1, 10:00 am",2555.36,0,42.4944,831,2655.42,89,494,11.5011,732.147,2.55536,1,1,726.512,6.7
"Jan 1, 11:00 am",2812.54,0.8,37.9652,894,2923.81,75,549,11.1851,802.743,2.81254,1,1,798.826,9.2
"Jan 1, 12:00 pm",2699.09,1.7,38.8228,746,2805.34,148,537,11.7284,771.86,2.69909,1,1,768.299,9.2
"Jan 1, 01:00 pm",1604.89,1.9,44.7577,299,1669.04,205,344,7.57573,451.342,1.60489,1,1,448.854,9.2
"Jan 1, 02:00 pm",1000.8,2,54.1168,181,1046.55,157,222,5.65618,282.349,1.0008,1,1,279.121,7.5
"Jan 1, 03:00 pm",212.163,2.2,65.4251,0,238.967,64,64,2.31191,62.8287,0.212163,1,1,62.8287,7.5
"Jan 1, 04:00 pm",133.495,1.7,75.8871,108,158.719,14,21,1.36686,48.041,0.133495,1,3,41.5633,7.5
"Jan 1, 05:00 pm",0,1.3,0,0,0,0,0,1.3,0,0,1,0,0,10.4
"Jan 1, 06:00 pm",0,0.9,0,0,0,0,0,0.9,0,0,1,0,0,10.4
"Jan 1, 07:00 pm",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,10.4
"Jan 1, 08:00 pm",0,-1.5,0,0,0,0,0,-1.5,0,0,1,0,0,11.6
"Jan 1, 09:00 pm",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,11.6
"Jan 1, 10:00 pm",0,-3.6,0,0,0,0,0,-3.6,0,0,1,0,0,11.6
"Jan 1, 11:00 pm",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,11.9
"Jan 2, 12:00 am",0,-5.4,0,0,0,0,0,-5.4,0,0,1,0,0,11.9
"Jan 2, 01:00 am",0,-5.7,0,0,0,0,0,-5.7,0,0,1,0,0,11.9
"Jan 2, 02:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,8.3
"Jan 2, 03:00 am",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,8.3
