,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-10,0,0,0,0,0,-10,0,0,1,0,0,10.2
"Jan 1, 01:00 am",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,10.2
"Jan 1, 02:00 am",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,11.1
"Jan 1, 03:00 am",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,11.1
"Jan 1, 04:00 am",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,11.1
"Jan 1, 05:00 am",0,-8.5,0,0,0,0,0,-8.5,0,0,1,0,0,12.9
"Jan 1, 06:00 am",0,-8.7,0,0,0,0,0,-8.7,0,0,1,0,0,12.9
"Jan 1, 07:00 am",0,-9,0,0,0,0,0,-9,0,0,1,0,0,12.9
"Jan 1, 08:00 am",67.6558,-9.3,75.8384,103,91.6017,4,7,-9.75728,29.0791,0.0676558,1,2,22.9094,13.3
"Jan 1, 09:00 am",807.164,-9.6,68.5763,413,847.735,56,109,-7.94016,232.067,0.807164,1,1,213.585,13.3
"Jan 1, 10:00 am",1199.02,-9.5,59.7906,434,1250.43,80,181,-6.75512,328.125,1.19902,1,1,316.569,13.3
"Jan 1, 11:00 am",1955.01,-9.4,53.4764,620,2031.39,122,309,-4.43451,529.748,1.95501,1,1,519.21,13
"Jan 1, 12:00 pm",791.117,-9.3,50.6146,135,831.274,110,155,-7.60749,211.559,0.791117,1,1,209.721,13
"Jan 1, 01:00 pm",2011.54,-10.3,51.7904,557,2090,153,331,-5.27595,540.661,2.01154,1,1,532.343,13
"Jan 1, 02:00 pm",183.739,-11.2,56.7502,0,209.966,55,55,-11.1654,52.215,0.183739,1,1,52.215,11.9
"Jan 1, 03:00 pm",476.23,-12.2,64.6105,113,508.745,68,88,-11.5359,130.398,0.47623,1,1,126.328,11.9
"Jan 1, 04:00 pm",329.435,-14.4,73.6626,222,358.697,25,39,-14.0278,100.604,0.329435,1,3,88.1878,11.9
"Jan 1, 05:00 pm",0,-16.6,0,0,0,0,0,-16.6,0,0,1,0,0,11.9
"Jan 1, 06:00 pm",0,-18.8,0,0,0,0,0,-18.8,0,0,1,0,0,11.9
"Jan 1, 07:00 pm",0,-19,0,0,0,0,0,-19,0,0,1,0,0,11.9
"Jan 1, 08:00 pm",0,-19.2,0,0,0,0,0,-19.2,0,0,1,0,0,8
"Jan 1, 09:00 pm",0,-19.4,0,0,0,0,0,-19.4,0,0,1,0,0,8
"Jan 1, 10:00 pm",0,-19.7,0,0,0,0,0,-19.7,0,0,1,0,0,8
"Jan 1, 11:00 pm",0,-20.1,0,0,0,0,0,-20.1,0,0,1,0,0,4.9
"Jan 2, 12:00 am",0,-20.4,0,0,0,0,0,-20.4,0,0,1,0,0,4.9
"Jan 2, 01:00 am",0,-20.7,0,0,0,0,0,-20.7,0,0,1,0,0,4.9
