,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,7.5,0,0,0,0,0,7.5,0,0,1,0,0,5.9
"Jan 1, 01:00 am",0,6.6,0,0,0,0,0,6.6,0,0,1,0,0,5.9
"Jan 1, 02:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.3
"Jan 1, 03:00 am",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,5.3
"Jan 1, 04:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,5.3
"Jan 1, 05:00 am",0,3,0,0,0,0,0,3,0,0,1,0,0,6.1
"Jan 1, 06:00 am",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,6.1
"Jan 1, 07:00 am",106.949,2.8,75.4272,0,33,131.653,33,2.10715,34.5839,0.106949,1,2,34.5839,6.1
"Jan 1, 08:00 am",1213.15,3.3,63.9161,677,49,1264.98,217,8.71725,365.285,1.21315,1,1,341.886,5.6
"Jan 1, 09:00 am",2023.37,3.8,52.1336,840,60,2102.27,395,13.9057,594.233,2.02337,1,1,581.35,5.6
"Jan 1, 10:00 am",2546.97,5.4,42.1572,898,68,2646.68,525,18.7694,754.054,2.54697,1,1,748.152,5.6
"Jan 1, 11:00 am",2814.71,7,35.5824,912,74,2926.08,595,20.6282,837.336,2.81471,1,1,834.211,6.6
"Jan 1, 12:00 pm",2864.14,8.5,34.4317,929,72,2977.74,612,22.6036,859.548,2.86414,1,1,856.734,6.6
"Jan 1, 01:00 pm",2651.32,9.1,39.1878,911,69,2755.48,559,22.1728,795.712,2.65132,1,1,791.205,6.6
"Jan 1, 02:00 pm",2209.05,9.6,48.1242,865,63,2295.03,447,19.2065,659.658,2.20905,1,1,650.047,7.8
