,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,-2.9,0,0,0,0,0,-2.9,0,0,1,0,0,9.6
"Jan 1, 01:00 am",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,9.6
"Jan 1, 02:00 am",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,8.6
"Jan 1, 03:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,8.6
"Jan 1, 04:00 am",0,-4.4,0,0,0,0,0,-4.4,0,0,1,0,0,8.6
"Jan 1, 05:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,8.5
"Jan 1, 06:00 am",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,8.5
"Jan 1, 07:00 am",0,-5.6,78.195,21,15.5768,1,1,-6.57551,5.26604,0,1,2,3.94644,8.5
"Jan 1, 08:00 am",376.669,-5.8,71.3699,168,406.956,44,63,-5.17161,112.277,0.376669,1,1,103.7,6.5
"Jan 1, 09:00 am",1178.56,-5.9,60.6027,389,1229.37,108,206,-1.50236,328.998,1.17856,1,1,318.071,6.5
"Jan 1, 10:00 am",1315.07,-4.3,51.6694,314,1369.97,140,252,0.926244,362.726,1.31507,1,1,358.081,6.5
"Jan 1, 11:00 am",1938.84,-2.7,45.7347,514,2014.63,144,360,5.75989,542.213,1.93884,1,1,537.553,6.3
"Jan 1, 12:00 pm",2425.8,-1.1,44.0439,768,2520.46,101,436,10.1449,691.474,2.4258,1,1,685.478,6.3
"Jan 1, 01:00 pm",2424.69,-0.8,47.0595,876,2519.31,70,425,10.7038,695.75,2.4247,1,1,686.851,6.3
"Jan 1, 02:00 pm",1944.8,-0.4,53.9944,820,2020.81,64,335,13.4595,572.201,1.9448,1,1,557.71,3.2
"Jan 1, 03:00 pm",1271.74,0,63.5629,692,1325.33,53,202,8.99198,382.041,1.27174,1,1,358.626,3.2
"Jan 1, 04:00 pm",395.739,-0.1,74.1541,358,426.446,22,49,2.3154,132.492,0.395739,1,3,112.122,3.2
"Jan 1, 05:00 pm",0,-0.2,0,0,0,0,0,-0.2,0,0,1,0,0,3.6
"Jan 1, 06:00 pm",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,3.6
"Jan 1, 07:00 pm",0,-0.5,0,0,0,0,0,-0.5,0,0,1,0,0,3.6
"Jan 1, 08:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,2.5
"Jan 1, 09:00 pm",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,2.5
"Jan 1, 10:00 pm",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,2.5
"Jan 1, 11:00 pm",0,-0.8,0,0,0,0,0,-0.8,0,0,1,0,0,3.3
"Jan 2, 12:00 am",0,-0.8,0,0,0,0,0,-0.8,0,0,1,0,0,3.3
"Jan 2, 01:00 am",0,-0.9,0,0,0,0,0,-0.9,0,0,1,0,0,3.3
"Jan 2, 02:00 am",0,-1,0,0,0,0,0,-1,0,0,1,0,0,4
"Jan 2, 03:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,4
"Jan 2, 04:00 am",0,-1.6,0,0,0,0,0,-1.6,0,0,1,0,0,4
"Jan 2, 05:00 am",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,6.8
"Jan 2, 06:00 am",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,6.8
"Jan 2, 07:00 am",11.1262,-2.7,78.2389,55,34.0054,1,2,-3.57618,12.1805,0.0111262,1,2,8.72249,6.8
"Jan 2, 08:00 am",642.308,-2.8,71.4108,445,678.74,38,89,-0.700089,198.957,0.642308,1,1,176.199,6.5
"Jan 2, 09:00 am",1541.59,-2.9,60.6204,744,1603.65,57,246,3.55646,444.792,1.54159,1,1,423.869,6.5
"Jan 2, 10:00 am",2158.1,-1.8,51.6554,843,2242.11,66,368,7.83286,616.1,2.1581,1,1,603.644,6.5
"Jan 2, 11:00 am",2506.8,-0.7,45.6806,883,2604.82,70,441,10.0684,716.149,2.5068,1,1,708.182,7.2
