,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,10.6,0,0,0,0,0,10.6,0,0,1,0,0,6.2
"Jan 1, 01:00 am",0,9.9,0,0,0,0,0,9.9,0,0,1,0,0,6.2
"Jan 1, 02:00 am",0,9.2,0,0,0,0,0,9.2,0,0,1,0,0,4.5
"Jan 1, 03:00 am",0,8.5,0,0,0,0,0,8.5,0,0,1,0,0,4.5
"Jan 1, 04:00 am",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,4.5
"Jan 1, 05:00 am",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,2.9
"Jan 1, 06:00 am",0,6.3,80.0275,0,0,0,0,6.3,0,0,1,2,0,2.9
"Jan 1, 07:00 am",30.2532,6.2,73.9121,0,53.49,15,15,4.64078,14.204,0.0302532,1,1,14.204,2.9
"Jan 1, 08:00 am",392.927,6.1,61.8312,18,423.572,104,109,7.19953,114.272,0.392927,1,1,113.725,2.1
"Jan 1, 09:00 am",418.952,5.9,50.9939,0,450.174,123,123,7.54976,121.052,0.418952,1,1,121.052,2.1
"Jan 1, 10:00 am",276.599,6.6,42.49,0,304.738,86,86,7.18575,81.8145,0.276599,1,1,81.8145,2.1
"Jan 1, 11:00 am",340.549,7.2,37.9489,0,370.05,104,104,7.81929,99.6229,0.340549,1,1,99.6229,5.5
"Jan 1, 12:00 pm",394.235,7.8,38.796,0,424.909,119,119,8.73453,114.849,0.394235,1,1,114.849,5.5
"Jan 1, 01:00 pm",370.403,7.9,44.7255,0,400.553,112,112,8.73511,108.266,0.370403,1,1,108.266,5.5
"Jan 1, 02:00 pm",301.39,7.9,54.083,0,330.052,92,92,8.3298,89.0527,0.30139,1,1,89.0527,6.2
"Jan 1, 03:00 pm",238.915,8,65.3918,0,266.269,72,72,8.10621,71.7731,0.238915,1,1,71.7731,6.2
"Jan 1, 04:00 pm",63.9374,7.2,75.8747,45,87.8123,12,15,6.48713,26.2023,0.0639374,1,3,23.5042,6.2
"Jan 1, 05:00 pm",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,4.4
"Jan 1, 06:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,4.4
"Jan 1, 07:00 pm",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,4.4
"Jan 1, 08:00 pm",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,5.2
"Jan 1, 09:00 pm",0,2.9,0,0,0,0,0,2.9,0,0,1,0,0,5.2
"Jan 1, 10:00 pm",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,5.2
"Jan 1, 11:00 pm",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,6.2
"Jan 2, 12:00 am",0,1.3,0,0,0,0,0,1.3,0,0,1,0,0,6.2
"Jan 2, 01:00 am",0,0.8,0,0,0,0,0,0.8,0,0,1,0,0,6.2
"Jan 2, 02:00 am",0,0.3,0,0,0,0,0,0.3,0,0,1,0,0,5.2
"Jan 2, 03:00 am",0,-0.2,0,0,0,0,0,-0.2,0,0,1,0,0,5.2
"Jan 2, 04:00 am",0,-0.1,0,0,0,0,0,-0.1,0,0,1,0,0,5.2
"Jan 2, 05:00 am",0,0.1,0,0,0,0,0,0.1,0,0,1,0,0,7.2
"Jan 2, 06:00 am",0,0.2,80.0774,10,4.19465,0,0,-0.916122,1.72318,0,1,2,1.08793,7.2
"Jan 2, 07:00 am",450.762,0.9,73.9744,356,482.699,32,67,2.05265,146.902,0.450762,1,1,126.77,7.2
"Jan 2, 08:00 am",1401.44,1.7,61.8746,731,1459.01,54,246,10.179,419.141,1.40144,1,1,396.86,3.5
"Jan 2, 09:00 am",2099.06,2.5,51.0097,847,2180.8,64,400,16.3102,621.511,2.09906,1,1,609.615,3.5
"Jan 2, 10:00 am",2517,4.3,42.4662,899,2615.45,70,509,21.5755,754.999,2.517,1,1,748.919,3.5
"Jan 2, 11:00 am",2712.36,6.2,37.8761,920,2819.19,73,562,24.3526,821.76,2.71236,1,1,817.765,4
"Jan 2, 12:00 pm",2652.61,8.1,38.6815,916,2756.84,73,553,26.1022,810.6,2.65261,1,1,806.289,4
"Jan 2, 01:00 pm",2364.05,8.9,44.5901,888,2456.19,68,482,24.9488,721.746,2.36405,1,1,714.466,4
"Jan 2, 02:00 pm",1836.65,9.8,53.9429,817,1908.76,61,356,23.3114,565.37,1.83665,1,1,550.988,3.2
"Jan 2, 03:00 pm",1095.14,10.7,65.2543,670,1143.54,49,194,18.7354,348.249,1.09514,1,1,323.201,3.2
"Jan 2, 04:00 pm",175.046,10.3,75.8251,234,201.098,7,24,11.1091,68.9361,0.175046,1,3,54.9243,3.2
"Jan 2, 05:00 pm",0,10,0,0,0,0,0,10,0,0,1,0,0,1.8
"Jan 2, 06:00 pm",0,9.6,0,0,0,0,0,9.6,0,0,1,0,0,1.8
"Jan 2, 07:00 pm",0,8.8,0,0,0,0,0,8.8,0,0,1,0,0,1.8
"Jan 2, 08:00 pm",0,7.9,0,0,0,0,0,7.9,0,0,1,0,0,3.5
"Jan 2, 09:00 pm",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,3.5
"Jan 2, 10:00 pm",0,6.2,0,0,0,0,0,6.2,0,0,1,0,0,3.5
"Jan 2, 11:00 pm",0,5.4,0,0,0,0,0,5.4,0,0,1,0,0,5.6
"Jan 3, 12:00 am",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,5.6
"Jan 3, 01:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,5.6
"Jan 3, 02:00 am",0,3.2,0,0,0,0,0,3.2,0,0,1,0,0,6.4
"Jan 3, 03:00 am",0,2.5,0,0,0,0,0,2.5,0,0,1,0,0,6.4
"Jan 3, 04:00 am",0,2.3,0,0,0,0,0,2.3,0,0,1,0,0,6.4
"Jan 3, 05:00 am",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,7.4
"Jan 3, 06:00 am",0,1.8,80.1274,6,2.47974,0,0,0.740931,1.02874,0,1,2,0.647646,7.4
"Jan 3, 07:00 am",362.83,2.3,74.0327,232,392.815,36,59,2.97055,116.714,0.36283,1,1,103.568,7.4
"Jan 3, 08:00 am",1302.28,2.7,61.9131,660,1356.79,55,229,8.31656,386.225,1.30228,1,1,366.059,6.1
"Jan 3, 09:00 am",2014.46,3.2,51.0196,777,2093.03,72,380,12.6684,586.534,2.01446,1,1,575.613,6.1
"Jan 3, 10:00 am",2334.51,5.6,42.4356,741,2425.45,103,465,17.0627,685.312,2.33451,1,1,680.315,6.1
"Jan 3, 11:00 am",2386.81,8,37.796,648,2479.87,153,498,20.129,708.171,2.38681,1,1,705.379,6
"Jan 3, 12:00 pm",2564.39,10.4,38.5602,788,2664.84,119,533,23.7373,774.435,2.56439,1,1,770.77,6
"Jan 3, 01:00 pm",2115.18,11,44.4494,666,2197.54,123,435,21.993,635.864,2.11518,1,1,630.472,6
"Jan 3, 02:00 pm",1732.09,11.6,53.7989,650,1800.55,109,345,20.5529,524.471,1.73209,1,1,513.151,5.9
"Jan 3, 03:00 pm",854.206,12.1,65.1142,406,896.004,73,162,16.2961,265.507,0.854206,1,1,250.45,5.9
"Jan 3, 04:00 pm",143.922,11.6,75.7758,142,169.353,11,21,11.6793,54.8623,0.143922,1,3,46.3707,5.9
"Jan 3, 05:00 pm",0,11.1,0,0,0,0,0,11.1,0,0,1,0,0,4.8
"Jan 3, 06:00 pm",0,10.6,0,0,0,0,0,10.6,0,0,1,0,0,4.8
"Jan 3, 07:00 pm",0,10,0,0,0,0,0,10,0,0,1,0,0,4.8
"Jan 3, 08:00 pm",0,9.3,0,0,0,0,0,9.3,0,0,1,0,0,7.8
"Jan 3, 09:00 pm",0,8.7,0,0,0,0,0,8.7,0,0,1,0,0,7.8
"Jan 3, 10:00 pm",0,8.3,0,0,0,0,0,8.3,0,0,1,0,0,7.8
"Jan 3, 11:00 pm",0,8,0,0,0,0,0,8,0,0,1,0,0,7.6
"Jan 4, 12:00 am",0,7.6,0,0,0,0,0,7.6,0,0,1,0,0,7.6
"Jan 4, 01:00 am",0,7.3,0,0,0,0,0,7.3,0,0,1,0,0,7.6
"Jan 4, 02:00 am",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,8.3
"Jan 4, 03:00 am",0,6.8,0,0,0,0,0,6.8,0,0,1,0,0,8.3
"Jan 4, 04:00 am",0,7.2,0,0,0,0,0,7.2,0,0,1,0,0,8.3
"Jan 4, 05:00 am",0,7.6,0,0,0,0,0,7.6,0,0,1,0,0,7.1
"Jan 4, 06:00 am",0,8,80.1776,0,0,0,0,8,0,0,1,2,0,7.1
"Jan 4, 07:00 am",143.057,8.6,74.0869,0,168.47,42,42,8.18463,45.4269,0.143057,1,1,45.4269,7.1
"Jan 4, 08:00 am",329.463,9.3,61.9467,2,358.726,96,97,9.71154,97.4368,0.329463,1,1,97.3755,8.8
"Jan 4, 09:00 am",296.739,9.9,51.0237,0,325.304,92,92,10.2326,88.5054,0.296739,1,1,88.5054,8.8
"Jan 4, 10:00 am",273.41,12.1,42.3983,0,301.483,87,87,12.3629,82.7996,0.27341,1,1,82.7996,8.8
"Jan 4, 11:00 am",294.36,14.3,37.7087,0,322.873,94,94,14.7219,89.6122,0.29436,1,1,89.6122,7.3
"Jan 4, 12:00 pm",360.686,16.6,38.4321,0,390.624,114,114,17.3705,109.719,0.360686,1,1,109.719,7.3
"Jan 4, 01:00 pm",291.871,16.7,44.3034,0,320.332,94,94,17.1809,89.8981,0.291871,1,1,89.8981,7.3
"Jan 4, 02:00 pm",220.782,16.8,53.6512,0,247.762,73,73,16.9574,69.4616,0.220782,1,1,69.4616,6.3
"Jan 4, 03:00 pm",155.379,17,64.9717,0,181.037,53,53,16.8126,50.7216,0.155379,1,1,50.7216,6.3
"Jan 4, 04:00 pm",21.0913,16.6,75.727,0,44.1565,13,13,15.7239,12.3108,0.0210913,1,3,12.3108,6.3
"Jan 4, 05:00 pm",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,8.1
"Jan 4, 06:00 pm",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,8.1
"Jan 4, 07:00 pm",0,16,0,0,0,0,0,16,0,0,1,0,0,8.1
"Jan 4, 08:00 pm",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,10.3
"Jan 4, 09:00 pm",0,16.4,0,0,0,0,0,16.4,0,0,1,0,0,10.3
