,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 12, 11:00 pm",0,29.1,0,0,0,0,0,29.1,0,0,1,0,0,2.2
"Aug 13, 12:00 am",0,28.1,0,0,0,0,0,28.1,0,0,1,0,0,0.8
"Aug 13, 01:00 am",0,27.2,0,0,0,0,0,27.2,0,0,1,0,0,0.8
"Aug 13, 02:00 am",0,26.6,0,0,0,0,0,26.6,0,0,1,0,0,0.8
"Aug 13, 03:00 am",0,26,0,0,0,0,0,26,0,0,1,0,0,1.2
"Aug 13, 04:00 am",0,25.4,0,0,0,0,0,25.4,0,0,1,0,0,1.2
"Aug 13, 05:00 am",0,25.3,94.0265,0,3.35874,1,1,23.3785,0.969846,0,1,2,0.969846,1.2
"Aug 13, 06:00 am",73.9811,25.2,85.5779,0,98.0482,30,30,24.3855,28.4453,0.0739811,1,1,28.4453,2.6
"Aug 13, 07:00 am",317.611,25.1,71.4283,0,346.62,107,107,26.1873,101.416,0.317611,1,1,101.416,2.6
"Aug 13, 08:00 am",243.958,26.6,57.1054,0,271.416,84,84,27.3947,79.8683,0.243958,1,1,79.8683,2.6
"Aug 13, 09:00 am",881.622,28,42.6878,34,924.144,264,288,35.7607,283.441,0.881622,1,1,283.206,0.8
"Aug 13, 10:00 am",407.62,29.5,28.2137,0,438.59,139,139,33.4974,132.918,0.40762,1,1,132.918,0.8
"Aug 13, 11:00 am",428.953,30.6,13.7145,1,460.398,145,146,34.0782,139.925,0.428953,1,1,139.925,0.8
"Aug 13, 12:00 pm",2171.53,31.7,1.14944,301,2256.05,428,711,51.1646,748.446,2.17153,1,1,748.446,1.5
"Aug 13, 01:00 pm",1921.31,32.8,15.3771,271,1996.46,388,635,52.0401,665.507,1.92131,1,1,665.45,1.5
"Aug 13, 02:00 pm",909.626,33,29.8782,52,952.895,261,304,42.3805,302.005,0.909626,1,1,301.911,1.5
"Aug 13, 03:00 pm",1834.42,33.2,44.3519,507,1906.45,250,604,47.3478,623.858,1.83442,1,1,619.789,2.8
"Aug 13, 04:00 pm",1279.41,33.4,58.7677,539,1333.22,155,441,44.0918,439.541,1.27941,1,1,426.144,2.8
"Aug 13, 05:00 pm",584.578,32.5,73.0858,257,619.62,135,221,37.2864,205.4,0.584578,1,1,191.329,2.8
"Aug 13, 06:00 pm",116.484,31.7,87.2151,39,141.375,46,51,32.0237,43.958,0.116485,1,1,42.5378,2.9
"Aug 13, 07:00 pm",0,30.8,94.7853,3,0,0,0,30.8,0,0,1,3,0,2.9
"Aug 13, 08:00 pm",0,29.6,0,0,0,0,0,29.6,0,0,1,0,0,2.9
"Aug 13, 09:00 pm",0,28.5,0,0,0,0,0,28.5,0,0,1,0,0,2.5
"Aug 13, 10:00 pm",0,27.3,0,0,0,0,0,27.3,0,0,1,0,0,2.5
"Aug 13, 11:00 pm",0,26.8,0,0,0,0,0,26.8,0,0,1,0,0,2.5
"Aug 14, 12:00 am",0,26.3,0,0,0,0,0,26.3,0,0,1,0,0,2.1
"Aug 14, 01:00 am",0,25.8,0,0,0,0,0,25.8,0,0,1,0,0,2.1
"Aug 14, 02:00 am",0,25.4,0,0,0,0,0,25.4,0,0,1,0,0,2.1
"Aug 14, 03:00 am",0,25.1,0,0,0,0,0,25.1,0,0,1,0,0,0.9
"Aug 14, 04:00 am",0,24.8,0,0,0,0,0,24.8,0,0,1,0,0,0.9
"Aug 14, 05:00 am",0,24.7,93.978,18,6.74127,2,2,22.6193,1.93969,0,1,2,1.93969,0.9
"Aug 14, 06:00 am",170.046,24.7,85.6054,139,195.998,59,80,24.7194,63.7324,0.170046,1,1,56.9511,1.3
"Aug 14, 07:00 am",545.274,24.6,71.4395,98,579.387,151,186,28.2804,176.232,0.545274,1,1,171.214,1.3
"Aug 14, 08:00 am",1261.08,25.8,57.1019,318,1314.34,239,414,36.8178,411.945,1.26108,1,1,404.901,1.3
"Aug 14, 09:00 am",1263.71,26.9,42.6709,119,1317.05,322,407,38.3121,409.598,1.26371,1,1,408.778,1.5
"Aug 14, 10:00 am",2049.76,28.1,28.1833,361,2129.64,361,664,47.0422,691.767,2.04976,1,1,691.238,1.5
"Aug 14, 11:00 am",1360.52,29,13.6663,71,1416.81,381,446,42.4407,449.045,1.36052,1,1,449.035,1.5
"Aug 14, 12:00 pm",2638.59,29.8,1.00259,559,2742.2,322,847,50.7301,907.613,2.63859,1,1,907.613,2.8
"Aug 14, 01:00 pm",2459.09,30.7,15.4186,576,2555.12,268,791,51.3321,848.545,2.45909,1,1,848.422,2.8
"Aug 14, 02:00 pm",1647.81,31,29.9363,193,1713.4,378,537,44.7551,549.895,1.64781,1,1,549.544,2.8
"Aug 14, 03:00 pm",1396.81,31.2,44.4231,194,1454.24,320,455,40.7402,458.486,1.39681,1,1,456.919,4.2
"Aug 14, 04:00 pm",1360,31.4,58.8519,513,1416.28,188,459,40.7593,457.86,1.36,1,1,445.036,4.2
"Aug 14, 05:00 pm",570.936,30.7,73.1841,230,605.654,135,212,34.6319,197.212,0.570936,1,1,184.573,4.2
"Aug 14, 06:00 pm",123.372,30,87.3278,49,148.398,49,55,30.2614,46.0037,0.123372,1,1,44.2716,3.4
"Aug 14, 07:00 pm",0,29.3,94.7715,3,0,0,0,29.3,0,0,1,3,0,3.4
"Aug 14, 08:00 pm",0,28.6,0,0,0,0,0,28.6,0,0,1,0,0,3.4
"Aug 14, 09:00 pm",0,27.9,0,0,0,0,0,27.9,0,0,1,0,0,2.1
"Aug 14, 10:00 pm",0,27.2,0,0,0,0,0,27.2,0,0,1,0,0,2.1
"Aug 14, 11:00 pm",0,26.7,0,0,0,0,0,26.7,0,0,1,0,0,2.1
"Aug 15, 12:00 am",0,26.1,0,0,0,0,0,26.1,0,0,1,0,0,0.6
"Aug 15, 01:00 am",0,25.6,0,0,0,0,0,25.6,0,0,1,0,0,0.6
"Aug 15, 02:00 am",0,25.1,0,0,0,0,0,25.1,0,0,1,0,0,0.6
"Aug 15, 03:00 am",0,24.6,0,0,0,0,0,24.6,0,0,1,0,0,0.3
"Aug 15, 04:00 am",0,24.2,0,0,0,0,0,24.2,0,0,1,0,0,0.3
"Aug 15, 05:00 am",0,24.2,93.9278,7,3.38867,1,1,21.468,0.969846,0,1,2,0.969846,0.3
"Aug 15, 06:00 am",164.725,24.2,85.6315,60,190.57,59,68,24.002,58.1056,0.164725,1,1,55.1882,1.1
"Aug 15, 07:00 am",735.665,24.3,71.4496,430,774.41,117,270,30.477,253.299,0.735665,1,1,231.271,1.1
"Aug 15, 08:00 am",1327.77,25.7,57.0977,388,1383.06,226,439,38.2355,437.689,1.32777,1,1,429.098,1.1
"Aug 15, 09:00 am",838.649,27,42.6538,27,880.039,253,272,34.0384,267.596,0.838649,1,1,267.41,1.9
"Aug 15, 10:00 am",1747.86,28.4,28.1539,219,1816.87,379,562,42.9312,577.594,1.74786,1,1,577.275,1.9
