,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,7,0,0,0,0,0,7,0,0,1,0,0,7.5
"Jan 1, 01:00 am",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,7.5
"Jan 1, 02:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,7.5
"Jan 1, 03:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,6.8
"Jan 1, 04:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,6.8
"Jan 1, 05:00 am",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,6.8
"Jan 1, 06:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,4.7
"Jan 1, 07:00 am",67.6546,3.5,75.8325,41,91.6004,13,16,2.50868,26.5591,0.0676546,1,2,24.1035,4.7
"Jan 1, 08:00 am",641.409,4.8,65.7856,199,677.82,88,128,7.20508,189.661,0.641409,1,1,181.993,4.7
"Jan 1, 09:00 am",761.549,6.2,54.9123,86,800.95,156,185,10.0823,219.398,0.761549,1,1,217.771,3.5
"Jan 1, 10:00 am",1335.94,7.5,46.1363,222,1391.47,208,305,15.4133,389.482,1.33594,1,1,387.399,3.5
"Jan 1, 11:00 am",2355.23,9.6,40.8682,654,2447.01,179,499,25.3395,716.913,2.35523,1,1,713.106,3.5
"Jan 1, 12:00 pm",2405.59,11.6,40.5107,749,2499.42,134,503,29.0096,745.396,2.40559,1,1,741.182,3.3
"Jan 1, 01:00 pm",2007.69,13.6,45.1812,623,2086.01,143,421,28.2246,621.654,2.00769,1,1,616.273,3.3
"Jan 1, 02:00 pm",1680.19,13.9,53.5746,647,1746.87,105,334,25.9492,521.614,1.68019,1,1,510.535,3.3
"Jan 1, 03:00 pm",1007.25,14.2,64.2299,488,1053.18,80,188,19.6946,316.157,1.00725,1,1,298.972,5.3
"Jan 1, 04:00 pm",196.101,14.5,75.0124,207,222.578,11,27,15.0831,73.9853,0.196102,1,3,61.8759,5.3
"Jan 1, 05:00 pm",0,13.7,0,0,0,0,0,13.7,0,0,1,0,0,5.3
"Jan 1, 06:00 pm",0,12.9,0,0,0,0,0,12.9,0,0,1,0,0,4.1
"Jan 1, 07:00 pm",0,12.1,0,0,0,0,0,12.1,0,0,1,0,0,4.1
"Jan 1, 08:00 pm",0,11.5,0,0,0,0,0,11.5,0,0,1,0,0,4.1
"Jan 1, 09:00 pm",0,10.9,0,0,0,0,0,10.9,0,0,1,0,0,5.2
"Jan 1, 10:00 pm",0,10.3,0,0,0,0,0,10.3,0,0,1,0,0,5.2
"Jan 1, 11:00 pm",0,9.1,0,0,0,0,0,9.1,0,0,1,0,0,5.2
"Jan 2, 12:00 am",0,7.9,0,0,0,0,0,7.9,0,0,1,0,0,4.4
"Jan 2, 01:00 am",0,6.8,0,0,0,0,0,6.8,0,0,1,0,0,4.4
"Jan 2, 02:00 am",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,4.4
"Jan 2, 03:00 am",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,5.3
"Jan 2, 04:00 am",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,5.3
"Jan 2, 05:00 am",0,4.9,0,0,0,0,0,4.9,0,0,1,0,0,5.3
"Jan 2, 06:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,6.2
"Jan 2, 07:00 am",76.1426,3.8,75.8778,54,100.251,13,16,3.12908,29.6876,0.0761426,1,2,26.4496,6.2
"Jan 2, 08:00 am",856.625,5.4,65.8296,378,898.486,79,156,8.63229,257.346,0.856625,1,1,242.744,6.2
"Jan 2, 09:00 am",1422.18,7,54.9309,446,1480.4,129,281,13.6448,417.355,1.42218,1,1,408.906,5.7
"Jan 2, 10:00 am",1659.19,8.5,46.119,353,1725.15,205,360,16.6324,486.255,1.65919,1,1,482.947,5.7
"Jan 2, 11:00 am",933.509,10.7,40.8057,53,977.42,216,242,15.049,271.985,0.933509,1,1,271.678,5.7
"Jan 2, 12:00 pm",1969.15,12.9,40.4058,442,2046.05,219,437,23.7454,594.278,1.96915,1,1,591.816,4.9
"Jan 2, 01:00 pm",1286.88,15.1,45.0511,193,1340.92,221,308,22.418,387.114,1.28688,1,1,385.466,4.9
"Jan 2, 02:00 pm",1126.65,15.3,53.4358,281,1175.95,147,247,21.3634,341.159,1.12665,1,1,336.398,4.9
"Jan 2, 03:00 pm",505.125,15.6,64.0913,95,538.303,98,119,17.6609,154.717,0.505125,1,1,151.399,5.7
"Jan 2, 04:00 pm",71.0759,15.8,74.9612,41,95.0872,14,17,15.3063,28.8552,0.0710759,1,3,26.4604,5.7
"Jan 2, 05:00 pm",0,14.5,0,0,0,0,0,14.5,0,0,1,0,0,5.7
"Jan 2, 06:00 pm",0,13.1,0,0,0,0,0,13.1,0,0,1,0,0,7.5
"Jan 2, 07:00 pm",0,11.8,0,0,0,0,0,11.8,0,0,1,0,0,7.5
"Jan 2, 08:00 pm",0,11.3,0,0,0,0,0,11.3,0,0,1,0,0,7.5
"Jan 2, 09:00 pm",0,10.8,0,0,0,0,0,10.8,0,0,1,0,0,7
"Jan 2, 10:00 pm",0,10.2,0,0,0,0,0,10.2,0,0,1,0,0,7
"Jan 2, 11:00 pm",0,9.6,0,0,0,0,0,9.6,0,0,1,0,0,7
"Jan 3, 12:00 am",0,8.9,0,0,0,0,0,8.9,0,0,1,0,0,6.7
"Jan 3, 01:00 am",0,8.3,0,0,0,0,0,8.3,0,0,1,0,0,6.7
"Jan 3, 02:00 am",0,8,0,0,0,0,0,8,0,0,1,0,0,6.7
"Jan 3, 03:00 am",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,8.9
"Jan 3, 04:00 am",0,7.5,0,0,0,0,0,7.5,0,0,1,0,0,8.9
"Jan 3, 05:00 am",0,7.2,0,0,0,0,0,7.2,0,0,1,0,0,8.9
"Jan 3, 06:00 am",0,6.9,0,0,0,0,0,6.9,0,0,1,0,0,6.6
"Jan 3, 07:00 am",0,6.7,75.9223,0,17.7264,5,5,5.60169,4.72663,0,1,2,4.72663,6.6
"Jan 3, 08:00 am",168.229,8.5,65.8687,0,194.144,54,54,8.18178,52.3489,0.168229,1,1,52.3489,6.6
"Jan 3, 09:00 am",284.643,10.4,54.9436,0,312.951,88,88,10.6595,85.3047,0.284643,1,1,85.3047,8.6
"Jan 3, 10:00 am",1720.35,12.3,46.0951,394,1788.4,200,373,18.5978,508.827,1.72035,1,1,505.142,8.6
"Jan 3, 11:00 am",1987.75,13.8,40.7359,452,2065.33,206,428,21.6713,594.259,1.98775,1,1,591.66,8.6
"Jan 3, 12:00 pm",946.554,15.4,40.2938,58,990.819,220,249,18.8857,280.549,0.946554,1,1,280.229,8.7
"Jan 3, 01:00 pm",1349.34,16.9,44.915,216,1405.29,222,319,21.8974,404.82,1.34934,1,1,402.998,8.7
"Jan 3, 02:00 pm",340.386,16.7,53.2925,0,369.884,106,106,17.5627,103.984,0.340386,1,1,103.984,8.7
"Jan 3, 03:00 pm",619.11,16.4,63.9497,109,654.98,119,144,18.2321,188.469,0.61911,1,1,184.694,8.5
"Jan 3, 04:00 pm",90.2393,16.2,74.9102,48,114.619,17,21,15.9061,34.7811,0.0902393,1,3,31.982,8.5
"Jan 3, 05:00 pm",0,14.6,0,0,0,0,0,14.6,0,0,1,0,0,8.5
"Jan 3, 06:00 pm",0,13,0,0,0,0,0,13,0,0,1,0,0,6.1
"Jan 3, 07:00 pm",0,11.4,0,0,0,0,0,11.4,0,0,1,0,0,6.1
"Jan 3, 08:00 pm",0,10.5,0,0,0,0,0,10.5,0,0,1,0,0,6.1
"Jan 3, 09:00 pm",0,9.7,0,0,0,0,0,9.7,0,0,1,0,0,10
"Jan 3, 10:00 pm",0,8.9,0,0,0,0,0,8.9,0,0,1,0,0,10
"Jan 3, 11:00 pm",0,9.1,0,0,0,0,0,9.1,0,0,1,0,0,10
"Jan 4, 12:00 am",0,9.2,0,0,0,0,0,9.2,0,0,1,0,0,12.2
"Jan 4, 01:00 am",0,9.4,0,0,0,0,0,9.4,0,0,1,0,0,12.2
"Jan 4, 02:00 am",0,9.8,0,0,0,0,0,9.8,0,0,1,0,0,12.2
"Jan 4, 03:00 am",0,10.2,0,0,0,0,0,10.2,0,0,1,0,0,12.4
"Jan 4, 04:00 am",0,10.6,0,0,0,0,0,10.6,0,0,1,0,0,12.4
