,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,22.5,0,0,0,0,0,22.5,0,0,1,0,0,2.3
"Jan 1, 01:00 am",0,21.9,0,0,0,0,0,21.9,0,0,1,0,0,2.3
"Jan 1, 02:00 am",0,21.5,0,0,0,0,0,21.5,0,0,1,0,0,2.3
"Jan 1, 03:00 am",0,21.2,0,0,0,0,0,21.2,0,0,1,0,0,1.6
"Jan 1, 04:00 am",0,20.8,0,0,0,0,0,20.8,0,0,1,0,0,1.6
"Jan 1, 05:00 am",0,20.4,0,0,0,0,0,20.4,0,0,1,0,0,1.6
"Jan 1, 06:00 am",0,20,0,0,0,0,0,20,0,0,1,0,0,2.4
"Jan 1, 07:00 am",0.801769,19.7,76.8509,0,23.4893,7,7,18.1226,6.62029,0.000801769,1,2,6.62029,2.4
"Jan 1, 08:00 am",214.674,20.4,66.2166,0,241.529,70,70,20.4814,68.8123,0.214674,1,1,68.8123,2.4
"Jan 1, 09:00 am",456.687,21.1,53.7152,2,488.757,141,142,23.1521,141.016,0.456687,1,1,140.981,2.8
"Jan 1, 10:00 am",272.938,21.8,42.5411,0,301,91,91,22.7259,86.6509,0.272938,1,1,86.6509,2.8
"Jan 1, 11:00 am",380.545,21,34.0908,0,410.917,123,123,22.5375,118.19,0.380545,1,1,118.19,2.8
"Jan 1, 12:00 pm",351.61,20.2,30.7286,0,381.35,114,114,21.4914,109.155,0.35161,1,1,109.155,3.4
"Jan 1, 01:00 pm",413.948,19.5,34.0056,0,445.058,132,132,21.1763,127.205,0.413948,1,1,127.205,3.4
"Jan 1, 02:00 pm",322.472,20.2,42.4051,0,351.584,105,105,21.3133,100.552,0.322472,1,1,100.552,3.4
"Jan 1, 03:00 pm",388.951,21,53.555,0,419.508,123,123,22.325,120.542,0.388951,1,1,120.542,4.7
"Jan 1, 04:00 pm",434.378,21.8,66.0458,93,465.946,90,111,23.5349,138.278,0.434379,1,1,134.642,4.7
"Jan 1, 05:00 pm",70.7551,20.6,76.7618,85,94.7603,7,13,20.189,32.1687,0.0707551,1,3,26.9612,4.7
"Jan 1, 06:00 pm",0,19.5,0,0,0,0,0,19.5,0,0,1,0,0,5.5
"Jan 1, 07:00 pm",0,18.4,0,0,0,0,0,18.4,0,0,1,0,0,5.5
"Jan 1, 08:00 pm",0,16.7,0,0,0,0,0,16.7,0,0,1,0,0,5.5
"Jan 1, 09:00 pm",0,15,0,0,0,0,0,15,0,0,1,0,0,4.4
"Jan 1, 10:00 pm",0,13.2,0,0,0,0,0,13.2,0,0,1,0,0,4.4
"Jan 1, 11:00 pm",0,11.7,0,0,0,0,0,11.7,0,0,1,0,0,4.4
"Jan 2, 12:00 am",0,10.2,0,0,0,0,0,10.2,0,0,1,0,0,6
"Jan 2, 01:00 am",0,8.6,0,0,0,0,0,8.6,0,0,1,0,0,6
"Jan 2, 02:00 am",0,7.5,0,0,0,0,0,7.5,0,0,1,0,0,6
"Jan 2, 03:00 am",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,4.3
"Jan 2, 04:00 am",0,5.2,0,0,0,0,0,5.2,0,0,1,0,0,4.3
"Jan 2, 05:00 am",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,4.3
"Jan 2, 06:00 am",0,3,0,0,0,0,0,3,0,0,1,0,0,6
"Jan 2, 07:00 am",118.12,1.9,76.9062,178,143.043,5,17,1.48229,48.4156,0.11812,1,2,37.4764,6
"Jan 2, 08:00 am",957.819,3,66.2881,532,1002.39,56,176,6.88177,289.847,0.957819,1,1,268.763,6
"Jan 2, 09:00 am",1840.86,4.1,53.7667,757,1913.12,67,365,11.5944,536.789,1.84086,1,1,523.638,7.4
"Jan 2, 10:00 am",2500.68,5.2,42.5617,871,2598.44,70,525,15.9687,731.185,2.50068,1,1,725.242,7.4
"Jan 2, 11:00 am",2900.28,5.9,34.0634,921,3015.51,72,628,18.7938,855.189,2.90028,1,1,852.508,7.4
"Jan 2, 12:00 pm",3002.44,6.6,30.6416,932,3122.39,72,661,21.1443,894.141,3.00244,1,1,892.301,6.7
"Jan 2, 01:00 pm",2874.54,7.4,33.8785,922,2988.61,72,629,21.3934,857.682,2.87454,1,1,855.053,6.7
"Jan 2, 02:00 pm",2484.16,7.4,42.2662,877,2581.23,69,529,19.3716,737.486,2.48416,1,1,731.664,6.7
"Jan 2, 03:00 pm",1880.95,7.5,53.4177,818,1954.64,58,382,17.3528,562.821,1.88095,1,1,548.979,5.8
"Jan 2, 04:00 pm",1068.65,7.6,65.9145,662,1116.3,46,197,13.0829,333.26,1.06865,1,1,307.565,5.8
"Jan 2, 05:00 pm",126.305,6.4,76.715,230,151.388,1,17,6.52771,54.6047,0.126305,1,3,40.5283,5.8
"Jan 2, 06:00 pm",0,5.1,0,0,0,0,0,5.1,0,0,1,0,0,4.5
"Jan 2, 07:00 pm",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,4.5
"Jan 2, 08:00 pm",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,4.5
"Jan 2, 09:00 pm",0,1.6,0,0,0,0,0,1.6,0,0,1,0,0,3.2
"Jan 2, 10:00 pm",0,0.4,0,0,0,0,0,0.4,0,0,1,0,0,3.2
"Jan 2, 11:00 pm",0,-0.4,0,0,0,0,0,-0.4,0,0,1,0,0,3.2
"Jan 3, 12:00 am",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,4.7
"Jan 3, 01:00 am",0,-1.9,0,0,0,0,0,-1.9,0,0,1,0,0,4.7
"Jan 3, 02:00 am",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,4.7
"Jan 3, 03:00 am",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,5.1
"Jan 3, 04:00 am",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,5.1
"Jan 3, 05:00 am",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,5.1
"Jan 3, 06:00 am",0,-3,0,0,0,0,0,-3,0,0,1,0,0,7.7
"Jan 3, 07:00 am",127.31,-3.3,76.9613,189,152.413,5,17,-3.60729,50.718,0.12731,1,2,39.0894,7.7
"Jan 3, 08:00 am",1007.26,-1.4,66.356,568,1053.19,52,180,2.04767,299.189,1.00726,1,1,276.593,7.7
"Jan 3, 09:00 am",1890.83,0.5,53.8137,793,1964.88,64,376,12.6303,554.103,1.89083,1,1,540.278,3.4
"Jan 3, 10:00 am",2467.1,2.3,42.5766,872,2563.46,70,526,19.1175,731.74,2.4671,1,1,725.782,3.4
"Jan 3, 11:00 am",2826.57,4.4,34.0292,922,2938.47,71,628,24.3727,855.118,2.82657,1,1,852.444,3.4
"Jan 3, 12:00 pm",3025.71,6.4,30.5476,933,3146.75,71,662,19.5646,894.574,3.02571,1,1,892.752,7.8
"Jan 3, 01:00 pm",2881.58,8.4,33.7452,923,2995.96,71,631,21.0773,858.5,2.88158,1,1,855.906,7.8
"Jan 3, 02:00 pm",2504.64,9,42.1231,889,2602.57,67,535,19.9503,745.496,2.50464,1,1,739.672,7.8
"Jan 3, 03:00 pm",1765.15,9.5,53.2779,642,1834.75,115,371,18.4592,528.655,1.76515,1,1,517.906,6.1
"Jan 3, 04:00 pm",756.067,10,65.7819,309,795.328,84,155,13.49,231.432,0.756067,1,1,219.528,6.1
"Jan 3, 05:00 pm",99.8625,9.3,76.6691,133,124.429,6,15,9.07747,41.8139,0.0998625,1,3,33.6824,6.1
"Jan 3, 06:00 pm",0,8.5,0,0,0,0,0,8.5,0,0,1,0,0,6.6
"Jan 3, 07:00 pm",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,6.6
"Jan 3, 08:00 pm",0,7.4,0,0,0,0,0,7.4,0,0,1,0,0,6.6
"Jan 3, 09:00 pm",0,6.9,0,0,0,0,0,6.9,0,0,1,0,0,5.4
"Jan 3, 10:00 pm",0,6.5,0,0,0,0,0,6.5,0,0,1,0,0,5.4
"Jan 3, 11:00 pm",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,5.4
"Jan 4, 12:00 am",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,4.4
"Jan 4, 01:00 am",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,4.4
"Jan 4, 02:00 am",0,5.4,0,0,0,0,0,5.4,0,0,1,0,0,4.4
"Jan 4, 03:00 am",0,4.9,0,0,0,0,0,4.9,0,0,1,0,0,4.4
"Jan 4, 04:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,4.4
"Jan 4, 05:00 am",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,4.4
"Jan 4, 06:00 am",0,4.8,0,0,0,0,0,4.8,0,0,1,0,0,5.6
"Jan 4, 07:00 am",94.6005,5,77.0162,107,119.065,8,15,4.40401,38.1758,0.0946006,1,2,31.5849,5.6
"Jan 4, 08:00 am",759.075,6.5,66.4202,323,798.412,80,152,9.43744,229.363,0.759075,1,1,216.468,5.6
"Jan 4, 09:00 am",1785.68,8.1,53.8561,673,1856,111,376,19.1187,537.256,1.78568,1,1,525.485,3.8
"Jan 4, 10:00 am",2380.42,9.6,42.586,751,2473.22,137,530,25.4365,726.208,2.38042,1,1,721.073,3.8
"Jan 4, 11:00 am",2047.55,11.2,33.9883,398,2127.35,255,496,25.0929,620.38,2.04755,1,1,619.231,3.8
"Jan 4, 12:00 pm",2682.65,12.8,30.4463,680,2788.18,187,618,26.3823,817.847,2.68265,1,1,816.535,6.3
"Jan 4, 01:00 pm",2266.07,14.4,33.606,509,2354.29,223,532,26.0525,689.803,2.26607,1,1,688.394,6.3
"Jan 4, 02:00 pm",2235.64,14.8,41.9759,568,2322.66,221,521,26.1872,683.248,2.23564,1,1,679.577,6.3
"Jan 4, 03:00 pm",321.603,15.2,53.1355,0,350.697,102,102,17.4261,98.5293,0.321603,1,1,98.5293,3.7
"Jan 4, 04:00 pm",609.865,15.6,65.6479,202,645.512,91,138,18.5724,190.03,0.609865,1,1,182.307,3.7
"Jan 4, 05:00 pm",37.4576,15.1,76.6241,26,60.8301,10,12,14.3614,18.4439,0.0374577,1,3,16.8559,3.7
"Jan 4, 06:00 pm",0,14.7,0,0,0,0,0,14.7,0,0,1,0,0,4.6
"Jan 4, 07:00 pm",0,14.2,0,0,0,0,0,14.2,0,0,1,0,0,4.6
"Jan 4, 08:00 pm",0,14,0,0,0,0,0,14,0,0,1,0,0,4.6
"Jan 4, 09:00 pm",0,13.8,0,0,0,0,0,13.8,0,0,1,0,0,3.3
"Jan 4, 10:00 pm",0,13.6,0,0,0,0,0,13.6,0,0,1,0,0,3.3
"Jan 4, 11:00 pm",0,13.3,0,0,0,0,0,13.3,0,0,1,0,0,3.3
"Jan 5, 12:00 am",0,13.1,0,0,0,0,0,13.1,0,0,1,0,0,4
"Jan 5, 01:00 am",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,4
"Jan 5, 02:00 am",0,12.2,0,0,0,0,0,12.2,0,0,1,0,0,4
"Jan 5, 03:00 am",0,11.6,0,0,0,0,0,11.6,0,0,1,0,0,3.7
"Jan 5, 04:00 am",0,11,0,0,0,0,0,11,0,0,1,0,0,3.7
"Jan 5, 05:00 am",0,10.9,0,0,0,0,0,10.9,0,0,1,0,0,3.7
"Jan 5, 06:00 am",0,10.7,0,0,0,0,0,10.7,0,0,1,0,0,4.6
"Jan 5, 07:00 am",100.644,10.6,77.0709,151,125.226,6,16,10.0417,43.3531,0.100644,1,2,34.0416,4.6
"Jan 5, 08:00 am",844.65,12.1,66.4808,458,886.197,63,166,16.1999,265.947,0.84465,1,1,247.601,4.6
"Jan 5, 09:00 am",1560.85,13.6,53.8939,581,1623.54,110,338,24.4432,481.334,1.56085,1,1,471.143,2.8
"Jan 5, 10:00 am",2293.39,15,42.5898,743,2382.69,139,528,32.1306,722.373,2.29339,1,1,717.291,2.8
"Jan 5, 11:00 am",1789.35,16.4,33.9407,272,1859.79,290,455,30.1732,555.379,1.78935,1,1,554.598,2.8
"Jan 5, 12:00 pm",2406.89,17.7,30.338,588,2500.77,208,582,33.1676,757.775,2.40689,1,1,756.655,4.4
"Jan 5, 01:00 pm",1938.39,19,33.4608,361,2014.16,268,488,31.7203,606.125,1.93839,1,1,605.142,4.4
"Jan 5, 02:00 pm",995.428,19.4,41.8247,64,1041.03,243,277,25.564,304.104,0.995428,1,1,303.697,4.4
"Jan 5, 03:00 pm",803.518,19.7,52.9908,90,843.994,182,218,24.8242,246.835,0.803518,1,1,245.36,3
"Jan 5, 04:00 pm",642.114,20,65.5127,245,678.542,89,147,24.0016,205.798,0.642114,1,1,196.502,3
"Jan 5, 05:00 pm",102.325,19.5,76.5802,135,126.939,7,17,19.4951,44.2391,0.102325,1,3,36.002,3
"Jan 5, 06:00 pm",0,18.9,0,0,0,0,0,18.9,0,0,1,0,0,2.8
"Jan 5, 07:00 pm",0,18.3,0,0,0,0,0,18.3,0,0,1,0,0,2.8
"Jan 5, 08:00 pm",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,2.8
"Jan 5, 09:00 pm",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,2.4
"Jan 5, 10:00 pm",0,16.5,0,0,0,0,0,16.5,0,0,1,0,0,2.4
"Jan 5, 11:00 pm",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,2.4
"Jan 6, 12:00 am",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,2.3
"Jan 6, 01:00 am",0,15.4,0,0,0,0,0,15.4,0,0,1,0,0,2.3
"Jan 6, 02:00 am",0,15,0,0,0,0,0,15,0,0,1,0,0,2.3
