,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-3.9,0,0,0,0,0,-3.9,0,0,1,0,0,10.1
"Jan 1, 01:00 am",0,-4.1,0,0,0,0,0,-4.1,0,0,1,0,0,10.1
"Jan 1, 02:00 am",0,-4.3,0,0,0,0,0,-4.3,0,0,1,0,0,8.5
"Jan 1, 03:00 am",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,8.5
"Jan 1, 04:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,8.5
"Jan 1, 05:00 am",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,9.7
"Jan 1, 06:00 am",0,-5.4,0,0,0,0,0,-5.4,0,0,1,0,0,9.7
"Jan 1, 07:00 am",80.8597,-5.6,76.9614,133,3,105.059,9,-6.10587,34.8515,0.0808597,1,2,26.6684,9.7
"Jan 1, 08:00 am",881.793,-5.9,68.2841,513,49,924.319,134,-3.5376,259.747,0.881793,1,1,237.129,10.1
"Jan 1, 09:00 am",1738.55,-6.1,57.3759,699,79,1807.23,291,-0.754683,484.825,1.73855,1,1,469.043,10.1
"Jan 1, 10:00 am",1861.8,-6.1,48.4212,494,144,1934.81,344,-0.307731,508.723,1.8618,1,1,503.097,10.1
"Jan 1, 11:00 am",2587.16,-6.2,42.7154,758,111,2688.57,463,0.563121,706.907,2.58716,1,1,701.661,13.5
"Jan 1, 12:00 pm",2484.69,-6.2,41.6289,621,170,2581.78,464,0.337947,677.038,2.48469,1,1,673.153,13.5
"Jan 1, 01:00 pm",833.346,-6.1,45.4956,45,180,874.597,200,-4.25844,224.104,0.833346,1,1,223.704,13.5
"Jan 1, 02:00 pm",990.754,-6,53.2421,156,154,1036.23,209,-3.70784,268.256,0.990754,1,1,265.651,12
"Jan 1, 03:00 pm",1171.24,-5.9,63.4469,474,92,1221.84,199,-2.89089,330.224,1.17124,1,1,314.298,12
"Jan 1, 04:00 pm",180.339,-6.1,74.428,82,26,206.497,33,-6.11721,57.124,0.180339,1,3,52.4152,12
"Jan 1, 05:00 pm",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,10.2
"Jan 1, 06:00 pm",0,-6.6,0,0,0,0,0,-6.6,0,0,1,0,0,10.2
"Jan 1, 07:00 pm",0,-6.9,0,0,0,0,0,-6.9,0,0,1,0,0,10.2
"Jan 1, 08:00 pm",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,11.4
"Jan 1, 09:00 pm",0,-7.4,0,0,0,0,0,-7.4,0,0,1,0,0,11.4
"Jan 1, 10:00 pm",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,11.4
"Jan 1, 11:00 pm",0,-8.8,0,0,0,0,0,-8.8,0,0,1,0,0,11.4
"Jan 2, 12:00 am",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,11.4
"Jan 2, 01:00 am",0,-9.8,0,0,0,0,0,-9.8,0,0,1,0,0,11.4
"Jan 2, 02:00 am",0,-10.2,0,0,0,0,0,-10.2,0,0,1,0,0,10.9
"Jan 2, 03:00 am",0,-10.6,0,0,0,0,0,-10.6,0,0,1,0,0,10.9
"Jan 2, 04:00 am",0,-10.8,0,0,0,0,0,-10.8,0,0,1,0,0,10.9
"Jan 2, 05:00 am",0,-11,0,0,0,0,0,-11,0,0,1,0,0,7.8
"Jan 2, 06:00 am",0,-11.3,0,0,0,0,0,-11.3,0,0,1,0,0,7.8
"Jan 2, 07:00 am",82.7338,-11.1,77.0065,133,3,106.969,9,-11.6401,34.7415,0.0827339,1,2,26.5508,7.8
"Jan 2, 08:00 am",900.205,-11,68.3287,515,49,943.222,134,-8.29384,260.059,0.900205,1,1,237.301,8.2
"Jan 2, 09:00 am",1804.17,-10.8,57.3963,764,61,1875.14,293,-4.48676,496.445,1.80417,1,1,479.17,8.2
"Jan 2, 10:00 am",2440.96,-10.1,48.408,856,71,2536.24,419,-1.11319,666.999,2.44096,1,1,657.261,8.2
"Jan 2, 11:00 am",2757.18,-9.4,42.6592,891,75,2865.98,489,2.39772,759.925,2.75718,1,1,753.791,6.9
"Jan 2, 12:00 pm",2809.35,-8.6,41.5303,897,76,2920.47,503,3.58875,777.59,2.80935,1,1,772.03,6.9
"Jan 2, 01:00 pm",2584.21,-8,45.3693,875,73,2685.5,456,3.22255,716.489,2.58421,1,1,708.806,6.9
"Jan 2, 02:00 pm",2092.98,-7.4,53.1045,818,66,2174.49,355,1.33462,582.866,2.09298,1,1,569.349,7.2
"Jan 2, 03:00 pm",1334.89,-6.8,63.3082,686,54,1390.4,211,-1.35207,382.814,1.33489,1,1,359.958,7.2
"Jan 2, 04:00 pm",400.918,-6.9,74.3759,335,23,431.739,50,-5.65469,129.001,0.400918,1,3,109.797,7.2
"Jan 2, 05:00 pm",0,-7,0,0,0,0,0,-7,0,0,1,0,0,3.5
"Jan 2, 06:00 pm",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,3.5
"Jan 2, 07:00 pm",0,-7.4,0,0,0,0,0,-7.4,0,0,1,0,0,3.5
"Jan 2, 08:00 pm",0,-7.6,0,0,0,0,0,-7.6,0,0,1,0,0,2.7
"Jan 2, 09:00 pm",0,-7.9,0,0,0,0,0,-7.9,0,0,1,0,0,2.7
"Jan 2, 10:00 pm",0,-8.2,0,0,0,0,0,-8.2,0,0,1,0,0,2.7
"Jan 2, 11:00 pm",0,-8.6,0,0,0,0,0,-8.6,0,0,1,0,0,2
"Jan 3, 12:00 am",0,-8.9,0,0,0,0,0,-8.9,0,0,1,0,0,2
"Jan 3, 01:00 am",0,-9.1,0,0,0,0,0,-9.1,0,0,1,0,0,2
"Jan 3, 02:00 am",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,1.7
"Jan 3, 03:00 am",0,-9.6,0,0,0,0,0,-9.6,0,0,1,0,0,1.7
"Jan 3, 04:00 am",0,-9.7,0,0,0,0,0,-9.7,0,0,1,0,0,1.7
"Jan 3, 05:00 am",0,-9.9,0,0,0,0,0,-9.9,0,0,1,0,0,5.6
"Jan 3, 06:00 am",0,-10,0,0,0,0,0,-10,0,0,1,0,0,5.6
"Jan 3, 07:00 am",86.2985,-10,77.0511,140,3,110.602,9,-10.5429,36.2036,0.0862985,1,2,27.5739,5.6
"Jan 3, 08:00 am",918.727,-10,68.3684,544,47,962.24,137,-6.14677,268.305,0.918727,1,1,244.216,5
"Jan 3, 09:00 am",1764.08,-10,57.411,758,60,1833.64,291,-1.35229,491.867,1.76408,1,1,474.71,5
"Jan 3, 10:00 am",2338.34,-7.6,48.3881,816,83,2429.44,415,4.6115,654.31,2.33834,1,1,645.042,5
"Jan 3, 11:00 am",2543.26,-5.2,42.5956,753,112,2642.81,463,4.11978,705.371,2.54326,1,1,700.218,8.7
"Jan 3, 12:00 pm",2273.34,-2.8,41.4245,570,164,2361.85,436,5.56855,633.179,2.27334,1,1,629.681,8.7
"Jan 3, 01:00 pm",2387.18,-1.5,45.2367,749,108,2480.26,437,7.37635,672.94,2.38718,1,1,666.439,8.7
"Jan 3, 02:00 pm",1896.56,-0.1,52.9622,662,109,1970.82,344,7.74614,541.225,1.89656,1,1,530.404,7.5
"Jan 3, 03:00 pm",792.494,1.2,63.166,269,89,832.687,151,4.12706,229.514,0.792494,1,1,220.629,7.5
"Jan 3, 04:00 pm",195.04,0.4,74.3239,106,26,221.495,35,0.469062,63.8487,0.19504,1,3,57.7827,7.5
"Jan 3, 05:00 pm",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,9.5
"Jan 3, 06:00 pm",0,-1,0,0,0,0,0,-1,0,0,1,0,0,9.5
"Jan 3, 07:00 pm",0,-1.8,0,0,0,0,0,-1.8,0,0,1,0,0,9.5
"Jan 3, 08:00 pm",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,10.6
"Jan 3, 09:00 pm",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,10.6
"Jan 3, 10:00 pm",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,10.6
"Jan 3, 11:00 pm",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,10.1
"Jan 4, 12:00 am",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,10.1
"Jan 4, 01:00 am",0,-3.7,0,0,0,0,0,-3.7,0,0,1,0,0,10.1
"Jan 4, 02:00 am",0,-3.9,0,0,0,0,0,-3.9,0,0,1,0,0,11
"Jan 4, 03:00 am",0,-4.1,0,0,0,0,0,-4.1,0,0,1,0,0,11
"Jan 4, 04:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,11
"Jan 4, 05:00 am",0,-3.9,0,0,0,0,0,-3.9,0,0,1,0,0,8.9
"Jan 4, 06:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,8.9
"Jan 4, 07:00 am",46.4994,-3.5,77.095,56,5,70.0427,7,-4.17362,21.3768,0.0464994,1,2,17.9218,8.9
"Jan 4, 08:00 am",540.397,-3.2,68.4032,218,62,574.396,98,-2.12396,157.897,0.540397,1,1,148.226,10.1
"Jan 4, 09:00 am",848.141,-2.9,57.42,134,141,889.78,182,-0.774846,233.947,0.848141,1,1,230.912,10.1
"Jan 4, 10:00 am",1355.76,-0.5,48.3615,247,179,1411.91,280,3.48026,375.867,1.35576,1,1,373.068,10.1
"Jan 4, 11:00 am",880.315,1.9,42.5249,33,205,922.802,220,4.36187,244.976,0.880315,1,1,244.752,9.9
"Jan 4, 12:00 pm",834.835,4.2,41.3116,34,196,876.125,212,6.45408,234.68,0.834835,1,1,234.474,9.9
"Jan 4, 01:00 pm",1430.89,5.5,45.0982,269,184,1489.39,303,9.97597,407.069,1.43089,1,1,404.762,9.9
"Jan 4, 02:00 pm",1696.26,6.7,52.8153,504,152,1763.49,332,12.4874,492.741,1.69626,1,1,484.595,9.7
"Jan 4, 03:00 pm",558.222,7.9,63.0204,123,95,592.639,124,9.46773,164.726,0.558222,1,1,160.699,9.7
"Jan 4, 04:00 pm",242.078,7.4,74.2721,120,34,269.496,44,7.62207,79.3455,0.242078,1,3,72.4902,9.7
"Jan 4, 05:00 pm",0,6.8,0,0,0,0,0,6.8,0,0,1,0,0,11.3
"Jan 4, 06:00 pm",0,6.2,0,0,0,0,0,6.2,0,0,1,0,0,11.3
"Jan 4, 07:00 pm",0,5.4,0,0,0,0,0,5.4,0,0,1,0,0,11.3
"Jan 4, 08:00 pm",0,4.6,0,0,0,0,0,4.6,0,0,1,0,0,11.8
"Jan 4, 09:00 pm",0,3.9,0,0,0,0,0,3.9,0,0,1,0,0,11.8
"Jan 4, 10:00 pm",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,11.8
"Jan 4, 11:00 pm",0,3.6,0,0,0,0,0,3.6,0,0,1,0,0,12.1
"Jan 5, 12:00 am",0,3.5,0,0,0,0,0,3.5,0,0,1,0,0,12.1
"Jan 5, 01:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,12.1
"Jan 5, 02:00 am",0,4.2,0,0,0,0,0,4.2,0,0,1,0,0,9.5
"Jan 5, 03:00 am",0,4.5,0,0,0,0,0,4.5,0,0,1,0,0,9.5
