,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,-11.6,0,0,0,0,0,-11.6,0,0,1,0,0,7.2
"Jan 1, 01:00 am",0,-11.7,0,0,0,0,0,-11.7,0,0,1,0,0,7.2
"Jan 1, 02:00 am",0,-11.7,0,0,0,0,0,-11.7,0,0,1,0,0,5.5
"Jan 1, 03:00 am",0,-11.8,0,0,0,0,0,-11.8,0,0,1,0,0,5.5
"Jan 1, 04:00 am",0,-11.9,0,0,0,0,0,-11.9,0,0,1,0,0,5.5
"Jan 1, 05:00 am",0,-12.1,0,0,0,0,0,-12.1,0,0,1,0,0,6.1
"Jan 1, 06:00 am",0,-12.3,0,0,0,0,0,-12.3,0,0,1,0,0,6.1
"Jan 1, 07:00 am",0,-12.6,0,0,0,0,0,-12.6,0,0,1,0,0,6.1
"Jan 1, 08:00 am",90.5663,-12.9,75.856,143,114.953,2,7,-13.5688,36.8832,0.0905663,1,2,28.3134,6.1
"Jan 1, 09:00 am",909.463,-13.3,68.5864,577,952.727,35,109,-9.96067,263.914,0.909463,1,1,238.079,6.1
"Jan 1, 10:00 am",1479.08,-12.4,59.7876,523,1539.12,107,228,-6.31944,404.274,1.47908,1,1,390.352,6.1
"Jan 1, 11:00 am",320.166,-11.5,53.4571,0,349.229,88,88,-10.9206,86.9328,0.320166,1,1,86.9328,7.5
"Jan 1, 12:00 pm",194.654,-10.6,50.5777,0,221.101,58,58,-10.816,55.0614,0.194654,1,1,55.0614,7.5
"Jan 1, 01:00 pm",1989.36,-9.6,51.7385,557,2067,153,331,-2.40635,541.06,1.98936,1,1,532.776,7.5
"Jan 1, 02:00 pm",1208.07,-8.6,56.6889,358,1259.75,100,195,-3.88241,330.421,1.20807,1,1,322.72,6.9
"Jan 1, 03:00 pm",1151.53,-7.5,64.5449,550,1201.56,68,164,-3.0392,328.622,1.15153,1,1,308.89,6.9
"Jan 1, 04:00 pm",416.336,-7.5,73.6377,405,447.5,13,38,-6.15296,136.204,0.416336,1,3,113.573,6.9
"Jan 1, 05:00 pm",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,8.7
"Jan 1, 06:00 pm",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,8.7
"Jan 1, 07:00 pm",0,-7.4,0,0,0,0,0,-7.4,0,0,1,0,0,8.7
"Jan 1, 08:00 pm",0,-7.4,0,0,0,0,0,-7.4,0,0,1,0,0,9.2
"Jan 1, 09:00 pm",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,9.2
"Jan 1, 10:00 pm",0,-7.6,0,0,0,0,0,-7.6,0,0,1,0,0,9.2
"Jan 1, 11:00 pm",0,-7.8,0,0,0,0,0,-7.8,0,0,1,0,0,8.6
"Jan 2, 12:00 am",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,8.6
"Jan 2, 01:00 am",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,8.6
"Jan 2, 02:00 am",0,-8,0,0,0,0,0,-8,0,0,1,0,0,8.7
"Jan 2, 03:00 am",0,-8,0,0,0,0,0,-8,0,0,1,0,0,8.7
"Jan 2, 04:00 am",0,-7.7,0,0,0,0,0,-7.7,0,0,1,0,0,8.7
"Jan 2, 05:00 am",0,-7.4,0,0,0,0,0,-7.4,0,0,1,0,0,8.6
"Jan 2, 06:00 am",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,8.6
"Jan 2, 07:00 am",0,-6.9,0,0,0,0,0,-6.9,0,0,1,0,0,8.6
"Jan 2, 08:00 am",48.4978,-6.7,75.8907,78,72.079,4,7,-7.20208,22.8936,0.0484978,1,2,18.2148,11.8
"Jan 2, 09:00 am",733.632,-6.5,68.6007,314,772.327,70,110,-4.93247,211.067,0.733632,1,1,196.997,11.8
"Jan 2, 10:00 am",113.175,-5.4,59.7748,0,138.001,37,37,-5.72582,35.0851,0.113175,1,1,35.0851,11.8
"Jan 2, 11:00 am",314.746,-4.2,53.4107,0,343.694,89,89,-4.00395,88.0025,0.314746,1,1,88.0025,10.6
"Jan 2, 12:00 pm",184.366,-3,50.4955,0,210.606,57,57,-3.18414,54.1089,0.184366,1,1,54.1089,10.6
"Jan 2, 01:00 pm",176.311,-2,51.6266,0,202.388,55,55,-2.22641,52.2051,0.176311,1,1,52.2051,10.6
"Jan 2, 02:00 pm",252.076,-1,56.5587,0,279.703,74,74,-0.976728,72.5258,0.252076,1,1,72.5258,9.6
"Jan 2, 03:00 pm",149.938,0,64.4072,0,175.488,47,47,-0.311947,45.6305,0.149938,1,1,45.6305,9.6
"Jan 2, 04:00 pm",318.276,1,73.5867,224,347.299,27,41,1.42888,103.464,0.318276,1,3,90.9699,9.6
"Jan 2, 05:00 pm",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,7.2
"Jan 2, 06:00 pm",0,2.9,0,0,0,0,0,2.9,0,0,1,0,0,7.2
"Jan 2, 07:00 pm",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,7.2
"Jan 2, 08:00 pm",0,2.6,0,0,0,0,0,2.6,0,0,1,0,0,10.1
"Jan 2, 09:00 pm",0,2.5,0,0,0,0,0,2.5,0,0,1,0,0,10.1
"Jan 2, 10:00 pm",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,10.1
"Jan 2, 11:00 pm",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,9.6
"Jan 3, 12:00 am",0,1.6,0,0,0,0,0,1.6,0,0,1,0,0,9.6
"Jan 3, 01:00 am",0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,9.6
"Jan 3, 02:00 am",0,1.4,0,0,0,0,0,1.4,0,0,1,0,0,9.6
"Jan 3, 03:00 am",0,1.3,0,0,0,0,0,1.3,0,0,1,0,0,9.6
"Jan 3, 04:00 am",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,9.6
"Jan 3, 05:00 am",0,2.6,0,0,0,0,0,2.6,0,0,1,0,0,10.1
"Jan 3, 06:00 am",0,3.2,0,0,0,0,0,3.2,0,0,1,0,0,10.1
"Jan 3, 07:00 am",0,3.3,0,0,0,0,0,3.3,0,0,1,0,0,10.1
"Jan 3, 08:00 am",45.4531,3.3,75.9247,78,68.9766,4,7,2.70915,22.8488,0.0454531,1,2,18.1658,9.3
"Jan 3, 09:00 am",702.703,3.4,68.6092,315,740.623,70,110,5.27496,211.325,0.702703,1,1,197.204,9.3
"Jan 3, 10:00 am",111.882,3.3,59.7553,0,136.682,38,38,2.96445,36.0361,0.111882,1,1,36.0361,9.3
"Jan 3, 11:00 am",304.209,3.2,53.357,0,332.932,89,89,3.42678,87.9501,0.304209,1,1,87.9501,9.6
"Jan 3, 12:00 pm",182.667,3.1,50.4059,0,208.873,58,58,2.93152,55.0612,0.182667,1,1,55.0612,9.6
"Jan 3, 01:00 pm",1435.67,3.3,51.5077,369,1494.32,143,262,7.73497,407.535,1.43567,1,1,402.145,9.6
"Jan 3, 02:00 pm",714.956,3.5,56.4225,139,753.181,108,146,5.44516,203.629,0.714956,1,1,200.695,10
"Jan 3, 03:00 pm",1071.56,3.8,64.2645,471,1119.29,83,168,7.06031,316.959,1.07156,1,1,300.339,10
"Jan 3, 04:00 pm",426.847,3.7,73.5352,417,458.246,16,43,4.83743,145.003,0.426847,1,3,121.787,10
"Jan 3, 05:00 pm",0,3.6,0,0,0,0,0,3.6,0,0,1,0,0,7.1
"Jan 3, 06:00 pm",0,3.5,0,0,0,0,0,3.5,0,0,1,0,0,7.1
"Jan 3, 07:00 pm",0,3,0,0,0,0,0,3,0,0,1,0,0,7.1
"Jan 3, 08:00 pm",0,2.5,0,0,0,0,0,2.5,0,0,1,0,0,8
"Jan 3, 09:00 pm",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,8
"Jan 3, 10:00 pm",0,2.3,0,0,0,0,0,2.3,0,0,1,0,0,8
"Jan 3, 11:00 pm",0,2.5,0,0,0,0,0,2.5,0,0,1,0,0,7.1
"Jan 4, 12:00 am",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,7.1
"Jan 4, 01:00 am",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,7.1
"Jan 4, 02:00 am",0,2.9,0,0,0,0,0,2.9,0,0,1,0,0,7.4
"Jan 4, 03:00 am",0,2.9,0,0,0,0,0,2.9,0,0,1,0,0,7.4
"Jan 4, 04:00 am",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,7.4
"Jan 4, 05:00 am",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,6.3
"Jan 4, 06:00 am",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,6.3
"Jan 4, 07:00 am",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,6.3
"Jan 4, 08:00 am",35.3067,1.6,75.9577,68,58.6386,3,5,0.861931,19.4089,0.0353067,1,2,15.3228,6.7
"Jan 4, 09:00 am",545.505,1.3,68.6116,271,579.623,44,79,2.82132,164.873,0.545505,1,1,152.724,6.7
"Jan 4, 10:00 am",819.862,1.3,59.7291,248,860.762,87,145,4.14084,234.657,0.819862,1,1,228.081,6.7
"Jan 4, 11:00 am",1546.02,1.3,53.2961,520,1608.23,98,257,8.4242,442.819,1.54602,1,1,434.101,5.6
"Jan 4, 12:00 pm",2164.93,1.2,50.309,793,2249.2,84,350,12.0144,627.303,2.16493,1,1,616.77,5.6
"Jan 4, 01:00 pm",1973.46,1.1,51.3819,639,2050.51,130,337,11.1143,569.296,1.97346,1,1,560.054,5.6
"Jan 4, 02:00 pm",521.957,1,56.2805,52,555.526,108,122,3.0169,147.583,0.521958,1,1,146.496,6.1
"Jan 4, 03:00 pm",77.6762,0.9,64.1172,0,101.814,28,28,0.249247,26.5363,0.0776762,1,1,26.5363,6.1
"Jan 4, 04:00 pm",342.147,0.1,73.4833,230,371.683,29,44,0.749179,109.858,0.342147,1,3,97.0777,6.1
"Jan 4, 05:00 pm",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,4.8
"Jan 4, 06:00 pm",0,-1.5,0,0,0,0,0,-1.5,0,0,1,0,0,4.8
"Jan 4, 07:00 pm",0,-1.9,0,0,0,0,0,-1.9,0,0,1,0,0,4.8
"Jan 4, 08:00 pm",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,6.4
"Jan 4, 09:00 pm",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,6.4
"Jan 4, 10:00 pm",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,6.4
"Jan 4, 11:00 pm",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,8.2
"Jan 5, 12:00 am",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,8.2
"Jan 5, 01:00 am",0,-2.9,0,0,0,0,0,-2.9,0,0,1,0,0,8.2
"Jan 5, 02:00 am",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,7.1
"Jan 5, 03:00 am",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,7.1
"Jan 5, 04:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,7.1
"Jan 5, 05:00 am",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,7.1
"Jan 5, 06:00 am",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,7.1
"Jan 5, 07:00 am",0,-4.9,0,0,0,0,0,-4.9,0,0,1,0,0,7.1
"Jan 5, 08:00 am",35.6617,-5.3,75.9899,61,59.0003,4,6,-6.07835,18.647,0.0356617,1,2,14.9785,7.1
"Jan 5, 09:00 am",574.279,-5.8,68.6081,242,609.077,54,85,-4.3245,166.594,0.574279,1,1,155.747,7.1
"Jan 5, 10:00 am",913.423,-5.6,59.6962,277,956.794,84,149,-2.5832,253.764,0.913423,1,1,246.435,7.1
"Jan 5, 11:00 am",899.15,-5.4,53.2281,155,942.138,130,177,-2.36377,245.467,0.89915,1,1,242.882,6.9
"Jan 5, 12:00 pm",570.228,-5.2,50.2048,42,604.93,120,134,-3.62565,155.688,0.570228,1,1,155.135,6.9
"Jan 5, 01:00 pm",2050.42,-4.9,51.2494,641,2130.33,130,339,3.31176,571.665,2.05042,1,1,562.491,6.9
"Jan 5, 02:00 pm",1885.44,-4.5,56.1327,821,1959.29,52,277,3.74266,535.254,1.88544,1,1,518.282,6.7
"Jan 5, 03:00 pm",1286.77,-4.2,63.9652,709,1340.81,43,174,1.3704,375.696,1.28677,1,1,351.119,6.7
"Jan 5, 04:00 pm",468.177,-4.6,73.4309,430,500.509,18,47,-2.89306,152.595,0.468177,1,3,128.747,6.7
"Jan 5, 05:00 pm",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,7.6
"Jan 5, 06:00 pm",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,7.6
"Jan 5, 07:00 pm",0,-5.9,0,0,0,0,0,-5.9,0,0,1,0,0,7.6
"Jan 5, 08:00 pm",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,7.3
"Jan 5, 09:00 pm",0,-6.8,0,0,0,0,0,-6.8,0,0,1,0,0,7.3
"Jan 5, 10:00 pm",0,-6.6,0,0,0,0,0,-6.6,0,0,1,0,0,7.3
"Jan 5, 11:00 pm",0,-6.5,0,0,0,0,0,-6.5,0,0,1,0,0,6.4
"Jan 6, 12:00 am",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,6.4
"Jan 6, 01:00 am",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,6.4
"Jan 6, 02:00 am",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,7.6
"Jan 6, 03:00 am",0,-5.9,0,0,0,0,0,-5.9,0,0,1,0,0,7.6
"Jan 6, 04:00 am",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,7.6
"Jan 6, 05:00 am",0,-6.8,0,0,0,0,0,-6.8,0,0,1,0,0,7.7
"Jan 6, 06:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,7.7
"Jan 6, 07:00 am",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,7.7
"Jan 6, 08:00 am",59.1511,-7.8,76.0211,99,82.9346,3,6,-8.28791,26.8243,0.0591511,1,2,20.8656,10.3
"Jan 6, 09:00 am",708.35,-8,68.5985,391,746.411,42,93,-6.33529,206.81,0.70835,1,1,189.293,10.3
"Jan 6, 10:00 am",1665.97,-7.4,59.6566,780,1732.17,49,233,-2.3874,467.09,1.66597,1,1,446.506,10.3
"Jan 6, 11:00 am",2138.81,-6.9,53.1529,852,2222.07,55,317,0.137302,593.006,2.13881,1,1,578.876,9.7
"Jan 6, 12:00 pm",2320.37,-6.3,50.0933,877,2410.75,57,355,1.47687,643.039,2.32037,1,1,631.59,9.7
"Jan 6, 01:00 pm",2168.21,-5.3,51.1101,783,2252.6,76,333,1.99175,602.53,2.16821,1,1,591.445,9.7
"Jan 6, 02:00 pm",1423.74,-4.2,55.9792,465,1482.01,102,231,0.533868,396.234,1.42374,1,1,386.727,9.3
