,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jul 30, 12:00 am",0,24.9,0,0,0,0,0,24.9,0,0,1,0,0,4.9
"Jul 30, 01:00 am",0,24.2,0,0,0,0,0,24.2,0,0,1,0,0,4.9
"Jul 30, 02:00 am",0,23.5,0,0,0,0,0,23.5,0,0,1,0,0,3.6
"Jul 30, 03:00 am",0,22.8,0,0,0,0,0,22.8,0,0,1,0,0,3.6
"Jul 30, 04:00 am",0,22.3,0,0,0,0,0,22.3,0,0,1,0,0,3.6
"Jul 30, 05:00 am",1.49092,21.7,93.302,94,24.1912,10,16,20.6846,6.89859,0.00149092,1,2,6.89859,5.7
"Jul 30, 06:00 am",298.823,21.2,81.9743,241,327.431,82,137,22.0401,108.892,0.298823,1,1,93.9601,5.7
"Jul 30, 07:00 am",878.626,22.8,68.4579,411,921.068,139,309,27.0797,288.916,0.878626,1,1,270.633,5.7
"Jul 30, 08:00 am",1547.04,24.5,54.6995,593,1609.28,151,497,35.3855,503.299,1.54704,1,1,492.255,3.2
"Jul 30, 09:00 am",2113.34,26.1,40.7946,662,2195.63,179,660,41.8062,697.442,2.11334,1,1,693.615,3.2
"Jul 30, 10:00 am",2489.35,27.2,26.8134,674,2586.64,212,776,46.3917,837.546,2.48935,1,1,836.716,3.2
"Jul 30, 11:00 am",2717.02,28.2,12.8703,642,2824.05,278,857,50.3964,933.12,2.71702,1,1,933.037,2.9
"Jul 30, 12:00 pm",1986.65,29.2,3.00126,266,2064.19,378,623,45.6103,665.004,1.98665,1,1,665.002,2.9
"Jul 30, 01:00 pm",2716.36,29.8,15.8211,660,2823.36,276,865,51.7061,939.529,2.71636,1,1,939.377,2.9
"Jul 30, 02:00 pm",965.742,30.4,29.7954,59,1010.53,266,314,38.5082,314.055,0.965742,1,1,313.95,3.2
"Jul 30, 03:00 pm",1661.59,31,43.7714,317,1727.64,316,538,43.0238,551.601,1.66159,1,1,549.186,3.2
"Jul 30, 04:00 pm",948.823,30.7,57.6584,142,993.149,239,317,37.8639,310.825,0.948823,1,1,307.555,3.2
"Jul 30, 05:00 pm",754.763,30.4,71.385,413,793.992,134,289,34.6853,263.13,0.754763,1,1,242.032,5.6
"Jul 30, 06:00 pm",206.866,30.2,84.8437,203,233.562,70,109,31.0829,80.7165,0.206866,1,1,69.9558,5.6
"Jul 30, 07:00 pm",0,29.3,94.6887,0,3.19312,1,1,28.4412,0.944323,0,1,3,0.944323,5.6
"Jul 30, 08:00 pm",0,28.4,0,0,0,0,0,28.4,0,0,1,0,0,3.9
"Jul 30, 09:00 pm",0,27.5,0,0,0,0,0,27.5,0,0,1,0,0,3.9
"Jul 30, 10:00 pm",0,26.5,0,0,0,0,0,26.5,0,0,1,0,0,3.9
"Jul 30, 11:00 pm",0,25.5,0,0,0,0,0,25.5,0,0,1,0,0,5.3
"Jul 31, 12:00 am",0,24.4,0,0,0,0,0,24.4,0,0,1,0,0,5.3
"Jul 31, 01:00 am",0,23.6,0,0,0,0,0,23.6,0,0,1,0,0,5.3
"Jul 31, 02:00 am",0,22.9,0,0,0,0,0,22.9,0,0,1,0,0,5.5
"Jul 31, 03:00 am",0,22.1,0,0,0,0,0,22.1,0,0,1,0,0,5.5
"Jul 31, 04:00 am",0,21.4,0,0,0,0,0,21.4,0,0,1,0,0,5.5
"Jul 31, 05:00 am",0,20.7,93.2847,136,20.2685,8,17,19.8467,5.75774,0,1,2,5.75774,7.9
"Jul 31, 06:00 am",295.755,20,82.0459,358,324.298,71,152,20.7709,114.657,0.295755,1,1,92.5167,7.9
"Jul 31, 07:00 am",970.336,22.2,68.5151,641,1015.25,88,351,26.2591,325.746,0.970336,1,1,297.149,7.9
"Jul 31, 08:00 am",1648.62,24.3,54.7451,717,1714.23,114,530,35.4123,537.825,1.64862,1,1,524.427,3.8
