,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-12.7,0,0,0,0,0,-12.7,0,0,1,0,0,8.1
"Jan 1, 01:00 am",0,-13,0,0,0,0,0,-13,0,0,1,0,0,8.1
"Jan 1, 02:00 am",0,-13.4,0,0,0,0,0,-13.4,0,0,1,0,0,8.1
"Jan 1, 03:00 am",0,-13.8,0,0,0,0,0,-13.8,0,0,1,0,0,7.7
"Jan 1, 04:00 am",0,-14.1,0,0,0,0,0,-14.1,0,0,1,0,0,7.7
"Jan 1, 05:00 am",0,-15.1,0,0,0,0,0,-15.1,0,0,1,0,0,7.7
"Jan 1, 06:00 am",0,-16.1,0,0,0,0,0,-16.1,0,0,1,0,0,11.1
"Jan 1, 07:00 am",175.879,-17,75.1457,197,6,201.948,16,-17.1411,60.6145,0.175879,1,2,49.0436,11.1
"Jan 1, 08:00 am",1069.43,-16.5,66.3818,555,51,1117.1,143,-13.8506,296.949,1.06943,1,1,274.839,11.1
"Jan 1, 09:00 am",1833.41,-16,57.2424,745,63,1905.41,269,-10.4294,491.912,1.83341,1,1,475.248,9.7
"Jan 1, 10:00 am",2309.56,-15.5,50.6513,815,69,2399.51,353,-8.21126,615.009,2.30956,1,1,603.883,9.7
"Jan 1, 11:00 am",2490.26,-14.3,47.7099,838,71,2587.59,389,-6.27143,665.388,2.49026,1,1,656.394,9.7
"Jan 1, 12:00 pm",2396.68,-13.1,49.0859,828,70,2490.14,372,-6.04987,642.209,2.39668,1,1,632.249,11.1
"Jan 1, 01:00 pm",2010.27,-11.9,54.4503,778,65,2088.68,305,-6.00531,544.639,2.01027,1,1,530.414,11.1
"Jan 1, 02:00 pm",1373.89,-11.8,62.7751,660,54,1430.6,194,-7.87669,381.812,1.37389,1,1,360.529,11.1
"Jan 1, 03:00 pm",507.515,-11.7,72.9832,370,29,540.748,60,-10.5062,155.01,0.507515,1,1,134.832,10.8
"Jan 1, 04:00 pm",0,-11.6,78.4638,14,0,7.74629,0,-12.3559,2.79981,0,1,3,1.9172,10.8
"Jan 1, 05:00 pm",0,-12,0,0,0,0,0,-12,0,0,1,0,0,10.8
"Jan 1, 06:00 pm",0,-12.4,0,0,0,0,0,-12.4,0,0,1,0,0,9.6
"Jan 1, 07:00 pm",0,-12.8,0,0,0,0,0,-12.8,0,0,1,0,0,9.6
"Jan 1, 08:00 pm",0,-13,0,0,0,0,0,-13,0,0,1,0,0,9.6
"Jan 1, 09:00 pm",0,-13.3,0,0,0,0,0,-13.3,0,0,1,0,0,6.5
"Jan 1, 10:00 pm",0,-13.5,0,0,0,0,0,-13.5,0,0,1,0,0,6.5
"Jan 1, 11:00 pm",0,-13.4,0,0,0,0,0,-13.4,0,0,1,0,0,6.5
"Jan 2, 12:00 am",0,-13.3,0,0,0,0,0,-13.3,0,0,1,0,0,6.6
"Jan 2, 01:00 am",0,-13.2,0,0,0,0,0,-13.2,0,0,1,0,0,6.6
"Jan 2, 02:00 am",0,-13.2,0,0,0,0,0,-13.2,0,0,1,0,0,6.6
"Jan 2, 03:00 am",0,-13.2,0,0,0,0,0,-13.2,0,0,1,0,0,4.9
"Jan 2, 04:00 am",0,-13.1,0,0,0,0,0,-13.1,0,0,1,0,0,4.9
"Jan 2, 05:00 am",0,-12.9,0,0,0,0,0,-12.9,0,0,1,0,0,4.9
"Jan 2, 06:00 am",0,-12.8,0,0,0,0,0,-12.8,0,0,1,0,0,3.6
"Jan 2, 07:00 am",11.9137,-12.5,75.1826,12,6,34.8075,7,-14.134,9.25964,0.0119137,1,2,8.55403,3.6
"Jan 2, 08:00 am",293.853,-11.5,66.4042,33,62,322.356,68,-11.3886,81.409,0.293853,1,1,80.0927,3.6
"Jan 2, 09:00 am",1616.14,-10.4,57.2372,540,120,1680.67,269,-1.39162,447.109,1.61614,1,1,435.034,3.6
