Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
126.5,0.6,-6.1,-6.92983,57,3.6,350
127.5,0,-6.7,-7.49256,57,2.1,350
128.5,1.1,-6.7,-7.6506,52,3.1,340
129.5,2.8,-6.1,-6.8473,49,3.6,350
130.5,3.9,-6.1,-6.94383,45,4.6,350
131.5,5,-7.2,-8.13178,38,3.6,330
132.5,5,-7.2,-8.13178,38,3.1,280
133.5,6.1,-7.2,-8.20773,35,5.2,310
134.5,5,-8.3,-9.18267,35,4.6,310
135.5,4.4,-10,-11.2409,31,6.2,320
136.5,2.2,-10.6,-12.0268,34,5.7,320
137.5,0.6,-11.1,-12.4026,37,6.7,310
138.5,-0.6,-13.3,-14.868,33,3.6,330
139.5,-2.2,-12.2,-13.3638,42,3.6,360
140.5,-2.2,-15.6,-17.0259,31,5.7,340
141.5,-3.3,-15,-16.2196,36,3.6,320
142.5,-3.9,-16.7,-18.1471,32,3.6,320
143.5,-5,-18.9,-20.2571,29,4.1,320
144.5,-5.6,-17.2,-18.604,35,3.6,320
145.5,-6.7,-17.2,-18.3232,39,2.6,300
146.5,-7.2,-17.8,-19.0771,38,2.6,320
147.5,-6.7,-17.2,-18.3232,39,2.1,300
148.5,-6.7,-18.3,-19.5845,35,0,0
149.5,-7.8,-16.1,-17.1262,47,2.6,230
150.5,-7.8,-16.7,-17.6404,45,1.5,300
151.5,-8.3,-15,-15.7157,55,2.1,350
152.5,-6.1,-16.7,-17.7822,39,2.6,360
153.5,-4.4,-16.7,-18.2276,33,0,0
154.5,-1.7,-17.8,-19.5934,24,4.6,260
155.5,0,-17.2,-19.1592,22,5.2,280
156.5,-1.1,-20,-21.7674,19,2.6,280
157.5,0,-19.4,-21.4691,18,2.1,280
158.5,1.1,-18.9,-21.2137,17,1.5,280
159.5,2.2,-18.3,-20.31,17,3.1,280
160.5,1.7,-17.8,-20.0632,18,2.1,250
161.5,0,-14.4,-15.8974,29,2.1,260
162.5,-0.6,-16.1,-17.7147,26,2.6,270
163.5,-0.6,-15.6,-17.2689,27,1.5,20
164.5,-2.2,-15,-16.6486,32,2.6,360
165.5,-2.8,-14.4,-15.7732,36,0,0
166.5,-2.8,-15.6,-17.1773,32,1.5,310
