,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 10, 05:00 pm",-3.3,0,0,0,0,0,0,-3.3,0,0,1,0,0,3.6
"Jan 10, 06:00 pm",-4.4,0,0,0,0,0,0,-4.4,0,0,1,0,0,2.6
"Jan 10, 07:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,2.1
"Jan 10, 08:00 pm",-5,0,0,0,0,0,0,-5,0,0,1,0,0,2.6
"Jan 10, 09:00 pm",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,2.1
"Jan 10, 10:00 pm",-8.9,0,0,0,0,0,0,-8.9,0,0,1,0,0,2.1
"Jan 10, 11:00 pm",-10,0,0,0,0,0,0,-10,0,0,1,0,0,2.1
"Jan 11, 12:00 am",-10,0,0,0,0,0,0,-10,0,0,1,0,0,0
"Jan 11, 01:00 am",-11.7,0,0,0,0,0,0,-11.7,0,0,1,0,0,2.1
"Jan 11, 02:00 am",-11.1,0,0,0,0,0,0,-11.1,0,0,1,0,0,0
"Jan 11, 03:00 am",-12.2,0,0,0,0,0,0,-12.2,0,0,1,0,0,2.6
"Jan 11, 04:00 am",-12.8,0,0,0,0,0,0,-12.8,0,0,1,0,0,1.5
"Jan 11, 05:00 am",-12.8,0,0,0,0,0,0,-12.8,0,0,1,0,0,2.6
"Jan 11, 06:00 am",-12.8,0,80.4931,0,7.93155,2,2,-15.3684,1.93969,0,1,2,1.93969,0
"Jan 11, 07:00 am",-11.7,335.715,74.3183,187,365.112,35,54,-11.0607,101.535,0.335715,1,1,90.8354,2.1
"Jan 11, 08:00 am",-8.9,1484.38,62.0269,808,1544.58,38,255,2.51098,431.308,1.48438,1,1,406.441,1.5
"Jan 11, 09:00 am",-6.1,2125.23,50.897,906,2207.97,52,419,20.2411,640.973,2.12523,1,1,628.362,0
"Jan 11, 10:00 am",-2.8,2520.3,41.9902,943,2618.88,63,535,29.3632,784.028,2.5203,1,1,777.926,0
"Jan 11, 11:00 am",0,2718.83,36.9762,975,2825.94,68,601,35.3877,868.283,2.71883,1,1,864.42,0
"Jan 11, 12:00 pm",3.9,2639.72,37.4605,971,2743.38,67,593,39.0998,858.89,2.63972,1,1,854.847,0
"Jan 11, 01:00 pm",5,2499.29,43.2586,943,2596.99,61,519,26.3914,767.436,2.49929,1,1,760.578,2.1
"Jan 11, 02:00 pm",4.4,2017.85,52.6367,892,2096.55,50,390,19.3264,608.377,2.01785,1,1,594.155,3.1
"Jan 11, 03:00 pm",5,1215.07,64.0231,750,1266.96,38,216,16.7227,380.911,1.21507,1,1,354.822,1.5
"Jan 11, 04:00 pm",3.3,344.243,75.4369,352,373.825,20,54,5.90057,120.658,0.344243,1,3,99.8063,2.1
"Jan 11, 05:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,2.1
"Jan 11, 06:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,2.6
"Jan 11, 07:00 pm",0.6,0,0,0,0,0,0,0.6,0,0,1,0,0,2.1
"Jan 11, 08:00 pm",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,3.1
"Jan 11, 09:00 pm",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,3.1
"Jan 11, 10:00 pm",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,4.6
"Jan 11, 11:00 pm",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,4.1
"Jan 12, 12:00 am",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,3.1
"Jan 12, 01:00 am",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,3.6
"Jan 12, 02:00 am",0.6,0,0,0,0,0,0,0.6,0,0,1,0,0,3.6
"Jan 12, 03:00 am",0.6,0,0,0,0,0,0,0.6,0,0,1,0,0,5.2
"Jan 12, 04:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,4.1
"Jan 12, 05:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,2.6
"Jan 12, 06:00 am",0,0,80.5433,0,3.74585,1,1,-1.33038,0.969846,0,1,2,0.969846,4.6
"Jan 12, 07:00 am",0.6,247.364,74.3415,31,274.893,53,56,0.582456,73.5222,0.247364,1,1,71.7472,6.2
"Jan 12, 08:00 am",2.2,1000.76,62.0235,182,1046.51,169,218,5.77024,284.849,1.00076,1,1,279.249,6.7
"Jan 12, 09:00 am",2.8,1472.49,50.8582,287,1532.32,204,321,9.13931,418.887,1.47249,1,1,414.904,6.2
"Jan 12, 10:00 am",3.9,791.195,41.904,11,831.354,213,219,7.44372,223.518,0.791195,1,1,223.448,5.2
"Jan 12, 11:00 am",5.6,1215.18,36.8368,5,1267.07,327,330,11.6502,346.913,1.21518,1,1,346.894,4.6
"Jan 12, 12:00 pm",5.6,969.57,37.285,8,1014.46,263,267,9.77825,275.488,0.96957,1,1,275.455,5.7
"Jan 12, 01:00 pm",5.6,1041.19,43.0766,8,1088.07,277,281,9.59327,295.259,1.04119,1,1,295.201,6.7
"Jan 12, 02:00 pm",7.2,910.965,52.4648,5,954.269,241,243,11.0454,260.638,0.910965,1,1,260.559,5.7
"Jan 12, 03:00 pm",6.7,510.249,63.8659,4,543.546,135,136,8.41736,146.85,0.510249,1,1,146.712,5.7
"Jan 12, 04:00 pm",6.7,90.7332,75.3931,1,115.123,30,30,6.13718,30.8268,0.0907332,1,3,30.7677,5.7
"Jan 12, 05:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,5.2
"Jan 12, 06:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,5.2
"Jan 12, 07:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,6.7
"Jan 12, 08:00 pm",6.7,0,0,0,0,0,0,6.7,0,0,1,0,0,4.6
"Jan 12, 09:00 pm",5,0,0,0,0,0,0,5,0,0,1,0,0,6.2
"Jan 12, 10:00 pm",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,5.2
"Jan 12, 11:00 pm",4.4,0,0,0,0,0,0,4.4,0,0,1,0,0,2.1
"Jan 13, 12:00 am",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,3.1
"Jan 13, 01:00 am",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,3.6
"Jan 13, 02:00 am",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,4.6
"Jan 13, 03:00 am",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,4.1
"Jan 13, 04:00 am",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,7.2
"Jan 13, 05:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,6.7
"Jan 13, 06:00 am",0,0,80.5932,0,0,0,0,0,0,0,1,2,0,8.2
"Jan 13, 07:00 am",-1.1,371.137,74.3603,280,401.303,29,57,-0.427731,120.339,0.371137,1,1,104.296,8.2
"Jan 13, 08:00 am",-0.6,1254.98,62.0151,622,1308.06,54,222,4.12376,365.706,1.25498,1,1,346.578,7.2
"Jan 13, 09:00 am",-1.1,2039.47,50.8136,761,2118.97,71,381,6.16476,576.906,2.03947,1,1,566.383,8.8
"Jan 13, 10:00 am",-0.6,2569.26,41.8113,830,2669.91,83,501,9.8756,730.547,2.56926,1,1,725.265,7.7
"Jan 13, 11:00 am",0,2828.55,36.6906,868,2940.54,89,567,13.7544,815.95,2.82855,1,1,812.611,6.2
"Jan 13, 12:00 pm",0.6,2805.05,37.1034,860,2915.98,88,558,12.4307,804.542,2.80505,1,1,801.09,7.7
"Jan 13, 01:00 pm",0.6,2507.05,42.8901,832,2605.07,81,490,11.616,718.949,2.50705,1,1,713.098,7.2
"Jan 13, 02:00 pm",0.6,1934.59,52.2901,754,2010.22,69,361,8.55542,554.624,1.93459,1,1,542.919,7.7
"Jan 13, 03:00 pm",0.6,1120.46,63.7072,589,1169.59,50,194,5.23952,331.481,1.12046,1,1,311.377,7.2
"Jan 13, 04:00 pm",-0.6,275.477,75.3502,201,303.592,25,46,0.099824,90.954,0.275477,1,3,79.0768,6.2
"Jan 13, 05:00 pm",-2.8,0,0,0,0,0,0,-2.8,0,0,1,0,0,4.1
"Jan 13, 06:00 pm",-2.8,0,0,0,0,0,0,-2.8,0,0,1,0,0,4.1
"Jan 13, 07:00 pm",-3.9,0,0,0,0,0,0,-3.9,0,0,1,0,0,4.1
"Jan 13, 08:00 pm",-3.3,0,0,0,0,0,0,-3.3,0,0,1,0,0,2.6
"Jan 13, 09:00 pm",-3.3,0,0,0,0,0,0,-3.3,0,0,1,0,0,4.1
"Jan 13, 10:00 pm",-3.9,0,0,0,0,0,0,-3.9,0,0,1,0,0,4.1
"Jan 13, 11:00 pm",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,3.1
"Jan 14, 12:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,3.1
"Jan 14, 01:00 am",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,3.6
"Jan 14, 02:00 am",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,2.6
"Jan 14, 03:00 am",-5.6,0,0,0,0,0,0,-5.6,0,0,1,0,0,5.2
"Jan 14, 04:00 am",-6.1,0,0,0,0,0,0,-6.1,0,0,1,0,0,4.1
"Jan 14, 05:00 am",-6.7,0,0,0,0,0,0,-6.7,0,0,1,0,0,3.6
"Jan 14, 06:00 am",-6.7,0,80.6429,3,5.03852,1,2,-8.29618,1.45761,0,1,2,1.26761,3.6
"Jan 14, 07:00 am",-6.1,348.924,74.3746,216,378.607,35,57,-5.32545,108.797,0.348924,1,1,96.415,3.1
