,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 7, 12:00 pm",-0.6,855.008,38.0991,2,896.827,234,235,5.42844,238.963,0.855008,1,1,238.954,2.1
"Jan 7, 01:00 pm",-0.6,697.35,43.9397,1,735.137,192,193,3.22772,194.043,0.69735,1,1,194.035,2.6
"Jan 7, 02:00 pm",0,540.728,53.2938,1,574.735,149,149,2.07247,150.971,0.540729,1,1,150.954,4.1
"Jan 7, 03:00 pm",0,267.641,64.6344,1,295.592,77,77,0.384988,77.1215,0.267641,1,1,77.0854,3.6
"Jan 7, 04:00 pm",0,53.5083,75.62,0,77.1845,21,21,-1.22471,19.9929,0.0535083,1,3,19.9929,3.1
"Jan 7, 05:00 pm",0.6,0,0,0,0,0,0,0.6,0,0,1,0,0,3.6
"Jan 7, 06:00 pm",0,0,0,0,0,0,0,0,0,0,1,0,0,3.1
"Jan 7, 07:00 pm",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,5.7
"Jan 7, 08:00 pm",-0.6,0,0,0,0,0,0,-0.6,0,0,1,0,0,5.2
"Jan 7, 09:00 pm",-1.1,0,0,0,0,0,0,-1.1,0,0,1,0,0,3.6
"Jan 7, 10:00 pm",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,4.1
"Jan 7, 11:00 pm",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,3.6
"Jan 8, 12:00 am",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,2.6
"Jan 8, 01:00 am",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,2.6
"Jan 8, 02:00 am",-1.7,0,0,0,0,0,0,-1.7,0,0,1,0,0,0
