,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,17.3,0,0,0,0,0,17.3,0,0,1,0,0,5.2
"Jan 1, 01:00 am",0,17.4,0,0,0,0,0,17.4,0,0,1,0,0,5.2
"Jan 1, 02:00 am",0,17.6,0,0,0,0,0,17.6,0,0,1,0,0,5.2
"Jan 1, 03:00 am",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,4.9
"Jan 1, 04:00 am",0,17.9,0,0,0,0,0,17.9,0,0,1,0,0,4.9
"Jan 1, 05:00 am",0,17.9,0,0,0,0,0,17.9,0,0,1,0,0,4.9
"Jan 1, 06:00 am",0,18,0,0,0,0,0,18,0,0,1,0,0,7.3
"Jan 1, 07:00 am",0,18,77.4579,0,6.73724,2,2,17.0022,1.88921,0,1,2,1.88921,7.3
"Jan 1, 08:00 am",93.458,18.4,68.3724,0,117.9,35,35,17.9011,33.1959,0.093458,1,1,33.1959,7.3
"Jan 1, 09:00 am",380.462,18.7,56.6238,0,410.832,117,117,19.7393,116.649,0.380462,1,1,116.649,5.1
"Jan 1, 10:00 am",250.82,19.1,46.5019,0,278.421,83,83,19.5488,78.9839,0.25082,1,1,78.9839,5.1
"Jan 1, 11:00 am",311.054,19.3,39.3396,0,339.923,101,101,20.0345,96.6462,0.311054,1,1,96.6462,5.1
"Jan 1, 12:00 pm",358.439,19.5,36.9189,0,388.328,115,115,20.4388,110.614,0.358439,1,1,110.614,6
"Jan 1, 01:00 pm",273.092,19.7,40.1114,0,301.157,90,90,20.2199,85.6975,0.273092,1,1,85.6975,6
"Jan 1, 02:00 pm",355.21,19.5,47.8016,0,385.029,113,113,20.4075,109.659,0.35521,1,1,109.659,6
"Jan 1, 03:00 pm",446.529,19.4,58.2223,22,478.371,124,131,20.9902,137.136,0.44653,1,1,136.609,5
"Jan 1, 04:00 pm",239.526,19.3,70.1284,49,266.893,57,64,19.7761,78.1577,0.239526,1,1,75.7925,5
"Jan 1, 05:00 pm",0,18.2,78.3203,8,14.3487,3,3,17.1123,4.52906,0,1,3,4.02556,5
"Jan 1, 06:00 pm",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,7
"Jan 1, 07:00 pm",0,16,0,0,0,0,0,16,0,0,1,0,0,7
"Jan 1, 08:00 pm",0,14.7,0,0,0,0,0,14.7,0,0,1,0,0,7
"Jan 1, 09:00 pm",0,13.3,0,0,0,0,0,13.3,0,0,1,0,0,4.7
"Jan 1, 10:00 pm",0,12,0,0,0,0,0,12,0,0,1,0,0,4.7
"Jan 1, 11:00 pm",0,11,0,0,0,0,0,11,0,0,1,0,0,4.7
"Jan 2, 12:00 am",0,9.9,0,0,0,0,0,9.9,0,0,1,0,0,4.2
"Jan 2, 01:00 am",0,8.9,0,0,0,0,0,8.9,0,0,1,0,0,4.2
"Jan 2, 02:00 am",0,8.3,0,0,0,0,0,8.3,0,0,1,0,0,4.2
"Jan 2, 03:00 am",0,7.7,0,0,0,0,0,7.7,0,0,1,0,0,4.1
"Jan 2, 04:00 am",0,7.1,0,0,0,0,0,7.1,0,0,1,0,0,4.1
"Jan 2, 05:00 am",0,6.5,0,0,0,0,0,6.5,0,0,1,0,0,4.1
"Jan 2, 06:00 am",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,4.3
"Jan 2, 07:00 am",68.8889,5.4,77.5077,129,92.8584,3,9,4.50387,32.6644,0.0688889,1,2,24.6435,4.3
"Jan 2, 08:00 am",820.34,6,68.4291,511,861.252,49,140,9.98606,256.765,0.82034,1,1,234.067,4.3
"Jan 2, 09:00 am",1722.54,6.7,56.6584,796,1790.67,57,321,15.8427,516.59,1.72254,1,1,499.504,5
"Jan 2, 10:00 am",2303.61,7.3,46.5041,876,2393.32,66,460,20.2538,689.637,2.30361,1,1,681.15,5
"Jan 2, 11:00 am",2636.57,8.3,39.2968,911,2740.11,70,546,23.6215,796.668,2.63657,1,1,792.112,5
"Jan 2, 12:00 pm",2693.37,9.3,36.8266,902,2799.37,75,566,25.4395,819.691,2.69337,1,1,816.171,4.9
"Jan 2, 01:00 pm",2576.44,10.3,39.9852,866,2677.4,92,538,25.8314,786.686,2.57644,1,1,782.054,4.9
"Jan 2, 02:00 pm",2078.28,10.7,47.6628,735,2159.24,102,423,23.1115,630.57,2.07828,1,1,622.712,4.9
"Jan 2, 03:00 pm",1553.54,11.1,58.0828,746,1616,63,296,21.351,479.945,1.55354,1,1,462.252,4.1
"Jan 2, 04:00 pm",726.023,11.5,69.9938,531,764.525,39,121,16.1907,239.067,0.726023,1,1,213.598,4.1
"Jan 2, 05:00 pm",32.894,10.6,78.2757,95,56.1805,2,5,9.98047,21.2439,0.032894,1,3,15.2681,4.1
"Jan 2, 06:00 pm",0,9.8,0,0,0,0,0,9.8,0,0,1,0,0,3.7
"Jan 2, 07:00 pm",0,9,0,0,0,0,0,9,0,0,1,0,0,3.7
"Jan 2, 08:00 pm",0,8.2,0,0,0,0,0,8.2,0,0,1,0,0,3.7
"Jan 2, 09:00 pm",0,7.4,0,0,0,0,0,7.4,0,0,1,0,0,2.7
"Jan 2, 10:00 pm",0,6.6,0,0,0,0,0,6.6,0,0,1,0,0,2.7
"Jan 2, 11:00 pm",0,6.1,0,0,0,0,0,6.1,0,0,1,0,0,2.7
"Jan 3, 12:00 am",0,5.7,0,0,0,0,0,5.7,0,0,1,0,0,3.8
"Jan 3, 01:00 am",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,3.8
"Jan 3, 02:00 am",0,4.8,0,0,0,0,0,4.8,0,0,1,0,0,3.8
"Jan 3, 03:00 am",0,4.3,0,0,0,0,0,4.3,0,0,1,0,0,3.3
"Jan 3, 04:00 am",0,3.8,0,0,0,0,0,3.8,0,0,1,0,0,3.3
"Jan 3, 05:00 am",0,3.5,0,0,0,0,0,3.5,0,0,1,0,0,3.3
"Jan 3, 06:00 am",0,3.2,0,0,0,0,0,3.2,0,0,1,0,0,3.3
"Jan 3, 07:00 am",54.4798,3,77.5571,77,78.1744,5,8,1.80548,25.3011,0.0544798,1,2,20.5093,3.3
