,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,9
"Jan 1, 01:00 am",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,9
"Jan 1, 02:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,9
"Jan 1, 03:00 am",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,9.2
"Jan 1, 04:00 am",0,6.2,0,0,0,0,0,6.2,0,0,1,0,0,9.2
"Jan 1, 05:00 am",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,9.2
"Jan 1, 06:00 am",0,5.7,0,0,0,0,0,5.7,0,0,1,0,0,9.8
"Jan 1, 07:00 am",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,9.8
"Jan 1, 08:00 am",5.781,5,74.9755,0,8,28.5608,8,4.16661,7.56876,0.005781,1,2,7.56876,9.8
"Jan 1, 09:00 am",214.759,4.5,65.6745,0,63,241.615,63,4.38246,64.0885,0.214759,1,1,64.0885,8.2
"Jan 1, 10:00 am",332.191,4,56.3115,0,96,361.512,96,4.39196,95.8951,0.332191,1,1,95.8951,8.2
"Jan 1, 11:00 am",434.742,4.3,49.4933,0,124,466.318,124,5.13127,124.089,0.434742,1,1,124.089,8.2
"Jan 1, 12:00 pm",469.428,4.7,46.3864,0,134,501.788,134,5.88246,133.96,0.469428,1,1,133.96,6.4
"Jan 1, 01:00 pm",237.012,5,47.7278,0,74,264.327,74,5.11341,70.333,0.237012,1,1,70.333,6.4
"Jan 1, 02:00 pm",1725.32,4.9,53.1799,502,160,1793.55,324,12.2529,500.685,1.72532,1,1,492.342,6.4
"Jan 1, 03:00 pm",1340.73,4.8,61.6495,653,62,1396.42,212,9.85936,398.923,1.34073,1,1,379.301,8.5
