,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),Diffuse irradiance | (W/m2),DC array power | (W),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,11.3
"Jan 1, 01:00 am",0,-7.6,0,0,0,0,0,-7.6,0,0,1,0,0,9.1
"Jan 1, 02:00 am",0,-7.7,0,0,0,0,0,-7.7,0,0,1,0,0,9.1
"Jan 1, 03:00 am",0,-7.7,0,0,0,0,0,-7.7,0,0,1,0,0,9.1
"Jan 1, 04:00 am",0,-7.8,0,0,0,0,0,-7.8,0,0,1,0,0,7.9
"Jan 1, 05:00 am",0,-7.8,0,0,0,0,0,-7.8,0,0,1,0,0,7.9
"Jan 1, 06:00 am",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,7.9
"Jan 1, 07:00 am",41.4768,-8.5,77.7285,102,1,64.9251,3,-9.05942,22.6493,0.0414768,1,2,16.2835,12.2
"Jan 1, 08:00 am",899.161,-8.8,70.8511,705,27,942.15,109,-6.57857,273.871,0.899161,1,1,238.695,12.2
"Jan 1, 09:00 am",1764.1,-7.7,60.5008,889,41,1833.66,260,-2.88924,496.488,1.7641,1,1,471.683,12.2
"Jan 1, 10:00 am",2134.77,-6.6,52.1318,716,124,2217.87,370,4.25805,598.958,2.13477,1,1,587.978,5.2
"Jan 1, 11:00 am",1145.33,-5.5,46.8872,171,171,1195.18,239,0.0235487,312.92,1.14533,1,1,311.208,5.2
"Jan 1, 12:00 pm",2149.45,-5.2,45.8664,629,122,2233.12,378,5.40107,600.701,2.14945,1,1,594.933,5.2
"Jan 1, 01:00 pm",1558,-4.9,49.3341,391,136,1620.6,282,1.24037,428.953,1.558,1,1,424.153,7.3
"Jan 1, 02:00 pm",1735.48,-4.6,56.4635,741,56,1804.05,273,2.32172,490.023,1.73548,1,1,474.337,7.3
"Jan 1, 03:00 pm",1258.14,-4.6,66.0582,807,31,1311.31,174,0.567553,373.808,1.25814,1,1,342.232,7.3
"Jan 1, 04:00 pm",219.217,-4.6,75.2635,287,4,246.165,20,-4.20902,79.893,0.219217,1,3,62.9769,8.4
"Jan 1, 05:00 pm",0,-4.6,0,0,0,0,0,-4.6,0,0,1,0,0,8.4
"Jan 1, 06:00 pm",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,8.4
"Jan 1, 07:00 pm",0,-5.7,0,0,0,0,0,-5.7,0,0,1,0,0,9.7
"Jan 1, 08:00 pm",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,9.7
"Jan 1, 09:00 pm",0,-6.5,0,0,0,0,0,-6.5,0,0,1,0,0,9.7
