,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-15.3,0,0,0,0,0,-15.3,0,0,1,0,0,10.9
"Jan 1, 01:00 am",0,-15.6,0,0,0,0,0,-15.6,0,0,1,0,0,10.9
"Jan 1, 02:00 am",0,-16,0,0,0,0,0,-16,0,0,1,0,0,8.6
"Jan 1, 03:00 am",0,-16.4,0,0,0,0,0,-16.4,0,0,1,0,0,8.6
"Jan 1, 04:00 am",0,-17.8,0,0,0,0,0,-17.8,0,0,1,0,0,8.6
"Jan 1, 05:00 am",0,-19.2,0,0,0,0,0,-19.2,0,0,1,0,0,9.7
"Jan 1, 06:00 am",0,-20.7,0,0,0,0,0,-20.7,0,0,1,0,0,9.7
"Jan 1, 07:00 am",0,-20.2,0,0,0,0,0,-20.2,0,0,1,0,0,9.7
"Jan 1, 08:00 am",49.7655,-19.7,75.8472,69,73.3707,5,7,-20.5054,21.7203,0.0497655,1,2,17.5862,7.2
"Jan 1, 09:00 am",711.049,-19.2,68.5815,276,749.176,67,102,-17.295,194.185,0.711049,1,1,181.83,7.2
"Jan 1, 10:00 am",162.884,-18.4,59.7893,0,188.692,48,48,-18.6421,45.5562,0.162884,1,1,45.5562,7.2
"Jan 1, 11:00 am",420.731,-17.6,53.4669,0,451.993,108,108,-16.939,109.855,0.420731,1,1,109.855,6.3
"Jan 1, 12:00 pm",835.517,-16.7,50.5964,93,876.824,142,173,-14.1397,216.741,0.835517,1,1,215.477,6.3
"Jan 1, 01:00 pm",469.424,-16,51.7647,6,501.784,117,119,-14.9086,123.026,0.469424,1,1,122.937,6.3
"Jan 1, 02:00 pm",606.053,-15.2,56.7197,78,641.609,106,127,-13.527,159.739,0.606053,1,1,158.058,5.9
"Jan 1, 03:00 pm",1125.39,-14.4,64.5779,463,1174.65,82,163,-10.0014,310.131,1.12539,1,1,293.489,5.9
"Jan 1, 04:00 pm",427.289,-14.5,73.6501,404,458.698,13,38,-13.0023,135.82,0.427289,1,3,113.235,5.9
"Jan 1, 05:00 pm",0,-14.5,0,0,0,0,0,-14.5,0,0,1,0,0,9.1
"Jan 1, 06:00 pm",0,-14.6,0,0,0,0,0,-14.6,0,0,1,0,0,9.1
"Jan 1, 07:00 pm",0,-14.8,0,0,0,0,0,-14.8,0,0,1,0,0,9.1
"Jan 1, 08:00 pm",0,-15,0,0,0,0,0,-15,0,0,1,0,0,6.6
"Jan 1, 09:00 pm",0,-15.2,0,0,0,0,0,-15.2,0,0,1,0,0,6.6
"Jan 1, 10:00 pm",0,-15.5,0,0,0,0,0,-15.5,0,0,1,0,0,6.6
"Jan 1, 11:00 pm",0,-15.8,0,0,0,0,0,-15.8,0,0,1,0,0,6.4
"Jan 2, 12:00 am",0,-16.1,0,0,0,0,0,-16.1,0,0,1,0,0,6.4
"Jan 2, 01:00 am",0,-16.4,0,0,0,0,0,-16.4,0,0,1,0,0,6.4
"Jan 2, 02:00 am",0,-16.7,0,0,0,0,0,-16.7,0,0,1,0,0,4.7
"Jan 2, 03:00 am",0,-17.1,0,0,0,0,0,-17.1,0,0,1,0,0,4.7
"Jan 2, 04:00 am",0,-17.6,0,0,0,0,0,-17.6,0,0,1,0,0,4.7
"Jan 2, 05:00 am",0,-18.2,0,0,0,0,0,-18.2,0,0,1,0,0,2.1
"Jan 2, 06:00 am",0,-18.7,0,0,0,0,0,-18.7,0,0,1,0,0,2.1
"Jan 2, 07:00 am",0,-19,0,0,0,0,0,-19,0,0,1,0,0,2.1
"Jan 2, 08:00 am",0,-19.2,75.8822,0,4.04074,1,1,-20.1532,0.969846,0,1,2,0.969846,7.7
"Jan 2, 09:00 am",47.4832,-19.4,68.5973,0,71.0451,18,18,-20.2369,17.0465,0.0474832,1,1,17.0465,7.7
"Jan 2, 10:00 am",167.079,-18.7,59.7781,0,192.97,49,49,-19.0857,46.5087,0.167079,1,1,46.5087,7.7
"Jan 2, 11:00 am",174.073,-17.9,53.4223,0,200.105,51,51,-18.1842,48.3982,0.174073,1,1,48.3982,9.6
"Jan 2, 12:00 pm",204.229,-17.2,50.516,0,230.871,59,59,-17.3869,56.0138,0.204229,1,1,56.0138,9.6
"Jan 2, 01:00 pm",341.399,-15.7,51.6544,0,370.919,92,92,-15.4385,90.6846,0.341399,1,1,90.6846,9.6
"Jan 2, 02:00 pm",206.742,-14.1,56.591,0,233.435,60,60,-14.2404,57.3431,0.206742,1,1,57.3431,10.5
"Jan 2, 03:00 pm",624.307,-12.6,64.4413,161,660.302,77,105,-11.3937,169.797,0.624307,1,1,164.056,10.5
"Jan 2, 04:00 pm",347.003,-11.5,73.5993,240,376.644,26,41,-10.9901,107.124,0.347003,1,3,93.7311,10.5
"Jan 2, 05:00 pm",0,-10.4,0,0,0,0,0,-10.4,0,0,1,0,0,13.2
"Jan 2, 06:00 pm",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,13.2
"Jan 2, 07:00 pm",0,-9,0,0,0,0,0,-9,0,0,1,0,0,13.2
"Jan 2, 08:00 pm",0,-8.5,0,0,0,0,0,-8.5,0,0,1,0,0,15
"Jan 2, 09:00 pm",0,-8.1,0,0,0,0,0,-8.1,0,0,1,0,0,15
"Jan 2, 10:00 pm",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,15
"Jan 2, 11:00 pm",0,-8.4,0,0,0,0,0,-8.4,0,0,1,0,0,14.5
"Jan 3, 12:00 am",0,-8.6,0,0,0,0,0,-8.6,0,0,1,0,0,14.5
"Jan 3, 01:00 am",0,-8.6,0,0,0,0,0,-8.6,0,0,1,0,0,14.5
"Jan 3, 02:00 am",0,-8.6,0,0,0,0,0,-8.6,0,0,1,0,0,11.8
"Jan 3, 03:00 am",0,-8.6,0,0,0,0,0,-8.6,0,0,1,0,0,11.8
"Jan 3, 04:00 am",0,-8.5,0,0,0,0,0,-8.5,0,0,1,0,0,11.8
"Jan 3, 05:00 am",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,6.9
"Jan 3, 06:00 am",0,-8.2,0,0,0,0,0,-8.2,0,0,1,0,0,6.9
"Jan 3, 07:00 am",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,6.9
"Jan 3, 08:00 am",49.5875,-8.3,75.9163,79,73.1893,4,7,-8.99271,23.1031,0.0495875,1,2,18.3612,7.4
"Jan 3, 09:00 am",735.624,-8.3,68.6072,316,774.369,69,110,-6.17906,210.672,0.735624,1,1,196.509,7.4
"Jan 3, 10:00 am",118.194,-7.7,59.7602,0,143.118,38,38,-8.09069,36.0361,0.118194,1,1,36.0361,7.4
"Jan 3, 11:00 am",165.939,-7.1,53.3704,0,191.808,51,51,-7.57211,48.3981,0.165939,1,1,48.3981,5.3
"Jan 3, 12:00 pm",1742.84,-6.6,50.4282,481,1811.66,133,294,1.18074,480.491,1.74284,1,1,474.041,5.3
"Jan 3, 01:00 pm",1316.29,-5.9,51.5371,321,1371.22,131,234,0.301949,362.167,1.31629,1,1,357.468,5.3
"Jan 3, 02:00 pm",1769.12,-5.3,56.4563,684,1838.86,88,272,2.837,499.021,1.76912,1,1,484.549,5.8
"Jan 3, 03:00 pm",1257.03,-4.7,64.2998,702,1310.17,42,168,1.26197,367.762,1.25703,1,1,342.938,5.8
"Jan 3, 04:00 pm",440.872,-4.9,73.5479,416,472.586,16,43,-3.1454,144.607,0.440872,1,3,121.437,5.8
"Jan 3, 05:00 pm",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,1.8
"Jan 3, 06:00 pm",0,-5.3,0,0,0,0,0,-5.3,0,0,1,0,0,1.8
"Jan 3, 07:00 pm",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,1.8
"Jan 3, 08:00 pm",0,-5.8,0,0,0,0,0,-5.8,0,0,1,0,0,5
"Jan 3, 09:00 pm",0,-6.1,0,0,0,0,0,-6.1,0,0,1,0,0,5
"Jan 3, 10:00 pm",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,5
"Jan 3, 11:00 pm",0,-6.7,0,0,0,0,0,-6.7,0,0,1,0,0,8.9
"Jan 4, 12:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,8.9
"Jan 4, 01:00 am",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,8.9
"Jan 4, 02:00 am",0,-7.2,0,0,0,0,0,-7.2,0,0,1,0,0,10.7
"Jan 4, 03:00 am",0,-7.4,0,0,0,0,0,-7.4,0,0,1,0,0,10.7
"Jan 4, 04:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,10.7
"Jan 4, 05:00 am",0,-7.2,0,0,0,0,0,-7.2,0,0,1,0,0,9.6
"Jan 4, 06:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,9.6
"Jan 4, 07:00 am",0,-7.1,0,0,0,0,0,-7.1,0,0,1,0,0,9.6
"Jan 4, 08:00 am",49.0703,-7.3,75.9496,79,72.6623,4,7,-7.86706,23.0586,0.0490703,1,2,18.3125,9.5
"Jan 4, 09:00 am",737.438,-7.4,68.6111,316,776.228,70,111,-5.58189,211.63,0.737438,1,1,197.464,9.5
"Jan 4, 10:00 am",132.456,-6.9,59.7356,0,157.66,42,42,-7.20059,39.8419,0.132456,1,1,39.8419,9.5
"Jan 4, 11:00 am",738.272,-6.4,53.3113,90,777.083,125,152,-4.5651,200.022,0.738272,1,1,198.511,8.3
"Jan 4, 12:00 pm",635.138,-6,50.333,44,671.396,132,147,-4.42807,172.195,0.635138,1,1,171.61,8.3
"Jan 4, 01:00 pm",1283.56,-5.1,51.413,282,1337.5,141,232,-0.982146,350.89,1.28356,1,1,346.801,8.3
"Jan 4, 02:00 pm",1628.35,-4.3,56.3156,520,1693.29,129,270,1.88706,455.285,1.62835,1,1,444.393,7.5
"Jan 4, 03:00 pm",1271.01,-3.5,64.1536,705,1324.57,43,171,1.50971,371.785,1.27101,1,1,347.071,7.5
"Jan 4, 04:00 pm",445.903,-3.1,73.4961,423,477.73,16,44,-1.62304,147.055,0.445903,1,3,123.539,7.5
"Jan 4, 05:00 pm",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,4.9
"Jan 4, 06:00 pm",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,4.9
"Jan 4, 07:00 pm",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,4.9
"Jan 4, 08:00 pm",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,8.1
"Jan 4, 09:00 pm",0,-2.2,0,0,0,0,0,-2.2,0,0,1,0,0,8.1
"Jan 4, 10:00 pm",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,8.1
"Jan 4, 11:00 pm",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,8.2
"Jan 5, 12:00 am",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,8.2
"Jan 5, 01:00 am",0,-2.9,0,0,0,0,0,-2.9,0,0,1,0,0,8.2
"Jan 5, 02:00 am",0,-3,0,0,0,0,0,-3,0,0,1,0,0,8.9
"Jan 5, 03:00 am",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,8.9
"Jan 5, 04:00 am",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,8.9
"Jan 5, 05:00 am",0,-2.2,0,0,0,0,0,-2.2,0,0,1,0,0,7.6
"Jan 5, 06:00 am",0,-1.8,0,0,0,0,0,-1.8,0,0,1,0,0,7.6
"Jan 5, 07:00 am",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,7.6
"Jan 5, 08:00 am",16.2378,-2.5,75.982,34,39.2123,4,5,-3.27239,12.1151,0.0162378,1,2,10.0707,8.2
"Jan 5, 09:00 am",459.197,-2.9,68.609,136,491.324,61,79,-2.03919,132.93,0.459197,1,1,126.834,8.2
"Jan 5, 10:00 am",115.365,-2.7,59.7044,0,140.234,38,38,-3.13839,36.0358,0.115365,1,1,36.0358,8.2
"Jan 5, 11:00 am",165.961,-2.5,53.245,0,191.831,52,52,-2.86838,49.3499,0.165961,1,1,49.3499,7
"Jan 5, 12:00 pm",328.34,-2.3,50.2306,0,357.578,94,94,-1.96351,92.3369,0.32834,1,1,92.3369,7
"Jan 5, 01:00 pm",300.22,-2,51.2821,0,328.858,87,87,-1.73433,85.0019,0.30022,1,1,85.0019,7
