,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,8,0,0,0,0,0,8,0,0,1,0,0,1.4
"Jan 1, 01:00 am",0,7.4,0,0,0,0,0,7.4,0,0,1,0,0,1.4
"Jan 1, 02:00 am",0,6.8,0,0,0,0,0,6.8,0,0,1,0,0,1.4
"Jan 1, 03:00 am",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,1
"Jan 1, 04:00 am",0,5.8,0,0,0,0,0,5.8,0,0,1,0,0,1
"Jan 1, 05:00 am",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,1
"Jan 1, 06:00 am",0,5.3,0,0,0,0,0,5.3,0,0,1,0,0,5.1
"Jan 1, 07:00 am",64.9954,5,77.4456,121,88.8904,3,9,4.1598,31.0709,0.0649954,1,2,23.5557,5.1
"Jan 1, 08:00 am",787.261,5.9,68.3574,475,827.319,50,135,9.29371,245.185,0.787261,1,1,224.164,5.1
"Jan 1, 09:00 am",1544.4,6.9,56.6141,672,1606.55,69,292,16.9136,464.695,1.5444,1,1,450.316,3.2
"Jan 1, 10:00 am",2201.74,7.8,46.5,813,2287.43,80,445,23.0941,667.503,2.20174,1,1,659.629,3.2
"Jan 1, 11:00 am",2419.88,9.4,39.3487,787,2514.29,101,511,26.8587,741.946,2.41988,1,1,737.99,3.2
"Jan 1, 12:00 pm",2426.94,10.9,36.9401,675,2521.65,148,515,23.2501,730.362,2.42694,1,1,727.697,6.2
"Jan 1, 01:00 pm",2517.48,12.5,40.1412,802,2615.94,116,528,25.4816,767.2,2.51748,1,1,762.845,6.2
"Jan 1, 02:00 pm",2036.89,12.1,47.8349,713,2116.29,104,413,22.5254,616.397,2.03689,1,1,608.664,6.2
"Jan 1, 03:00 pm",1554.49,11.7,58.256,745,1616.97,63,294,19.9754,477.491,1.55449,1,1,459.611,5.7
"Jan 1, 04:00 pm",701.81,11.4,70.1611,509,739.707,39,116,14.9812,230.148,0.70181,1,1,205.542,5.7
"Jan 1, 05:00 pm",28.6846,9.9,78.3314,87,51.892,2,5,9.27567,19.5354,0.0286846,1,3,14.0591,5.7
"Jan 1, 06:00 pm",0,8.4,0,0,0,0,0,8.4,0,0,1,0,0,5.5
"Jan 1, 07:00 pm",0,6.9,0,0,0,0,0,6.9,0,0,1,0,0,5.5
"Jan 1, 08:00 pm",0,5.5,0,0,0,0,0,5.5,0,0,1,0,0,5.5
"Jan 1, 09:00 pm",0,4.1,0,0,0,0,0,4.1,0,0,1,0,0,2.9
"Jan 1, 10:00 pm",0,2.8,0,0,0,0,0,2.8,0,0,1,0,0,2.9
"Jan 1, 11:00 pm",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,2.9
"Jan 2, 12:00 am",0,1.1,0,0,0,0,0,1.1,0,0,1,0,0,4
"Jan 2, 01:00 am",0,0.3,0,0,0,0,0,0.3,0,0,1,0,0,4
"Jan 2, 02:00 am",0,-0.3,0,0,0,0,0,-0.3,0,0,1,0,0,4
"Jan 2, 03:00 am",0,-0.8,0,0,0,0,0,-0.8,0,0,1,0,0,2.6
"Jan 2, 04:00 am",0,-1.3,0,0,0,0,0,-1.3,0,0,1,0,0,2.6
"Jan 2, 05:00 am",0,-1.5,0,0,0,0,0,-1.5,0,0,1,0,0,2.6
"Jan 2, 06:00 am",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,4.2
"Jan 2, 07:00 am",74.1795,-1.8,77.4954,133,98.2503,3,9,-2.70301,33.5608,0.0741795,1,2,25.293,4.2
"Jan 2, 08:00 am",862.047,-1.8,68.4152,525,904.051,48,141,2.29927,260.981,0.862047,1,1,237.678,4.2
"Jan 2, 09:00 am",1691.71,-1.7,56.6499,725,1758.78,63,304,5.57433,484.464,1.69171,1,1,468.912,6.4
"Jan 2, 10:00 am",2390.64,-1.6,46.5037,831,2483.85,81,455,9.2808,681.018,2.39064,1,1,672.967,6.4
"Jan 2, 11:00 am",2638.03,-1,39.3075,806,2741.62,98,519,11.3527,753.638,2.63803,1,1,749.603,6.4
"Jan 2, 12:00 pm",2803.69,-0.5,36.8495,871,2914.56,81,555,11.7627,801.74,2.80369,1,1,798.334,7.2
"Jan 2, 01:00 pm",2629.6,0.1,40.0165,819,2732.83,94,516,11.6401,752.544,2.6296,1,1,748.15,7.2
"Jan 2, 02:00 pm",2299.04,0.6,47.6972,817,2388.57,82,438,10.6276,659.747,2.29904,1,1,650.988,7.2
"Jan 2, 03:00 pm",1597,1.1,58.1173,732,1660.89,58,287,8.81357,466.48,1.597,1,1,449.078,6.1
"Jan 2, 04:00 pm",722.61,1.6,70.0271,486,761.027,41,116,4.85278,225.617,0.72261,1,1,202.27,6.1
"Jan 2, 05:00 pm",30.4361,0.9,78.2867,86,53.6765,2,5,0.225372,19.3989,0.0304361,1,3,13.9885,6.1
"Jan 2, 06:00 pm",0,0.1,0,0,0,0,0,0.1,0,0,1,0,0,5.1
"Jan 2, 07:00 pm",0,-0.6,0,0,0,0,0,-0.6,0,0,1,0,0,5.1
"Jan 2, 08:00 pm",0,-1.6,0,0,0,0,0,-1.6,0,0,1,0,0,5.1
"Jan 2, 09:00 pm",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,4
"Jan 2, 10:00 pm",0,-3.5,0,0,0,0,0,-3.5,0,0,1,0,0,4
"Jan 2, 11:00 pm",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,4
"Jan 3, 12:00 am",0,-4,0,0,0,0,0,-4,0,0,1,0,0,1.9
"Jan 3, 01:00 am",0,-4.3,0,0,0,0,0,-4.3,0,0,1,0,0,1.9
"Jan 3, 02:00 am",0,-4.4,0,0,0,0,0,-4.4,0,0,1,0,0,1.9
"Jan 3, 03:00 am",0,-4.5,0,0,0,0,0,-4.5,0,0,1,0,0,2.6
"Jan 3, 04:00 am",0,-4.7,0,0,0,0,0,-4.7,0,0,1,0,0,2.6
"Jan 3, 05:00 am",0,-5.1,0,0,0,0,0,-5.1,0,0,1,0,0,2.6
"Jan 3, 06:00 am",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,3.6
"Jan 3, 07:00 am",72.4766,-6.1,77.5449,128,96.5148,3,9,-7.13975,32.36,0.0724766,1,2,24.3961,3.6
"Jan 3, 08:00 am",852.753,-5.3,68.4687,509,894.512,48,138,-0.999115,254.576,0.852753,1,1,231.922,3.6
