Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
0.5,11.1,11.1,11.1,100,2.6,290
1.5,11.1,11.1,11.1,100,2.1,280
2.5,11.1,11.1,11.1,100,3.6,320
3.5,9.4,8.9,8.79434,96,5.2,350
4.5,7.2,6.7,6.60507,96,6.2,360
5.5,5.6,4.4,4.55808,93,7.2,360
6.5,4.4,3.9,3.81858,96,7.2,10
7.5,4.4,3.3,3.36831,93,5.7,360
8.5,4.4,3.3,3.36831,93,6.7,350
9.5,3.9,2.2,2.25437,89,7.2,360
10.5,2.8,1.1,1.16928,89,6.7,20
11.5,2.8,0.6,0.693651,86,8.2,360
12.5,2.8,1.1,1.16928,89,6.2,340
13.5,2.8,0,0.0361353,82,5.7,10
14.5,2.8,-1.1,-1.00539,76,5.7,20
15.5,3.3,-1.1,-1.07168,73,5.2,10
16.5,2.8,-1.7,-1.55373,73,5.2,360
17.5,2.2,-1.1,-1.05967,79,3.6,360
18.5,2.2,-1.7,-1.58658,76,3.6,350
19.5,2.2,-1.7,-1.58658,76,6.2,350
20.5,1.1,-2.8,-2.6522,76,6.7,350
21.5,0.6,-3.9,-3.67515,73,6.2,360
22.5,0.6,-5,-4.81377,67,4.6,340
23.5,0,-5.6,-5.38685,67,5.2,360
24.5,0,-5.6,-5.38685,67,4.1,350
25.5,0,-6.1,-5.98751,64,5.7,10
26.5,-0.6,-6.1,-5.95999,67,4.6,350
27.5,-0.6,-6.1,-5.95999,67,4.6,350
28.5,-1.1,-6.1,-6.05384,69,4.6,360
29.5,-1.7,-6.7,-6.629,69,4.6,360
30.5,-2.2,-6.7,-6.5558,72,4.1,360
31.5,-1.7,-6.7,-6.629,69,4.1,360
32.5,-0.6,-6.1,-5.95999,67,5.7,20
33.5,1.1,-6.1,-6.01091,59,4.6,20
34.5,2.8,-4.4,-4.41098,59,3.6,360
35.5,4.4,-5,-4.84631,51,4.1,330
36.5,5.6,-3.3,-3.22241,53,4.6,340
37.5,5,-4.4,-4.29132,51,3.6,50
38.5,4.4,-5,-4.84631,51,5.2,10
39.5,4.4,-5,-4.84631,51,5.2,10
40.5,3.3,-3.9,-3.71662,60,3.1,360
41.5,2.8,-4.4,-4.41098,59,2.6,30
42.5,1.7,-4.4,-4.37237,64,3.6,350
43.5,2.2,-6.7,-6.62991,52,3.6,360
44.5,1.7,-6.7,-6.6039,54,3.1,30
45.5,1.1,-6.7,-6.46096,57,3.1,20
46.5,1.1,-5.6,-5.36057,62,3.6,30
47.5,1.1,-5.6,-5.36057,62,3.1,20
48.5,1.1,-5,-4.94235,64,2.1,30
49.5,0.6,-3.9,-3.67515,73,2.1,340
50.5,1.1,-4.4,-4.33625,67,2.1,20
51.5,1.1,-3.3,-3.19294,73,0,0
52.5,1.1,-2.8,-2.6522,76,0,0
53.5,1.7,-2.8,-2.61435,73,2.1,310
54.5,1.7,-1.7,-1.54618,79,0,0
55.5,2.2,-1.1,-1.05967,79,0,0
56.5,3.9,0,0.0599979,76,2.1,40
57.5,6.1,1.1,1.24013,71,3.1,120
58.5,6.7,2.2,2.39614,74,5.7,120
59.5,6.1,3.3,3.43177,83,3.1,130
60.5,5,4.4,4.41569,96,2.1,60
61.5,5,4.4,4.41569,96,3.1,350
62.5,5,5,5,100,4.1,320
63.5,4.4,3.3,3.36831,93,3.6,340
64.5,3.9,3.3,3.32097,96,2.6,70
65.5,3.3,2.2,2.27764,93,3.1,10
66.5,2.8,1.1,1.16928,89,5.2,330
67.5,2.2,1.1,1.18694,93,3.6,20
68.5,2.2,1.1,1.18694,93,4.1,330
69.5,1.7,1.1,1.13146,96,3.1,10
70.5,0,0,0,100,4.1,320
71.5,0.6,0.6,0.6,100,3.6,340
72.5,0.6,0.6,0.6,100,4.6,350
73.5,0.6,0.6,0.6,100,4.1,340
74.5,0.6,0,0.0366637,96,3.6,290
75.5,1.1,0,-0.0526327,92,3.6,310
76.5,0,-1.1,-1.14206,92,2.6,330
77.5,-0.6,-1.1,-1.15768,96,2.1,300
78.5,-0.6,-1.1,-1.15768,96,2.6,310
79.5,0.6,-0.6,-0.547823,92,3.1,300
80.5,1.1,-1.1,-1.13635,85,5.2,310
81.5,2.8,-1.1,-1.00539,76,5.2,340
82.5,4.4,-1.1,-0.983734,68,3.6,310
83.5,4.4,3.9,3.81858,96,5.2,310
84.5,4.4,3.3,3.36831,93,4.6,310
85.5,5.6,-2.2,-2.00883,58,5.7,280
86.5,6.1,-3.9,-3.80842,49,7.2,300
87.5,5,-6.1,-5.94056,45,7.2,310
88.5,3.3,-4.4,-4.39867,57,4.1,310
89.5,2.2,-6.7,-6.62991,52,6.2,320
90.5,1.1,-6.7,-6.46096,57,6.2,320
91.5,0.6,-10,-9.67807,46,7.2,320
92.5,-0.6,-10,-9.98178,49,5.7,330
93.5,-1.1,-10,-9.93864,51,6.2,320
94.5,-2.2,-10,-9.78084,56,3.6,320
95.5,-2.8,-9.4,-9.26092,61,2.6,290
96.5,-2.8,-6.7,-6.60401,75,1.5,270
97.5,-3.3,-7.8,-7.61558,72,3.6,310
98.5,-3.3,-8.3,-8.16309,69,4.1,330
99.5,-3.9,-8.9,-8.73848,69,6.2,20
100.5,-5,-11.7,-11.5482,60,6.7,360
101.5,-5.6,-13.9,-13.875,52,6.7,340
102.5,-6.1,-12.8,-12.5873,60,4.1,360
103.5,-5.6,-12.8,-12.749,57,5.7,30
104.5,-5.6,-14.4,-14.3526,50,5.2,10
105.5,-4.4,-15.6,-15.3611,42,6.2,10
106.5,-3.9,-16.1,-15.7994,39,5.7,360
107.5,-2.8,-14.4,-14.202,41,2.6,320
108.5,-2.8,-15,-14.8088,39,4.6,10
109.5,-2.8,-14.4,-14.202,41,3.6,20
110.5,-2.8,-15,-14.8088,39,3.6,50
111.5,-3.3,-14.4,-14.3622,42,5.2,10
112.5,-3.3,-13.9,-13.7956,44,3.6,360
113.5,-3.3,-13.3,-13.2514,46,4.1,30
114.5,-3.3,-13.9,-13.7956,44,4.1,360
115.5,-3.9,-14.4,-14.3431,44,6.2,20
116.5,-3.9,-15,-14.907,42,4.1,40
117.5,-3.9,-15,-14.907,42,5.2,360
118.5,-4.4,-14.4,-14.2602,46,4.1,20
119.5,-5,-13.9,-13.797,50,5.7,350
120.5,-5.6,-14.4,-14.3526,50,5.2,360
121.5,-5.6,-14.4,-14.3526,50,6.2,10
122.5,-6.7,-13.9,-13.7824,57,7.2,20
123.5,-6.7,-15.6,-15.3713,50,6.2,20
124.5,-6.7,-15.6,-15.3713,50,6.7,10
125.5,-7.2,-15.6,-15.3633,52,7.7,10
126.5,-7.2,-15.6,-15.3633,52,6.2,20
127.5,-7.2,-16.7,-16.574,47,6.7,10
128.5,-7.2,-16.1,-15.8345,50,5.7,20
129.5,-6.7,-15.6,-15.3713,50,6.2,30
130.5,-5.6,-15.6,-15.3612,46,5.2,20
