Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind direction (deg),Wind speed (m/s)
0.5,-3.9,-5.6,-5.89111,86,50,1
1.5,-3.4,-5.6,-5.86539,83,70,1.5
2.5,-3.4,-6.2,-6.51025,79,40,1.5
3.5,-2.8,-6.7,-7.13384,72,40,2
4.5,-2.8,-6.7,-7.13384,72,100,1
5.5,-2.8,-6.2,-6.60401,75,20,1.5
6.5,-2.3,-5.6,-5.94693,76,30,2.5
7.5,1.1,-4.5,-5.14999,63,40,2.5
8.5,2.7,-2.8,-3.21509,65,40,3.6
9.5,4.4,-1.2,-1.39051,66,50,3.6
10.5,6.1,0.5,0.43642,67,60,3
11.5,7.2,1.1,1.06422,65,50,3.6
12.5,8.3,2.7,2.74341,68,30,2
13.5,8.8,3.3,3.22105,68,20,2.5
14.5,6.6,5.5,5.54951,93,310,3.6
15.5,5.5,5,5.06196,97,40,2.5
16.5,5.5,5,5.06196,97,290,3
17.5,5.5,5,5.06196,97,280,4.6
18.5,5,5,5,100,10,1
19.5,4.4,3.8,3.81858,96,20,2
20.5,5,3.8,3.8095,92,350,1.5
21.5,5,3.8,3.8095,92,240,1.5
22.5,5,3.8,3.8095,92,310,2
23.5,5,3.8,3.8095,92,20,0.5
24.5,5,4.4,4.41569,96,290,3.6
25.5,4.4,3.8,3.81858,96,280,4.6
26.5,3.8,3.3,3.36805,97,250,2
27.5,3.8,3.3,3.36805,97,270,3.6
28.5,3.8,3.8,3.8,100,270,1.5
29.5,3.8,3.3,3.36805,97,260,2
30.5,3.8,3.8,3.8,100,280,2.5
31.5,3.8,3.8,3.8,100,20,2
32.5,2.7,1.6,1.53191,92,70,2.5
33.5,6.1,2.2,2.19031,76,0,0
34.5,8.3,5,5.05407,80,80,2
35.5,10.5,5,5.05409,69,150,1
36.5,12.2,5.5,5.59064,64,70,2.5
37.5,13.3,7.2,7.30108,67,60,0.5
38.5,13.8,6.6,6.64427,62,290,1.5
39.5,13.3,7.2,7.30108,67,30,2
40.5,12.7,7.2,7.1582,69,50,2
