,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"May 5, 02:00 am",0,22,0,0,0,0,0,22,0,0,1,0,0,7.1
"May 5, 03:00 am",0,21.8,0,0,0,0,0,21.8,0,0,1,0,0,7.1
"May 5, 04:00 am",0,21.8,0,0,0,0,0,21.8,0,0,1,0,0,7.1
"May 5, 05:00 am",0,21.8,93.2709,0,9.94254,3,3,20.6327,2.83464,0,1,2,2.83464,5.1
"May 5, 06:00 am",104.704,21.8,83.1024,0,129.365,39,39,21.2989,36.9956,0.104704,1,1,36.9956,5.1
"May 5, 07:00 am",494.345,23,69.1222,27,527.275,152,163,24.856,154.551,0.494345,1,1,153.309,5.1
"May 5, 08:00 am",1333.66,24.2,54.9595,197,1389.13,309,424,29.9247,417.487,1.33366,1,1,413.748,7.4
"May 5, 09:00 am",369.647,25.5,40.6884,0,399.781,123,123,26.8409,117.333,0.369647,1,1,117.333,7.4
"May 5, 10:00 am",650.19,26.6,26.3506,1,686.815,211,212,29.0039,203.665,0.65019,1,1,203.664,7.4
"May 5, 11:00 am",702.968,27.8,11.976,3,740.894,226,229,29.9522,220.703,0.702968,1,1,220.703,10.9
"May 5, 12:00 pm",653.03,28.9,2.41609,9,689.724,205,213,30.9054,206.407,0.65303,1,1,206.407,10.9
"May 5, 01:00 pm",2479.24,29.4,16.7981,465,2576.11,332,752,38.6765,801.145,2.47924,1,1,801.017,10.9
"May 5, 02:00 pm",1316.65,29.8,31.1604,81,1371.59,353,419,35.0044,418.93,1.31665,1,1,418.76,10.2
"May 5, 03:00 pm",1530.58,30.3,45.4745,248,1592.28,313,484,36.1843,491.181,1.53058,1,1,488.984,10.2
"May 5, 04:00 pm",437.79,29.5,59.7074,7,469.435,144,148,30.9474,140.697,0.43779,1,1,140.511,10.2
"May 5, 05:00 pm",256.241,28.7,73.8099,0,283.954,89,89,29.2142,84.2869,0.256241,1,1,84.2869,9.4
"May 5, 06:00 pm",53.5311,28,87.6786,0,77.2078,24,24,27.6345,22.7455,0.0535311,1,1,22.7455,9.4
"May 5, 07:00 pm",0,27,95.3655,0,0,0,0,27,0,0,1,3,0,9.4
"May 5, 08:00 pm",0,26.1,0,0,0,0,0,26.1,0,0,1,0,0,8.9
"May 5, 09:00 pm",0,25.2,0,0,0,0,0,25.2,0,0,1,0,0,8.9
"May 5, 10:00 pm",0,24.3,0,0,0,0,0,24.3,0,0,1,0,0,8.9
"May 5, 11:00 pm",0,23.5,0,0,0,0,0,23.5,0,0,1,0,0,8.8
"May 6, 12:00 am",0,22.6,0,0,0,0,0,22.6,0,0,1,0,0,8.8
"May 6, 01:00 am",0,22.4,0,0,0,0,0,22.4,0,0,1,0,0,8.8
"May 6, 02:00 am",0,22.2,0,0,0,0,0,22.2,0,0,1,0,0,6.9
"May 6, 03:00 am",0,21.9,0,0,0,0,0,21.9,0,0,1,0,0,6.9
"May 6, 04:00 am",0,21.6,0,0,0,0,0,21.6,0,0,1,0,0,6.9
"May 6, 05:00 am",0,21.3,93.283,10,12.3641,4,5,20.2009,3.51804,0,1,2,3.51804,5.6
"May 6, 06:00 am",202.409,21.1,83.0114,36,229.014,68,75,21.1819,67.6109,0.202409,1,1,65.4578,5.6
"May 6, 07:00 am",801.996,21.9,69.0468,243,842.433,175,273,25.5638,256.894,0.801996,1,1,245.76,5.6
"May 6, 08:00 am",553.997,22.8,54.8981,4,588.315,177,179,25.0487,171.287,0.553997,1,1,171.212,6.1
"May 6, 09:00 am",1586.02,23.7,40.6399,197,1649.54,346,491,31.5145,496.221,1.58602,1,1,495.099,6.1
"May 6, 10:00 am",1624.71,24.3,26.3144,125,1689.52,393,500,32.7813,510.378,1.62471,1,1,510.234,6.1
"May 6, 11:00 am",500.7,25,11.9539,7,533.776,156,162,26.6404,156.512,0.5007,1,1,156.511,9.8
"May 6, 12:00 pm",2644.38,25.7,2.46424,430,2748.25,387,791,36.0868,843.571,2.64438,1,1,843.57,9.8
"May 6, 01:00 pm",2858.53,26.5,16.8096,593,2971.87,331,867,38.4125,923.014,2.85853,1,1,922.851,9.8
"May 6, 02:00 pm",1613.38,27.3,31.1588,154,1677.81,378,504,35.4057,513.589,1.61338,1,1,513.266,7.3
"May 6, 03:00 pm",1877.71,28.1,45.4604,487,1951.29,255,592,37.2613,606.763,1.87771,1,1,602.452,7.3
"May 6, 04:00 pm",1456.1,28.1,59.6799,579,1515.4,183,488,35.3557,478.774,1.4561,1,1,463.47,7.3
"May 6, 05:00 pm",415.883,28,73.7675,46,447.037,130,146,29.938,135.74,0.415883,1,1,133.157,6.4
"May 6, 06:00 pm",75.6743,28,87.6197,0,99.7738,31,31,27.7219,29.4058,0.0756743,1,1,29.4058,6.4
"May 6, 07:00 pm",0,27.4,95.3966,0,3.30987,1,1,26.4981,0.969846,0,1,3,0.969846,6.4
"May 6, 08:00 pm",0,26.9,0,0,0,0,0,26.9,0,0,1,0,0,5.3
