,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,2.2
"Jan 1, 01:00 am",0,2.4,0,0,0,0,0,2.4,0,0,1,0,0,2.2
"Jan 1, 02:00 am",0,2.1,0,0,0,0,0,2.1,0,0,1,0,0,2.2
"Jan 1, 03:00 am",0,1.9,0,0,0,0,0,1.9,0,0,1,0,0,6
"Jan 1, 04:00 am",0,1.7,0,0,0,0,0,1.7,0,0,1,0,0,6
"Jan 1, 05:00 am",0,2.2,0,0,0,0,0,2.2,0,0,1,0,0,6
"Jan 1, 06:00 am",0,2.7,0,0,0,0,0,2.7,0,0,1,0,0,6.6
"Jan 1, 07:00 am",0,3.2,78.1334,0,0,0,0,3.2,0,0,1,2,0,6.6
"Jan 1, 08:00 am",12.9499,4.2,72.5418,0,35.863,10,10,3.13241,9.462,0.0129499,1,1,9.462,6.6
"Jan 1, 09:00 am",114.35,5.3,62.5875,0,139.199,39,39,4.82668,36.993,0.11435,1,1,36.993,9
"Jan 1, 10:00 am",141.521,6.4,54.6037,0,166.904,47,47,6.05719,44.5913,0.141521,1,1,44.5913,9
"Jan 1, 11:00 am",176.243,6.5,49.6516,0,202.319,57,57,6.29396,54.1084,0.176244,1,1,54.1084,9
"Jan 1, 12:00 pm",240.007,6.5,48.6833,0,267.384,75,75,6.55186,71.589,0.240007,1,1,71.589,4.7
"Jan 1, 01:00 pm",158.846,6.6,51.9243,0,184.574,52,52,6.229,49.3487,0.158846,1,1,49.3487,4.7
"Jan 1, 02:00 pm",120.633,6.6,58.674,0,145.604,41,41,5.97441,38.8868,0.120633,1,1,38.8868,4.7
"Jan 1, 03:00 pm",37.0057,6.7,67.8648,0,60.3696,17,17,5.57498,16.0953,0.0370057,1,1,16.0953,4.6
"Jan 1, 04:00 pm",0,6.7,75.7904,0,3.54728,1,1,5.2184,0.9443,0,1,3,0.9443,4.6
"Jan 1, 05:00 pm",0,6.7,0,0,0,0,0,6.7,0,0,1,0,0,4.6
"Jan 1, 06:00 pm",0,6.6,0,0,0,0,0,6.6,0,0,1,0,0,2.4
"Jan 1, 07:00 pm",0,6.6,0,0,0,0,0,6.6,0,0,1,0,0,2.4
"Jan 1, 08:00 pm",0,6.3,0,0,0,0,0,6.3,0,0,1,0,0,2.4
"Jan 1, 09:00 pm",0,5.9,0,0,0,0,0,5.9,0,0,1,0,0,4
