,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,1.8,0,0,0,0,0,1.8,0,0,1,0,0,4.4
"Jan 1, 01:00 am",0,1.3,0,0,0,0,0,1.3,0,0,1,0,0,4.4
"Jan 1, 02:00 am",0,0.8,0,0,0,0,0,0.8,0,0,1,0,0,3.4
"Jan 1, 03:00 am",0,0.3,0,0,0,0,0,0.3,0,0,1,0,0,3.4
"Jan 1, 04:00 am",0,0,0,0,0,0,0,0,0,0,1,0,0,3.4
"Jan 1, 05:00 am",0,-0.4,0,0,0,0,0,-0.4,0,0,1,0,0,3.5
"Jan 1, 06:00 am",0,-0.7,0,0,0,0,0,-0.7,0,0,1,0,0,3.5
"Jan 1, 07:00 am",242.212,0.7,75.4146,304,7,269.634,31,0.976447,88.4886,0.242212,1,2,70.4917,3.5
"Jan 1, 08:00 am",1245.11,2.1,63.9007,706,48,1297.89,223,10.0001,377.136,1.24511,1,1,352.757,2.8
"Jan 1, 09:00 am",1975.88,3.5,52.1238,764,90,2053.02,395,17.4345,588.531,1.97588,1,1,576.823,2.8
"Jan 1, 10:00 am",2092.18,6,42.1559,567,168,2173.66,457,21.3468,625.486,2.09218,1,1,621.76,2.8
"Jan 1, 11:00 am",2739.14,8.6,35.5933,836,122,2847.15,600,26.2894,836.306,2.73914,1,1,833.438,4.2
"Jan 1, 12:00 pm",2766.17,11.1,34.4553,929,71,2875.37,612,29.6567,858.141,2.76617,1,1,855.32,4.2
"Jan 1, 01:00 pm",2503.76,12.5,39.219,880,74,2601.65,548,29.3849,777.256,2.50376,1,1,772.888,4.2
"Jan 1, 02:00 pm",2039.29,13.9,48.1576,819,69,2118.78,434,29.8772,640.055,2.03929,1,1,630.93,2.8
"Jan 1, 03:00 pm",1392.23,15.3,59.4002,717,57,1449.51,278,26.1873,442.708,1.39223,1,1,424.108,2.8
"Jan 1, 04:00 pm",564.6,14.8,71.822,444,37,599.168,98,19.0725,192.714,0.5646,1,1,169.605,2.8
"Jan 1, 05:00 pm",2.77616,14.4,79.347,50,1,25.5002,2,13.4986,10.2128,0.00277616,1,3,7.03889,4.2
"Jan 1, 06:00 pm",0,13.9,0,0,0,0,0,13.9,0,0,1,0,0,4.2
"Jan 1, 07:00 pm",0,13.4,0,0,0,0,0,13.4,0,0,1,0,0,4.2
"Jan 1, 08:00 pm",0,13,0,0,0,0,0,13,0,0,1,0,0,3.6
"Jan 1, 09:00 pm",0,12.5,0,0,0,0,0,12.5,0,0,1,0,0,3.6
"Jan 1, 10:00 pm",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,3.6
"Jan 1, 11:00 pm",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,4.9
"Jan 2, 12:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,4.9
"Jan 2, 01:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,4.9
"Jan 2, 02:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,4.8
"Jan 2, 03:00 am",0,12.5,0,0,0,0,0,12.5,0,0,1,0,0,4.8
"Jan 2, 04:00 am",0,12.6,0,0,0,0,0,12.6,0,0,1,0,0,4.8
"Jan 2, 05:00 am",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,5.2
"Jan 2, 06:00 am",0,13,0,0,0,0,0,13,0,0,1,0,0,5.2
"Jan 2, 07:00 am",0,13.8,75.4655,0,5,17.1933,5,12.5668,4.72628,0,1,2,4.72628,5.2
"Jan 2, 08:00 am",105.611,14.7,63.9605,0,38,130.29,38,13.9359,36.0344,0.105611,1,1,36.0344,3.8
"Jan 2, 09:00 am",487.516,15.6,52.1602,3,145,520.29,146,17.4188,146.218,0.487516,1,1,146.172,3.8
"Jan 2, 10:00 am",441.804,17.7,42.157,0,138,473.539,138,19.5257,134.322,0.441804,1,1,134.322,3.8
"Jan 2, 11:00 am",438.725,19.9,35.5444,0,139,470.39,139,21.5102,134.653,0.438725,1,1,134.653,4.9
"Jan 2, 12:00 pm",420.095,22.1,34.355,0,135,451.343,135,23.6677,130.503,0.420095,1,1,130.503,4.9
"Jan 2, 01:00 pm",655.492,22.7,39.089,8,197,692.247,201,25.6884,202.105,0.655492,1,1,202.065,4.9
"Jan 2, 02:00 pm",815.761,23.3,48.0195,54,204,856.554,228,28.104,253.502,0.815761,1,1,252.907,3.5
"Jan 2, 03:00 pm",514.401,23.9,59.2637,56,126,547.794,143,26.7638,162.154,0.514401,1,1,160.715,3.5
"Jan 2, 04:00 pm",489.014,22.6,71.6916,270,62,521.821,100,25.3219,166.031,0.489014,1,1,152.056,3.5
"Jan 2, 05:00 pm",0,21.4,79.3057,32,1,17.1138,2,20.5405,6.90807,0,1,3,4.8771,4.7
"Jan 2, 06:00 pm",0,20.1,0,0,0,0,0,20.1,0,0,1,0,0,4.7
"Jan 2, 07:00 pm",0,19.2,0,0,0,0,0,19.2,0,0,1,0,0,4.7
"Jan 2, 08:00 pm",0,18.4,0,0,0,0,0,18.4,0,0,1,0,0,5.2
"Jan 2, 09:00 pm",0,17.6,0,0,0,0,0,17.6,0,0,1,0,0,5.2
"Jan 2, 10:00 pm",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,5.2
"Jan 2, 11:00 pm",0,16.9,0,0,0,0,0,16.9,0,0,1,0,0,4.9
"Jan 3, 12:00 am",0,16.5,0,0,0,0,0,16.5,0,0,1,0,0,4.9
"Jan 3, 01:00 am",0,16.4,0,0,0,0,0,16.4,0,0,1,0,0,4.9
"Jan 3, 02:00 am",0,16.2,0,0,0,0,0,16.2,0,0,1,0,0,5
"Jan 3, 03:00 am",0,16,0,0,0,0,0,16,0,0,1,0,0,5
"Jan 3, 04:00 am",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,5
"Jan 3, 05:00 am",0,15.9,0,0,0,0,0,15.9,0,0,1,0,0,5.9
"Jan 3, 06:00 am",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,5.9
"Jan 3, 07:00 am",4.39578,16.7,75.5161,0,8,27.1499,8,15.6458,7.56669,0.00439578,1,2,7.56669,5.9
"Jan 3, 08:00 am",164.283,17.7,64.0162,0,56,190.119,56,17.4865,53.4291,0.164283,1,1,53.4291,6.1
"Jan 3, 09:00 am",312.099,18.7,52.1915,0,100,340.99,100,19.3168,96.6312,0.312099,1,1,96.6312,6.1
"Jan 3, 10:00 am",300.791,19.4,42.1518,0,98,329.441,98,20.031,93.6647,0.300791,1,1,93.6647,6.1
"Jan 3, 11:00 am",309.056,20.2,35.4883,0,101,337.881,101,20.8673,96.4347,0.309056,1,1,96.4347,6.4
"Jan 3, 12:00 pm",314.608,20.9,34.2476,0,103,343.552,103,21.6148,98.3922,0.314608,1,1,98.3922,6.4
"Jan 3, 01:00 pm",277.812,21,38.9533,0,92,305.977,92,21.5352,87.5986,0.277813,1,1,87.5986,6.4
"Jan 3, 02:00 pm",218.731,21.2,47.8772,0,74,245.669,74,21.4635,70.3097,0.218731,1,1,70.3097,5.3
"Jan 3, 03:00 pm",762.413,21.3,59.1245,171,134,801.836,187,24.705,237.328,0.762413,1,1,232.974,5.3
"Jan 3, 04:00 pm",450.351,20.7,71.5596,252,54,482.278,90,22.7304,151.81,0.450351,1,1,138.84,5.3
"Jan 3, 05:00 pm",0,20.2,79.2651,32,1,17.2908,2,19.3087,6.93033,0,1,3,4.89976,4.9
"Jan 3, 06:00 pm",0,19.6,0,0,0,0,0,19.6,0,0,1,0,0,4.9
"Jan 3, 07:00 pm",0,18.9,0,0,0,0,0,18.9,0,0,1,0,0,4.9
"Jan 3, 08:00 pm",0,18.3,0,0,0,0,0,18.3,0,0,1,0,0,4.3
"Jan 3, 09:00 pm",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,4.3
"Jan 3, 10:00 pm",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,4.3
"Jan 3, 11:00 pm",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,6.8
"Jan 4, 12:00 am",0,17.7,0,0,0,0,0,17.7,0,0,1,0,0,6.8
"Jan 4, 01:00 am",0,17.6,0,0,0,0,0,17.6,0,0,1,0,0,6.8
"Jan 4, 02:00 am",0,17.5,0,0,0,0,0,17.5,0,0,1,0,0,3.2
"Jan 4, 03:00 am",0,17.4,0,0,0,0,0,17.4,0,0,1,0,0,3.2
"Jan 4, 04:00 am",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,3.2
"Jan 4, 05:00 am",0,17.1,0,0,0,0,0,17.1,0,0,1,0,0,4
"Jan 4, 06:00 am",0,16.9,0,0,0,0,0,16.9,0,0,1,0,0,4
"Jan 4, 07:00 am",158.715,17.5,75.5661,148,13,184.44,25,17.3552,60.6015,0.158715,1,2,51.8021,4
"Jan 4, 08:00 am",855.639,18.2,64.0676,346,97,897.474,182,23.8541,271.792,0.855639,1,1,259.724,2.1
"Jan 4, 09:00 am",902.512,18.9,52.2176,123,182,945.59,231,25.3934,277.531,0.902512,1,1,275.633,2.1
