,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Dec 3, 01:00 pm",1607.25,20,42.6689,330,1671.48,221,381,30.2896,500.996,1.60725,1,1,498.722,4.1
"Dec 3, 02:00 pm",1477.92,19.4,50.8503,493,1537.92,124,321,30.7276,466.678,1.47792,1,1,459.841,2.6
"Dec 3, 03:00 pm",762.065,18.9,61.4785,266,801.479,95,167,23.9019,239.902,0.762065,1,1,231.996,3.6
"Dec 3, 04:00 pm",293.824,15.6,73.4378,110,322.326,49,61,16.8685,96.432,0.293824,1,1,90.3298,3.1
"Dec 3, 05:00 pm",0,12.8,79.8875,4,8.73296,2,3,11.3636,2.64202,0,1,3,2.38785,3.1
"Dec 3, 06:00 pm",0,13.3,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Dec 3, 07:00 pm",0,10,0,0,0,0,0,10,0,0,1,0,0,4.6
"Dec 3, 08:00 pm",0,10.6,0,0,0,0,0,10.6,0,0,1,0,0,3.6
"Dec 3, 09:00 pm",0,8.9,0,0,0,0,0,8.9,0,0,1,0,0,4.6
"Dec 3, 10:00 pm",0,8.3,0,0,0,0,0,8.3,0,0,1,0,0,4.1
"Dec 3, 11:00 pm",0,7.8,0,0,0,0,0,7.8,0,0,1,0,0,3.6
"Dec 4, 12:00 am",0,6.7,0,0,0,0,0,6.7,0,0,1,0,0,4.1
"Dec 4, 01:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,4.6
"Dec 4, 02:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.2
"Dec 4, 03:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.7
"Dec 4, 04:00 am",0,5.6,0,0,0,0,0,5.6,0,0,1,0,0,5.2
"Dec 4, 05:00 am",0,5,0,0,0,0,0,5,0,0,1,0,0,3.1
"Dec 4, 06:00 am",0,4.4,0,0,0,0,0,4.4,0,0,1,0,0,5.2
"Dec 4, 07:00 am",38.1659,5,76.642,1,61.5517,17,18,3.89102,16.3534,0.0381659,1,2,16.2923,5.2
"Dec 4, 08:00 am",246.925,5.6,66.8598,7,274.444,70,71,5.62645,73.4727,0.246925,1,1,73.1864,6.2
"Dec 4, 09:00 am",464.383,5.6,55.5342,4,496.628,130,131,6.86397,133.226,0.464383,1,1,133.147,5.2
"Dec 4, 10:00 am",1017.14,7.8,46.0918,102,1063.34,205,251,11.2637,291.574,1.01714,1,1,290.62,7.7
"Dec 4, 11:00 am",837,8.3,39.9332,3,878.346,233,235,11.5912,240.423,0.837,1,1,240.407,6.2
"Dec 4, 12:00 pm",653.676,8.9,38.6718,12,690.386,180,186,10.8229,188.378,0.653676,1,1,188.322,8.2
"Dec 4, 01:00 pm",366.44,8.9,42.7448,12,396.504,103,109,9.88278,107.794,0.36644,1,1,107.711,5.2
"Dec 4, 02:00 pm",296.185,8.3,50.882,2,324.737,90,91,8.68857,87.7835,0.296185,1,1,87.7557,6.7
"Dec 4, 03:00 pm",192.169,7.2,61.4767,3,218.566,60,60,7.0723,58.7398,0.192169,1,1,58.6507,6.2
"Dec 4, 04:00 pm",48.2484,6.7,73.4111,1,71.8248,20,20,5.98562,19.2388,0.0482484,1,1,19.1833,8.2
