,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,9.5
"Jan 1, 01:00 am",0,-4.9,0,0,0,0,0,-4.9,0,0,1,0,0,9.5
"Jan 1, 02:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,6.5
"Jan 1, 03:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,6.5
"Jan 1, 04:00 am",0,-5.5,0,0,0,0,0,-5.5,0,0,1,0,0,6.5
"Jan 1, 05:00 am",0,-5.9,0,0,0,0,0,-5.9,0,0,1,0,0,7.5
"Jan 1, 06:00 am",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,7.5
"Jan 1, 07:00 am",0,-7,0,0,0,0,0,-7,0,0,1,0,0,7.5
"Jan 1, 08:00 am",430.303,-7.6,74.0207,325,461.779,31,56,-5.9833,135.686,0.430303,1,2,117.278,2.1
"Jan 1, 09:00 am",1371.2,-8.3,63.332,726,1427.83,51,210,1.25428,397.947,1.3712,1,1,373.723,2.1
"Jan 1, 10:00 am",2029.39,-7,53.836,845,2108.51,60,341,8.56811,584.254,2.02939,1,1,569.497,2.1
"Jan 1, 11:00 am",2363.53,-5.8,47.0073,897,2455.64,65,429,17.6547,699.708,2.36353,1,1,690.636,1
"Jan 1, 12:00 pm",2494.96,-4.6,44.125,914,2592.48,67,464,20.7381,746.667,2.49496,1,1,739.479,1
"Jan 1, 01:00 pm",2387.89,-3.5,45.9434,903,2481,66,442,21.1045,717.213,2.38789,1,1,708.877,1
"Jan 1, 02:00 pm",2102.07,-2.5,51.9687,860,2183.93,62,365,14.3895,618.262,2.10207,1,1,605.241,2.3
"Jan 1, 03:00 pm",1492.3,-1.5,60.9546,761,1552.76,53,241,10.5094,444.844,1.4923,1,1,422.974,2.3
"Jan 1, 04:00 pm",656.572,-1.4,71.7468,518,693.353,33,89,3.76503,210.302,0.656572,1,1,183.427,2.3
"Jan 1, 05:00 pm",7.85788,-1.4,78.3576,50,30.6763,1,2,-2.2612,11.06,0.00785788,1,3,7.91167,5.9
"Jan 1, 06:00 pm",0,-1.3,0,0,0,0,0,-1.3,0,0,1,0,0,5.9
"Jan 1, 07:00 pm",0,-1.7,0,0,0,0,0,-1.7,0,0,1,0,0,5.9
"Jan 1, 08:00 pm",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,5.6
"Jan 1, 09:00 pm",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,5.6
"Jan 1, 10:00 pm",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,5.6
"Jan 1, 11:00 pm",0,-4.1,0,0,0,0,0,-4.1,0,0,1,0,0,6.4
"Jan 2, 12:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,6.4
"Jan 2, 01:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,6.4
"Jan 2, 02:00 am",0,-5.4,0,0,0,0,0,-5.4,0,0,1,0,0,6.3
"Jan 2, 03:00 am",0,-5.6,0,0,0,0,0,-5.6,0,0,1,0,0,6.3
"Jan 2, 04:00 am",0,-6,0,0,0,0,0,-6,0,0,1,0,0,6.3
"Jan 2, 05:00 am",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,5.3
"Jan 2, 06:00 am",0,-6.6,0,0,0,0,0,-6.6,0,0,1,0,0,5.3
"Jan 2, 07:00 am",0,-6.8,0,0,0,0,0,-6.8,0,0,1,0,0,5.3
"Jan 2, 08:00 am",174.969,-7,74.0589,0,201.02,43,43,-7.40382,50.7572,0.174969,1,2,50.7572,6.4
"Jan 2, 09:00 am",1387.03,-7.2,63.3562,726,1444.15,51,210,-1.67158,397.635,1.38703,1,1,373.375,6.4
"Jan 2, 10:00 am",2077.83,-6,53.8309,845,2158.77,60,341,3.11755,584.278,2.07783,1,1,569.527,6.4
"Jan 2, 11:00 am",2463.06,-4.9,46.9639,897,2559.26,65,430,8.53134,700.168,2.46306,1,1,691.129,4.9
"Jan 2, 12:00 pm",2615.56,-3.7,44.04,914,2718.18,68,466,10.8899,748.813,2.61556,1,1,741.679,4.9
"Jan 2, 01:00 pm",2502.04,-2.7,45.8257,904,2599.86,66,444,11.3857,719.208,2.50204,1,1,710.948,4.9
"Jan 2, 02:00 pm",2155.31,-1.8,51.834,862,2239.2,62,367,9.83855,621.083,2.15531,1,1,608.167,5.2
"Jan 2, 03:00 pm",1528.57,-0.8,60.8148,764,1590.2,54,244,7.38476,449.057,1.52857,1,1,427.299,5.2
"Jan 2, 04:00 pm",673.024,-1.3,71.6095,524,710.208,33,91,2.07901,213.57,0.673024,1,1,186.542,5.2
"Jan 2, 05:00 pm",10.1529,-1.7,78.3158,54,33.014,1,2,-2.46611,11.9058,0.0101529,1,3,8.50733,7.2
"Jan 2, 06:00 pm",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,7.2
"Jan 2, 07:00 pm",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,7.2
