,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Apr 7, 11:00 am",3021.35,12.4,15.9827,776,3142.18,206,890,39.5479,981.512,3.02135,1,1,981.328,1.9
"Apr 7, 12:00 pm",3217.81,14.4,4.28339,885,3348.04,162,969,43.9074,1069.14,3.21781,1,1,1069.13,1.9
"Apr 7, 01:00 pm",3077.99,15.9,14.8299,907,3201.5,133,936,44.4959,1025.62,3.07799,1,1,1025.45,1.9
"Apr 7, 02:00 pm",2814.79,17.4,29.3234,883,2926.16,125,834,38.3679,909.944,2.81479,1,1,908.455,3.6
"Apr 7, 03:00 pm",2280.01,18.8,44.0103,835,2368.78,115,675,35.6469,732.011,2.28001,1,1,725.511,3.6
"Apr 7, 04:00 pm",1550.75,19.2,58.7225,745,1613.11,102,472,30.5969,500.48,1.55075,1,1,482.02,3.6
"Apr 7, 05:00 pm",705.593,19.5,73.4062,530,743.584,89,244,24.1566,244.862,0.705593,1,1,215.494,4.5
"Apr 7, 06:00 pm",69.6903,19.9,86.6091,128,93.6751,26,38,19.6645,31.9235,0.0696903,1,3,26.5884,4.5
"Apr 7, 07:00 pm",0,18.4,0,0,0,0,0,18.4,0,0,1,0,0,4.5
"Apr 7, 08:00 pm",0,16.9,0,0,0,0,0,16.9,0,0,1,0,0,8.9
"Apr 7, 09:00 pm",0,15.4,0,0,0,0,0,15.4,0,0,1,0,0,8.9
"Apr 7, 10:00 pm",0,14.2,0,0,0,0,0,14.2,0,0,1,0,0,8.9
"Apr 7, 11:00 pm",0,12.9,0,0,0,0,0,12.9,0,0,1,0,0,8.9
"Apr 8, 12:00 am",0,11.6,0,0,0,0,0,11.6,0,0,1,0,0,8.9
"Apr 8, 01:00 am",0,10.9,0,0,0,0,0,10.9,0,0,1,0,0,8.9
"Apr 8, 02:00 am",0,10.3,0,0,0,0,0,10.3,0,0,1,0,0,6.6
"Apr 8, 03:00 am",0,9.6,0,0,0,0,0,9.6,0,0,1,0,0,6.6
"Apr 8, 04:00 am",0,9.1,0,0,0,0,0,9.1,0,0,1,0,0,6.6
"Apr 8, 05:00 am",0,8.5,0,0,0,0,0,8.5,0,0,1,0,0,9.6
"Apr 8, 06:00 am",20.0572,8,87.223,176,43.103,10,25,7.32737,17.9755,0.0200572,1,2,11.5792,9.6
"Apr 8, 07:00 am",623.863,10.2,74.4775,446,659.848,85,210,12.0142,206.594,0.623863,1,1,180.942,9.6
"Apr 8, 08:00 am",1547.15,12.4,59.7964,659,1609.39,129,449,18.4592,471.846,1.54715,1,1,454.293,8.2
"Apr 8, 09:00 am",2181.16,14.6,45.0803,649,2266.05,184,614,23.6716,660.782,2.18116,1,1,655.226,8.2
