,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-3.4,0,0,0,0,0,-3.4,0,0,1,0,0,1.4
"Jan 1, 01:00 am",0,-3.8,0,0,0,0,0,-3.8,0,0,1,0,0,1.4
"Jan 1, 02:00 am",0,-4.2,0,0,0,0,0,-4.2,0,0,1,0,0,1.4
"Jan 1, 03:00 am",0,-4.6,0,0,0,0,0,-4.6,0,0,1,0,0,4.3
"Jan 1, 04:00 am",0,-5,0,0,0,0,0,-5,0,0,1,0,0,4.3
"Jan 1, 05:00 am",0,-5.2,0,0,0,0,0,-5.2,0,0,1,0,0,4.3
"Jan 1, 06:00 am",0,-5.3,0,0,0,0,0,-5.3,0,0,1,0,0,2.4
"Jan 1, 07:00 am",168.48,-5.5,75.1549,207,5,194.4,16,-5.98698,61.5326,0.16848,1,2,49.371,2.4
"Jan 1, 08:00 am",1032.87,-4.9,66.3882,583,49,1079.52,146,1.49172,306.073,1.03287,1,1,282.839,2.4
"Jan 1, 09:00 am",1605.47,-4.4,57.2421,623,97,1669.64,269,8.80229,465.356,1.60547,1,1,451.421,1.5
"Jan 1, 10:00 am",1165.37,-3.9,50.6425,238,145,1215.79,228,5.89779,327.844,1.16537,1,1,324.597,1.5
"Jan 1, 11:00 am",755.145,-3,47.6917,40,166,794.383,181,2.57162,209.517,0.755145,1,1,209.088,1.5
"Jan 1, 12:00 pm",455.157,-2.1,49.0598,0,126,487.193,126,-0.301052,126.686,0.455157,1,1,126.686,3.2
"Jan 1, 01:00 pm",235.887,-1.2,54.4194,0,71,263.178,71,-1.08153,68.2109,0.235887,1,1,68.2109,3.2
"Jan 1, 02:00 pm",118.362,-1.2,62.7422,0,39,143.289,39,-2.02212,36.9923,0.118362,1,1,36.9923,3.2
"Jan 1, 03:00 pm",35.3793,-1.1,72.9506,0,16,58.7126,16,-2.01327,15.1581,0.0353793,1,1,15.1581,7
"Jan 1, 04:00 pm",0,-1.1,78.4545,0,0,0,0,-1.1,0,0,1,3,0,7
"Jan 1, 05:00 pm",0,-1.1,0,0,0,0,0,-1.1,0,0,1,0,0,7
