Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
0.5,-0.6,-0.639063,-0.6,100,1.5,310
1.5,0,-0.234375,-0.6,96,2.1,360
2.5,0,-0.234375,-0.6,96,1.5,360
3.5,0,-0.234375,-0.6,96,1.5,250
4.5,0,-0.234375,-0.6,96,2.1,250
5.5,-0.6,-0.639063,-0.6,100,2.1,250
6.5,0,-0.234375,-0.6,96,3.6,270
7.5,0,-0.234375,-0.6,96,3.6,250
8.5,0,-0.234375,-0.6,96,3.6,240
9.5,-1.1,-1.33438,-1.7,96,4.1,240
10.5,-1.7,-2.16875,-2.8,92,4.6,240
11.5,-2.2,-2.825,-3.9,88,5.2,250
12.5,-2.8,-3.19062,-3.9,92,5.2,240
13.5,-2.2,-2.825,-3.9,88,5.2,250
14.5,-2.2,-2.825,-3.9,88,4.1,250
15.5,-1.7,-2.325,-3.3,88,5.2,260
16.5,-1.7,-2.325,-3.3,88,3.1,250
17.5,-1.7,-2.16875,-2.8,92,5.2,250
18.5,-1.7,-2.325,-3.3,88,4.1,270
19.5,-2.2,-2.825,-3.9,88,3.1,270
20.5,-3.3,-3.45625,-3.9,96,3.6,260
21.5,-3.3,-3.69062,-4.4,92,2.1,250
22.5,-3.9,-4.05625,-4.4,96,2.6,240
23.5,-3.9,-4.29063,-5,92,3.6,240
24.5,-4.4,-4.79063,-5.6,92,2.6,240
25.5,-4.4,-4.94688,-6.1,88,3.1,250
26.5,-5.6,-5.9125,-6.7,92,3.6,270
27.5,-6.1,-6.4125,-7.2,92,4.6,270
28.5,-5.6,-6.30312,-7.8,84,3.1,250
29.5,-6.1,-6.725,-8.3,84,2.1,250
30.5,-6.7,-7.16875,-8.3,88,2.1,240
31.5,-6.7,-7.16875,-8.3,88,2.6,240
32.5,-5.6,-6.30312,-7.8,84,2.1,240
33.5,-3.3,-4.39375,-6.7,78,2.1,240
34.5,-0.6,-2.00625,-4.4,75,3.6,240
35.5,1.7,0.1375,-2.2,75,3.6,240
36.5,3.3,1.50312,-1.1,73,3.6,240
37.5,5.6,3.02187,-0.6,65,2.1,240
38.5,6.7,3.575,-0.6,60,2.6,220
39.5,6.7,3.575,-0.6,60,3.6,220
40.5,6.7,4.2,1.1,68,3.1,200
41.5,5.6,3.4125,0.6,70,1,190
42.5,4.4,2.525,0,73,2.6,200
43.5,2.8,1.62812,0,82,2.6,220
44.5,2.2,1.2625,0,85,1.5,220
45.5,2.2,1.2625,0,85,2.1,200
46.5,1.7,0.996875,0,89,2.1,210
47.5,2.2,1.49688,0.6,89,2.6,220
48.5,2.2,1.02813,-0.6,82,2.1,230
49.5,1.1,0.475,-0.6,89,2.1,230
50.5,1.1,0.475,-0.6,89,1.5,230
51.5,1.1,0.475,-0.6,89,2.6,230
52.5,1.1,0.475,-0.6,89,3.1,230
53.5,2.2,1.96563,1.7,96,3.6,230
54.5,3.9,3.66563,3.3,96,3.1,230
55.5,2.8,2.56562,2.2,96,3.6,240
56.5,3.9,3.66563,3.3,96,2.1,240
57.5,4.4,3.61875,2.8,89,2.6,240
58.5,5.6,4.81875,3.9,89,2.6,240
59.5,9.4,7.68125,6.1,80,3.6,250
60.5,10.6,8.56875,6.7,77,5.2,240
61.5,12.2,9.77812,7.8,74,4.6,240
62.5,13.9,10.775,8.3,69,4.6,250
63.5,14.4,10.4937,7.2,62,3.1,220
64.5,12.8,9.51875,6.7,66,3.1,220
65.5,10.6,8.25625,6.1,74,3.1,220
66.5,10,8.00781,6.1,77,2.1,220
67.5,9.4,7.68125,6.1,80,2.1,220
68.5,8.3,7.20625,6.1,86,2.6,250
69.5,6.1,5.55312,5,93,2.6,270
70.5,8.3,7.44063,6.7,89,2.1,230
71.5,6.7,6.3875,6.1,96,2.6,250
72.5,7.2,6.8875,6.7,96,2.6,230
73.5,7.2,6.8875,6.7,96,2.6,240
74.5,7.8,7.25313,6.7,93,2.6,230
75.5,8.9,7.9625,7.2,89,3.6,240
76.5,8.3,7.75313,7.2,93,3.6,250
77.5,7.2,6.8875,6.7,96,3.6,290
78.5,6.1,6.08047,6.1,100,3.1,260
79.5,6.1,6.08047,6.1,100,3.1,260
80.5,7.2,7.18047,7.2,100,5.2,320
81.5,7.8,6.94063,6.1,89,5.2,300
82.5,7.8,5.84688,3.9,76,5.2,300
83.5,7.8,5.22188,2.2,68,5.2,300
84.5,8.3,4.62813,0,56,5.2,300
85.5,8.3,4.62813,0,56,5.2,300
86.5,8.9,3.66562,-3.9,40,4.6,320
87.5,8.9,3.5875,-4.4,39,3.6,300
88.5,7.2,2.74687,-3.9,45,3.6,300
89.5,6.7,2.0125,-5.6,41,3.1,300
90.5,6.1,1.80312,-5,45,3.6,300
91.5,5.6,1.69375,-4.4,48,3.1,300
92.5,5,1.32813,-4.4,50,3.6,300
93.5,5,1.17188,-5,48,2.6,300
94.5,3.9,0.384375,-5.6,50,2.6,300
95.5,3.9,0.384375,-5.6,50,2.6,310
96.5,3.9,0.384375,-5.6,50,2.6,330
97.5,2.2,-0.6125,-5.6,56,2.6,340
98.5,1.7,-1.19062,-6.7,54,1,320
99.5,1.1,-1.63437,-6.7,56,2.1,330
100.5,1.1,-1.24375,-5.6,61,2.6,20
101.5,1.1,-1.24375,-5.6,61,2.1,30
102.5,1.1,-1.4,-6.1,59,2.6,60
103.5,1.1,-1.4,-6.1,59,2.1,60
104.5,1.7,-0.878125,-5.6,59,2.1,60
105.5,4.4,0.65,-5.6,48,3.6,90
106.5,8.9,3.5875,-4.4,39,3.6,90
107.5,10,4.76563,-2.2,42,5.2,120
108.5,11.7,6.15312,-0.6,43,5.2,180
109.5,13.3,7.12813,0,40,4.1,140
110.5,13.3,7.12813,0,40,2.6,120
111.5,13.3,7.3625,0.6,42,3.1,130
112.5,12.8,9.28438,6.1,64,3.6,150
113.5,10,8.51563,7.2,83,3.6,160
114.5,8.3,7.44063,6.7,89,3.1,160
115.5,7.8,6.94063,6.1,89,2.6,180
116.5,6.7,6.15312,5.6,93,2.1,140
117.5,6.7,6.15312,5.6,93,2.1,160
118.5,7.2,6.65312,6.1,93,2.6,160
119.5,7.8,6.94063,6.1,89,0,0
120.5,7.8,6.94063,6.1,89,0,0
121.5,7.2,6.65312,6.1,93,0,0
122.5,7.2,6.65312,6.1,93,0,0
123.5,7.2,6.34062,5.6,89,3.1,130
124.5,7.2,6.10625,5,86,2.6,130
125.5,6.7,5.60625,4.4,86,3.6,120
126.5,6.7,5.60625,4.4,86,4.6,110
127.5,6.7,5.60625,4.4,86,4.6,120
128.5,6.7,5.60625,4.4,86,4.1,120
129.5,7.2,6.34062,5.6,89,4.6,120
130.5,8.9,7.72812,6.7,86,5.2,120
131.5,8.9,7.72812,6.7,86,5.2,120
132.5,9.4,8.85312,8.3,93,3.6,140
133.5,10,9.98047,10,100,5.2,120
134.5,10,9.98047,10,100,2.1,120
135.5,10.6,10.5805,10.6,100,2.1,120
136.5,10.6,10.5805,10.6,100,4.1,120
137.5,10,9.98047,10,100,3.6,110
138.5,10,9.98047,10,100,3.6,110
139.5,10,9.98047,10,100,3.1,80
140.5,10,9.98047,10,100,2.6,110
141.5,10.6,10.5805,10.6,100,2.6,100
142.5,10.6,10.5805,10.6,100,2.6,120
143.5,10.6,10.5805,10.6,100,0,0
144.5,11.7,11.6805,11.7,100,3.1,240
145.5,11.7,11.6805,11.7,100,5.2,240
146.5,11.7,11.6805,11.7,100,3.6,250
147.5,11.7,11.3094,11.1,96,3.1,240
148.5,11.1,11.0805,11.1,100,3.6,250
149.5,11.1,11.0805,11.1,100,2.6,240
150.5,10.6,10.5805,10.6,100,4.1,250
151.5,10,9.98047,10,100,4.1,310
152.5,9.4,9.0875,8.9,96,4.1,300
153.5,8.9,8.5875,8.3,96,4.1,290
154.5,8.9,8.5875,8.3,96,3.1,330
155.5,8.3,7.9875,7.8,96,2.6,270
156.5,10,9.0625,8.3,89,3.6,290
157.5,10,8.82813,7.8,86,3.1,270
158.5,10,8.51563,7.2,83,2.6,270
159.5,10,8.51563,7.2,83,2.1,300
160.5,9.4,8.22812,7.2,86,2.6,300
161.5,8.9,7.72812,6.7,86,1.5,290
162.5,8.3,7.44063,6.7,89,2.1,360
163.5,7.8,6.94063,6.1,89,1.5,20
164.5,7.8,6.94063,6.1,89,1.5,320
165.5,7.2,6.65312,6.1,93,1,40
166.5,7.2,6.65312,6.1,93,3.1,50
167.5,6.7,6.3875,6.1,96,2.6,60
