,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 1, 12:00 am",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,6.1
"Jan 1, 01:00 am",0,-3.4,0,0,0,0,0,-3.4,0,0,1,0,0,6.1
"Jan 1, 02:00 am",0,-3.3,0,0,0,0,0,-3.3,0,0,1,0,0,6.1
"Jan 1, 03:00 am",0,-3.2,0,0,0,0,0,-3.2,0,0,1,0,0,5.9
"Jan 1, 04:00 am",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,5.9
"Jan 1, 05:00 am",0,-2.9,0,0,0,0,0,-2.9,0,0,1,0,0,5.9
"Jan 1, 06:00 am",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,9.8
"Jan 1, 07:00 am",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,9.8
"Jan 1, 08:00 am",28.3677,-2.1,74.9661,0,14,51.5692,14,-2.87724,13.2661,0.0283677,1,2,13.2661,9.8
"Jan 1, 09:00 am",912.143,-1.8,65.6677,312,103,955.479,159,1.09411,261.862,0.912143,1,1,249.92,7.5
"Jan 1, 10:00 am",769.379,-1.4,56.3115,127,124,808.979,161,1.00615,214.181,0.769379,1,1,211.522,7.5
"Jan 1, 11:00 am",557.344,-1.1,49.5021,17,141,591.741,147,0.342987,154.501,0.557344,1,1,154.289,7.5
"Jan 1, 12:00 pm",1312.21,-0.8,46.4049,176,207,1367.02,277,4.01391,363.721,1.31221,1,1,362.031,7
"Jan 1, 01:00 pm",206.954,-0.4,47.7545,0,64,233.651,64,-0.226873,60.7757,0.206954,1,1,60.7757,7
"Jan 1, 02:00 pm",669.403,-0.3,53.2113,59,138,706.499,157,1.56171,186.144,0.669403,1,1,185.161,7
"Jan 1, 03:00 pm",222.211,-0.2,61.6828,0,66,249.22,66,-0.138179,64.8496,0.222211,1,1,64.8496,6.3
"Jan 1, 04:00 pm",238.139,-0.1,72.0571,78,39,265.476,47,-0.0449671,73.2063,0.238139,1,1,69.1067,6.3
"Jan 1, 05:00 pm",0,-0.8,78.2159,6,1,7.04027,1,-1.9558,2.19519,0,1,3,1.81806,6.3
"Jan 1, 06:00 pm",0,-1.5,0,0,0,0,0,-1.5,0,0,1,0,0,7.4
"Jan 1, 07:00 pm",0,-2.1,0,0,0,0,0,-2.1,0,0,1,0,0,7.4
"Jan 1, 08:00 pm",0,-2.3,0,0,0,0,0,-2.3,0,0,1,0,0,7.4
"Jan 1, 09:00 pm",0,-2.4,0,0,0,0,0,-2.4,0,0,1,0,0,8.3
"Jan 1, 10:00 pm",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,8.3
"Jan 1, 11:00 pm",0,-2.5,0,0,0,0,0,-2.5,0,0,1,0,0,8.3
"Jan 2, 12:00 am",0,-2.6,0,0,0,0,0,-2.6,0,0,1,0,0,7.7
"Jan 2, 01:00 am",0,-2.7,0,0,0,0,0,-2.7,0,0,1,0,0,7.7
"Jan 2, 02:00 am",0,-2.8,0,0,0,0,0,-2.8,0,0,1,0,0,7.7
"Jan 2, 03:00 am",0,-3,0,0,0,0,0,-3,0,0,1,0,0,7.1
"Jan 2, 04:00 am",0,-3.1,0,0,0,0,0,-3.1,0,0,1,0,0,7.1
"Jan 2, 05:00 am",0,-3.7,0,0,0,0,0,-3.7,0,0,1,0,0,7.1
"Jan 2, 06:00 am",0,-4.3,0,0,0,0,0,-4.3,0,0,1,0,0,5.4
"Jan 2, 07:00 am",0,-4.8,0,0,0,0,0,-4.8,0,0,1,0,0,5.4
"Jan 2, 08:00 am",131.145,-5.4,75.0036,122,8,156.323,15,-5.9459,46.8426,0.131145,1,2,39.7076,5.4
"Jan 2, 09:00 am",772.981,-6,65.6914,315,67,812.673,124,-2.83149,221.172,0.772981,1,1,209.098,4.4
"Jan 2, 10:00 am",1762.87,-6.5,56.3072,676,90,1832.4,288,2.86602,497.057,1.76287,1,1,482.906,4.4
"Jan 2, 11:00 am",2089.08,-6.3,49.4618,599,155,2170.45,376,5.48185,585.868,2.08908,1,1,578.437,4.4
"Jan 2, 12:00 pm",938.711,-6.1,46.325,87,177,982.763,212,-2.48356,254.058,0.938711,1,1,253.228,6.7
"Jan 2, 01:00 pm",1005.1,-5.8,47.6421,108,173,1050.97,215,-2.2616,272.207,1.0051,1,1,271.054,6.7
"Jan 2, 02:00 pm",1872.98,-5.6,53.0803,572,139,1946.39,327,2.05591,520.618,1.87298,1,1,511.184,6.7
"Jan 2, 03:00 pm",1406.6,-5.3,61.5449,657,63,1464.34,215,1.3257,403.006,1.40661,1,1,383.395,5.8
"Jan 2, 04:00 pm",565.064,-5.1,71.9206,379,38,599.643,76,-2.764,174.137,0.565064,1,1,154.33,5.8
"Jan 2, 05:00 pm",0,-5.5,78.1753,32,0,17.9426,1,-6.50651,6.5574,0,1,3,4.54711,5.8
"Jan 2, 06:00 pm",0,-6,0,0,0,0,0,-6,0,0,1,0,0,1.5
"Jan 2, 07:00 pm",0,-6.5,0,0,0,0,0,-6.5,0,0,1,0,0,1.5
"Jan 2, 08:00 pm",0,-6.5,0,0,0,0,0,-6.5,0,0,1,0,0,1.5
"Jan 2, 09:00 pm",0,-6.4,0,0,0,0,0,-6.4,0,0,1,0,0,1.6
"Jan 2, 10:00 pm",0,-6.3,0,0,0,0,0,-6.3,0,0,1,0,0,1.6
"Jan 2, 11:00 pm",0,-6.8,0,0,0,0,0,-6.8,0,0,1,0,0,1.6
"Jan 3, 12:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,5.4
"Jan 3, 01:00 am",0,-7.7,0,0,0,0,0,-7.7,0,0,1,0,0,5.4
"Jan 3, 02:00 am",0,-7.6,0,0,0,0,0,-7.6,0,0,1,0,0,5.4
"Jan 3, 03:00 am",0,-7.5,0,0,0,0,0,-7.5,0,0,1,0,0,2.5
"Jan 3, 04:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,2.5
"Jan 3, 05:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,2.5
"Jan 3, 06:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,2.6
"Jan 3, 07:00 am",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,2.6
"Jan 3, 08:00 am",27.4899,-7,75.0402,16,9,50.6749,10,-8.74514,13.6625,0.0274899,1,2,12.7257,2.6
"Jan 3, 09:00 am",339.803,-6.6,65.7094,41,71,369.288,78,-6.23994,95.2627,0.339803,1,1,93.6896,6.2
"Jan 3, 10:00 am",202.092,-6.3,56.2963,0,61,228.69,61,-6.48228,57.9618,0.202092,1,1,57.9618,6.2
"Jan 3, 11:00 am",1576.16,-5.7,49.4142,316,186,1639.35,303,0.541092,431.702,1.57616,1,1,427.797,6.2
"Jan 3, 12:00 pm",828.673,-5.1,46.2378,57,170,869.802,193,-2.80492,224.362,0.828673,1,1,223.822,9.4
"Jan 3, 01:00 pm",407.344,-4.5,47.5228,0,114,438.308,114,-3.83367,112.308,0.407344,1,1,112.308,9.4
"Jan 3, 02:00 pm",973.492,-4.8,52.9435,160,146,1018.49,199,-2.18914,265.368,0.973492,1,1,262.756,9.4
"Jan 3, 03:00 pm",568.681,-5,61.4024,89,98,603.345,119,-3.71026,157.307,0.568681,1,1,154.674,9.4
"Jan 3, 04:00 pm",374.808,-5.3,71.7807,164,44,405.054,61,-4.68745,111.942,0.374808,1,1,103.422,9.4
"Jan 3, 05:00 pm",0,-6.3,78.1347,15,1,12.3126,1,-7.14474,4.05402,0,1,3,3.1122,9.4
"Jan 3, 06:00 pm",0,-7.3,0,0,0,0,0,-7.3,0,0,1,0,0,8.6
"Jan 3, 07:00 pm",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,8.6
"Jan 3, 08:00 pm",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,8.6
"Jan 3, 09:00 pm",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,11.1
"Jan 3, 10:00 pm",0,-8.2,0,0,0,0,0,-8.2,0,0,1,0,0,11.1
"Jan 3, 11:00 pm",0,-8.7,0,0,0,0,0,-8.7,0,0,1,0,0,11.1
